concentration,distance,voltage,flow_rate,diameter,diameter_stdev
8,10,15,0.2,232.62,26.6
8,10,15,0.3,235.5,24.52
8,10,15,0.4,252.02,25.89
8,10,20,0.2,236.84,37.3
8,10,20,0.3,232.08,30.22
8,10,20,0.4,249.21,34.49
8,10,25,0.2,196.05,34.76
8,10,25,0.3,201.38,35.15
8,10,25,0.4,215,39
8,15,15,0.2,221.1,28.88
8,15,15,0.3,238.63,20.17
8,15,15,0.4,242.32,21.99
8,15,20,0.2,219.76,36.19
8,15,20,0.3,228.56,28.29
8,15,20,0.4,242.01,28.3
8,15,25,0.2,202.62,33.22
8,15,25,0.3,208.21,37.14
8,15,25,0.4,213.66,34.84
8,20,15,0.2,196.63,30.69
8,20,15,0.3,197.73,24.55
8,20,15,0.4,206.28,22.11
8,20,20,0.2,206.69,31.56
8,20,20,0.3,224.38,27.41
8,20,20,0.4,242.06,26.51
8,20,25,0.2,205.25,40.32
8,20,25,0.3,215.7,30.54
8,20,25,0.4,231.34,32.4
10,10,15,0.2,269.91,30.35
10,10,15,0.3,270.05,28.88
10,10,15,0.4,291.99,33.98
10,10,20,0.2,256.11,38.54
10,10,20,0.3,264.86,35.7
10,10,20,0.4,278.34,49.13
10,10,25,0.2,228.21,42.33
10,10,25,0.3,239.28,40.3
10,10,25,0.4,238.74,46.57
10,15,15,0.2,263.67,34.16
10,15,15,0.3,269.29,31.54
10,15,15,0.4,277.71,29.4
10,15,20,0.2,284.2,38.18
10,15,20,0.3,281.82,36.27
10,15,20,0.4,282.39,42.07
10,15,25,0.2,249.42,40.79
10,15,25,0.3,278.22,46.15
10,15,25,0.4,286.96,51.16
10,20,15,0.2,239.45,27.98
10,20,15,0.3,244.04,27.43
10,20,15,0.4,251.58,27.26
10,20,20,0.2,285.67,35.62
10,20,20,0.3,273.05,30.74
10,20,20,0.4,280.62,34.66
10,20,25,0.2,278.1,40.79
10,20,25,0.3,280.95,44.58
10,20,25,0.4,306.28,44.04
12,10,15,0.2,286.23,27.12
12,10,15,0.3,295.6,32.91
12,10,15,0.4,293.41,40.48
12,10,20,0.2,271.2,34.86
12,10,20,0.3,291.89,42.78
12,10,20,0.4,295.93,49.43
12,10,25,0.2,234.13,39.31
12,10,25,0.3,247.65,48.6
12,10,25,0.4,247.13,59.02
12,15,15,0.2,271.93,33.05
12,15,15,0.3,297.65,26.75
12,15,15,0.4,296.79,39.84
12,15,20,0.2,297.94,38.82
12,15,20,0.3,310.06,36.84
12,15,20,0.4,312.15,41.69
12,15,25,0.2,272.24,39.55
12,15,25,0.3,282.04,42.35
12,15,25,0.4,288,51.72
12,20,15,0.2,259.63,34.63
12,20,15,0.3,278.4,25.35
12,20,15,0.4,279.25,27.25
12,20,20,0.2,307.42,42.25
12,20,20,0.3,327.77,35.71
12,20,20,0.4,337.88,45.16
12,20,25,0.2,321.78,46.21
12,20,25,0.3,334.54,40.68
12,20,25,0.4,342.45,47.94
9,20,15,0.3,216.53,24.25
10,12.5,15,0.3,259.61,25.67
10,20,22.5,0.3,300.27,35.71
10,20,15,0.25,235.04,29.64
9,12.5,15,0.3,247.57,26.65
9,20,22.5,0.3,247.16,31.12
9,20,15,0.25,212.82,30.26
10,12.5,22.5,0.3,263.7,45.06
10,12.5,15,0.25,258.26,26.16
10,20,22.5,0.25,272.03,36.28
9,12.5,22.5,0.3,235.75,33.16
9,12.5,15,0.25,244.43,24.87
9,20,22.5,0.25,252.5,36.01
10,12.5,22.5,0.25,260.71,42.25
9,12.5,22.5,0.25,231.97,32.86
