test_index,target,prediction_mean,prediction_std,prediction_ci_low,prediction_ci_high,replica_predictions,best_candidate,top_candidates,replica_times,final_costs_replicas,avg_cost_history,input_0,input_1,input_2,input_3
0,342.45,284.01121215820314,1.046833020496621,282.7113972845216,285.3110270318847,"[284.4793701171875, 284.4793701171875, 284.4793701171875, 284.4793701171875, 282.1385803222656]",[10.21484594 15.41704812 22.61901813  0.36672999],"[array([11.02874544, 18.22634231, 20.49839313,  0.37360138]), array([11.47336065, 19.33183418, 22.17707326,  0.39784142]), array([11.60081609, 16.49999703, 21.69216423,  0.23153466]), array([11.52825758, 16.08347508, 21.89617036,  0.24519407]), array([11.33696081, 15.0112488 , 21.19962382,  0.23012251])]","[1.0562002658843994, 0.8519608974456787, 0.6228618621826172, 1.010936975479126, 1.204249620437622]","[3360.595458984375, 3360.595458984375, 3360.595458984375, 3360.595458984375, 3637.46875]","[4097.60009765625, 4097.60009765625, 4097.60009765625, 4097.60009765625, 4097.60009765625, 4097.60009765625, 3828.99453125, 3481.28291015625, 3481.28291015625, 3481.28291015625, 3481.28291015625, 3425.908251953125, 3425.908251953125, 3425.908251953125, 3425.908251953125, 3425.908251953125, 3425.908251953125, 3415.9701171875, 3415.9701171875, 3415.9701171875, 3415.9701171875, 3429.8137817382812, 3429.8137817382812, 3429.8137817382812, 3429.8137817382812, 3429.8137817382812, 3429.8137817382812, 3429.8137817382812, 3429.8137817382812, 3499.0321044921875, 3499.0321044921875, 3499.0321044921875, 3499.0321044921875, 3637.46875, 3637.46875, 3637.46875, 3637.46875, 3637.46875, 3637.46875]",12.0,20.0,25.0,0.4
1,337.88,281.24189453125,3.4651490362181887,276.9393437245674,285.54444533793264,"[282.1385803222656, 284.4793701171875, 282.1385803222656, 275.3143615722656, 282.1385803222656]",[10.91053049 17.08547212 23.80217911  0.35331062],"[array([11.53629744, 16.30126393, 20.93888721,  0.33448789]), array([10.6939785 , 17.11214882, 20.86796596,  0.2278191 ]), array([10.24429159, 15.44963547, 18.11419742,  0.30812713]), array([11.2365218 , 15.35068931, 18.57703654,  0.32518441]), array([11.51066745, 12.43340416, 23.2867376 ,  0.34422054])]","[0.7434022426605225, 0.720301628112793, 0.731203556060791, 0.7245371341705322, 0.7204270362854004]","[3107.1064453125, 2851.627685546875, 3107.1064453125, 3914.459716796875, 3107.1064453125]","[3617.09052734375, 3617.09052734375, 3217.48134765625, 3217.48134765625, 3217.48134765625, 3217.48134765625, 3217.48134765625, 3217.48134765625, 3217.48134765625, 3217.48134765625, 3217.48134765625, 3217.48134765625, 3217.48134765625, 3217.48134765625, 3217.48134765625, 3217.48134765625, 3217.48134765625, 3217.48134765625, 3217.48134765625, 3217.48134765625, 3217.48134765625, 3107.1064453125, 3107.1064453125]",12.0,20.0,20.0,0.4
2,278.4,280.29052734375,2.844925490353728,276.7580857848056,283.8229689026944,"[280.54364013671875, 281.72802734375, 281.72802734375, 282.1385803222656, 275.3143615722656]",[11.45418297 15.53770148 23.03561223  0.24956481],"[array([11.53821778, 18.85944492, 22.1563532 ,  0.2939431 ]), array([11.43436414, 18.61178461, 23.31976653,  0.26014096]), array([11.39954113, 11.233547  , 16.82329722,  0.34026105]), array([10.86524398, 11.05324956, 15.62970858,  0.39177672]), array([11.35106978, 13.1654539 , 20.00093441,  0.20377542])]","[1.2318849563598633, 1.4878826141357422, 1.4385159015655518, 0.8888962268829346, 0.8895113468170166]","[4.595219135284424, 11.075806617736816, 11.075806617736816, 13.977028846740723, 9.521126747131348]","[65.38946628570557, 47.182644844055176, 25.52094211578369, 21.783623123168944, 18.046304130554198, 18.046304130554198, 17.101961517333983, 17.101961517333983, 17.101961517333983, 17.101961517333983, 17.101961517333983, 17.101961517333983, 12.505603981018066, 12.505603981018066, 12.505603981018066, 10.629242038726806, 10.629242038726806, 10.629242038726806, 10.629242038726806, 10.629242038726806, 10.629242038726806, 10.180965304374695, 10.180965304374695, 10.180965304374695, 10.180965304374695, 8.915610790252686, 8.915610790252686, 7.83551287651062, 7.83551287651062, 7.83551287651062, 7.83551287651062, 7.83551287651062, 7.83551287651062, 7.83551287651062, 7.83551287651062, 7.83551287651062, 7.83551287651062, 11.075806617736816, 11.075806617736816, 11.075806617736816, 11.075806617736816, 11.075806617736816, 11.075806617736816]",12.0,20.0,15.0,0.3
3,260.71,260.5067993164063,1.0506845221438696,259.2022021717903,261.81139646102224,"[261.2140197753906, 261.2140197753906, 260.02239990234375, 261.2140197753906, 258.8695373535156]",[11.84959295 10.87492775 23.366337    0.31622836],"[array([11.58116838, 14.77053354, 19.3210524 ,  0.26083447]), array([10.98688709, 13.04788243, 19.28712892,  0.33679358]), array([11.57468321, 13.38155305, 18.7350801 ,  0.37792361]), array([11.68890112, 16.04781768, 17.17626551,  0.3363324 ]), array([11.71375888, 18.28691287, 18.56312438,  0.39969232])]","[0.7445530891418457, 1.363757610321045, 0.7123105525970459, 1.211719036102295, 0.8219192028045654]","[0.2540445625782013, 0.2540445625782013, 0.4727821350097656, 0.2540445625782013, 3.3872714042663574]","[1.5993084967136384, 1.5993084967136384, 1.5993084967136384, 1.5993084967136384, 1.5993084967136384, 1.5993084967136384, 1.5993084967136384, 1.5993084967136384, 1.5993084967136384, 1.5993084967136384, 1.5993084967136384, 1.5993084967136384, 1.5993084967136384, 1.5555609822273255, 1.5555609822273255, 1.5555609822273255, 1.5555609822273255, 1.5555609822273255, 0.9244374454021453, 0.9244374454021453, 0.9244374454021453, 0.2540445625782013, 0.2540445625782013, 0.2540445625782013, 0.2540445625782013, 0.2540445625782013, 0.2540445625782013, 0.2540445625782013, 0.2540445625782013, 0.2540445625782013, 0.2540445625782013, 0.2540445625782013, 0.2540445625782013, 0.2540445625782013, 0.2540445625782013, 0.2540445625782013, 0.2540445625782013, 0.2540445625782013, 0.2540445625782013]",10.0,12.5,22.5,0.25
4,228.21,228.6005889892578,1.5962731116208069,226.61855413525754,230.58262384325806,"[229.80300903320312, 226.2962188720703, 227.5901336669922, 229.35325622558594, 229.9603271484375]",[ 8.56026175 12.89433175 19.13160552  0.25039793],"[array([ 8.3447218 , 18.10082394, 20.37837244,  0.2637474 ]), array([ 8.403866  , 16.42110977, 18.15120276,  0.25904725]), array([ 8.74115445, 19.28745768, 16.20058564,  0.25298406]), array([ 8.43526803, 19.32637579, 15.75677213,  0.35901705]), array([ 8.11812316, 16.64632628, 22.9442948 ,  0.32822669])]","[0.7274880409240723, 1.1582260131835938, 1.2725193500518799, 1.358841896057129, 0.8229494094848633]","[2.537656307220459, 3.662583827972412, 0.38424259424209595, 1.3070194721221924, 3.0636215209960938]","[52.244651556015015, 52.244651556015015, 52.244651556015015, 45.09958624839783, 2.3922377228736877, 2.3922377228736877, 2.3922377228736877, 2.3922377228736877, 2.3922377228736877, 2.3922377228736877, 2.3922377228736877, 2.1910247445106505, 2.1910247445106505, 2.1910247445106505, 2.1910247445106505, 2.1910247445106505, 2.1910247445106505, 2.1910247445106505, 2.1910247445106505, 2.1910247445106505, 2.1910247445106505, 2.023413211107254, 2.023413211107254, 2.023413211107254, 2.023413211107254, 3.662583827972412, 3.662583827972412, 3.662583827972412, 3.662583827972412, 3.662583827972412, 3.662583827972412, 3.662583827972412, 3.662583827972412]",10.0,10.0,25.0,0.2
5,334.54,284.01121215820314,1.046833020496621,282.7113972845216,285.3110270318847,"[284.4793701171875, 284.4793701171875, 284.4793701171875, 284.4793701171875, 282.1385803222656]",[11.11135178 15.37040402 23.13901013  0.38031265],"[array([11.09058435, 15.22889867, 21.24233845,  0.33985657]), array([10.35687776, 17.82404529, 21.1310248 ,  0.31462354]), array([10.88311439, 19.42682388, 21.83712145,  0.3295048 ]), array([11.43733261, 10.12081175, 15.33540061,  0.22883376]), array([10.0282429 , 13.76060601, 20.54460324,  0.24810417])]","[2.1681454181671143, 1.0833475589752197, 0.7775602340698242, 1.4983866214752197, 1.3508532047271729]","[2506.067626953125, 2506.067626953125, 2506.067626953125, 2506.067626953125, 2745.90966796875]","[3520.43212890625, 3520.43212890625, 3178.858544921875, 3178.858544921875, 2976.659130859375, 2976.659130859375, 2976.659130859375, 2928.69072265625, 2928.69072265625, 2928.69072265625, 2658.61201171875, 2658.61201171875, 2658.61201171875, 2658.61201171875, 2658.61201171875, 2658.61201171875, 2658.61201171875, 2610.643603515625, 2610.643603515625, 2610.643603515625, 2602.004443359375, 2602.004443359375, 2602.004443359375, 2625.9886474609375, 2625.9886474609375, 2625.9886474609375, 2625.9886474609375, 2625.9886474609375, 2625.9886474609375, 2665.9623209635415, 2665.9623209635415, 2625.9886474609375, 2625.9886474609375, 2625.9886474609375, 2625.9886474609375, 2506.067626953125, 2506.067626953125, 2506.067626953125, 2506.067626953125, 2506.067626953125, 2506.067626953125, 2506.067626953125, 2506.067626953125, 2506.067626953125, 2506.067626953125, 2506.067626953125, 2506.067626953125, 2506.067626953125, 2506.067626953125, 2506.067626953125, 2506.067626953125, 2506.067626953125, 2506.067626953125, 2506.067626953125, 2506.067626953125, 2506.067626953125, 2506.067626953125]",12.0,20.0,25.0,0.3
6,272.24,272.52330322265624,0.36108185107856405,272.0749608877672,272.9716455575453,"[271.87738037109375, 272.6847839355469, 272.6847839355469, 272.6847839355469, 272.6847839355469]",[10.12725567 10.74800266 19.63570994  0.22827265],"[array([11.07649468, 12.05316875, 17.52386435,  0.39659973]), array([11.65003393, 11.07925614, 17.92801655,  0.38527236]), array([11.08772202, 17.12541245, 20.6282153 ,  0.25234828]), array([11.05833641, 14.58712385, 21.34093169,  0.20235033]), array([11.35287335, 12.11220798, 16.90884811,  0.26661549])]","[1.2783234119415283, 1.9220869541168213, 1.0919713973999023, 1.8885536193847656, 1.5663511753082275]","[0.13148590922355652, 0.19784143567085266, 0.19784143567085266, 0.19784143567085266, 0.19784143567085266]","[29.642801624536514, 27.524184376001358, 27.524184376001358, 17.640871387720107, 17.640871387720107, 10.91517424583435, 10.91517424583435, 10.91517424583435, 10.91517424583435, 10.91517424583435, 9.087358617782593, 9.087358617782593, 5.277545839548111, 5.277545839548111, 5.277545839548111, 0.39293543100357053, 0.39293543100357053, 0.39293543100357053, 0.39293543100357053, 0.39293543100357053, 0.39293543100357053, 0.44170892983675003, 0.44170892983675003, 0.44170892983675003, 0.44170892983675003, 0.18125255405902863, 0.18125255405902863, 0.19784143567085266, 0.19784143567085266, 0.19784143567085266, 0.19784143567085266, 0.19784143567085266, 0.19784143567085266, 0.19784143567085266, 0.19784143567085266, 0.19784143567085266, 0.19784143567085266, 0.19784143567085266, 0.19784143567085266, 0.19784143567085266, 0.19784143567085266, 0.19784143567085266, 0.19784143567085266, 0.19784143567085266, 0.19784143567085266, 0.19784143567085266, 0.19784143567085266]",12.0,15.0,25.0,0.2
7,249.42,248.98212890625,2.0002498531294903,246.49849067620676,251.46576713629327,"[249.6628875732422, 245.6394500732422, 250.44752502441406, 248.7132568359375, 250.44752502441406]",[ 9.62909317 10.96885419 16.16080272  0.27209074],"[array([ 9.3023727 , 10.32694117, 17.07528022,  0.24469734]), array([ 9.69077662, 10.81425535, 17.20442705,  0.20753481]), array([11.40876266, 12.4951619 , 23.65603812,  0.27551535]), array([11.47054378, 10.09599427, 24.14806983,  0.25605152]), array([10.12795853, 13.12497436, 23.21273496,  0.25183181])]","[1.0682883262634277, 0.9083144664764404, 1.4163563251495361, 1.0515198707580566, 1.0773916244506836]","[0.058995261788368225, 14.2925443649292, 1.0558114051818848, 0.4994833171367645, 1.0558114051818848]","[5.026961615681648, 4.346017071604729, 4.346017071604729, 4.346017071604729, 4.346017071604729, 4.346017071604729, 4.346017071604729, 3.962208077311516, 3.962208077311516, 3.962208077311516, 3.3925291508436204, 3.3925291508436204, 3.3925291508436204, 3.3925291508436204, 3.3925291508436204, 3.3925291508436204, 3.3925291508436204, 3.3925291508436204, 3.3925291508436204, 3.3925291508436204, 3.3925291508436204, 0.8703687091668447, 0.8703687091668447, 1.0558114051818848, 1.0558114051818848, 1.0558114051818848, 1.0558114051818848, 1.0558114051818848, 1.0558114051818848, 1.0558114051818848, 1.0558114051818848]",10.0,15.0,25.0,0.2
8,232.62,232.63924255371094,3.0366053172269223,228.86879905455615,236.40968605286574,"[235.9719696044922, 229.9603271484375, 229.2620086669922, 232.68072509765625, 235.32118225097656]",[ 8.94165404 11.66235307 21.39973678  0.2128923 ],"[array([ 8.90674659, 11.37041183, 21.72099853,  0.3003604 ]), array([ 8.92803267, 12.8766675 , 20.40901852,  0.27038847]), array([ 8.97330349, 14.80569485, 17.471443  ,  0.37701784]), array([ 8.81685624, 10.07617484, 16.39626237,  0.28857722]), array([ 8.49615749, 16.09236293, 18.90790755,  0.37525204])]","[0.9983291625976562, 1.6508424282073975, 1.013051986694336, 0.7872755527496338, 0.9985017776489258]","[11.235733032226562, 7.07383394241333, 11.276073455810547, 0.0036881305277347565, 7.296411991119385]","[31.873606300354005, 31.873606300354005, 31.873606300354005, 31.873606300354005, 30.902731186896563, 21.796933037787674, 21.796933037787674, 18.747660119086504, 18.747660119086504, 18.747660119086504, 7.549463421851397, 7.549463421851397, 7.549463421851397, 7.549463421851397, 7.549463421851397, 7.549463421851397, 7.377148110419512, 7.377148110419512, 7.377148110419512, 7.377148110419512, 7.377148110419512, 6.412501879967749, 6.412501879967749, 6.412501879967749, 6.412501879967749, 8.548773129781088, 8.548773129781088, 8.548773129781088, 8.548773129781088, 7.185122966766357, 7.185122966766357, 7.07383394241333, 7.07383394241333, 7.07383394241333, 7.07383394241333, 7.07383394241333, 7.07383394241333]",8.0,10.0,15.0,0.2
9,238.63,239.5943115234375,0.7615440283195597,238.64872972042605,240.53989332644898,"[239.04054260253906, 239.04054260253906, 239.04054260253906, 240.32534790039062, 240.5245819091797]",[ 8.95222998 10.23878792 18.29744233  0.25432469],"[array([ 9.87578994, 19.69215082, 15.85805937,  0.2097482 ]), array([ 9.42977274, 15.97423692, 19.63424961,  0.28798955]), array([ 9.36439452, 13.09771284, 23.12677115,  0.32707416]), array([ 9.11588018, 10.87545761, 20.33949041,  0.28176558]), array([ 8.57432244, 14.34513841, 22.28826088,  0.29665233])]","[0.795764684677124, 0.6445388793945312, 2.1596670150756836, 0.8144009113311768, 0.642305850982666]","[0.16854122281074524, 0.16854122281074524, 0.16854122281074524, 2.87418794631958, 3.5894222259521484]","[5.546638542413712, 5.546638542413712, 5.546638542413712, 5.354788929224014, 4.417477810382843, 4.417477810382843, 2.116998541355133, 2.116998541355133, 2.116998541355133, 2.0780229687690737, 2.0780229687690737, 2.0780229687690737, 2.0780229687690737, 2.0780229687690737, 2.0780229687690737, 2.0780229687690737, 2.0780229687690737, 2.027799332141876, 2.027799332141876, 2.027799332141876, 2.027799332141876, 2.127011070648829, 2.127011070648829, 2.127011070648829, 2.127011070648829, 3.338304042816162, 3.338304042816162, 3.338304042816162, 3.338304042816162, 3.338304042816162, 3.338304042816162, 3.338304042816162, 3.338304042816162, 0.16854122281074524, 0.16854122281074524, 0.16854122281074524, 0.16854122281074524, 0.16854122281074524, 0.16854122281074524, 0.16854122281074524, 0.16854122281074524, 0.16854122281074524, 0.16854122281074524, 0.16854122281074524, 0.16854122281074524, 0.16854122281074524, 0.16854122281074524, 0.16854122281074524, 0.16854122281074524, 0.16854122281074524, 0.16854122281074524, 0.16854122281074524, 0.16854122281074524, 0.16854122281074524, 0.16854122281074524]",8.0,15.0,15.0,0.3
