real_inputs,given_candidate,target,predicted,top_candidates,eval_time_sec
"[8.0, 10.0, 15.0, 0.2]",[ 8.11516215 16.91574646 22.69797764  0.38490255],232.62,232.52345,"[array([ 8.11516215, 16.91574646, 22.69797764,  0.38490255]), array([ 8.11516215, 16.91574646, 22.69797764,  0.38490255]), array([ 8.84126563, 15.35836411, 24.89300665,  0.33172068]), array([ 8.81382974, 14.23292838, 20.16306436,  0.37079322]), array([ 8.55814775, 14.32218894, 21.90218642,  0.36173778])]",0.07694411277770996
"[8.0, 10.0, 20.0, 0.3]",[ 8.68575149 13.72906763 20.24526939  0.30680432],232.08,231.74586,"[array([ 8.68575149, 13.72906763, 20.24526939,  0.30680432]), array([ 8.68575149, 13.72906763, 20.24526939,  0.30680432]), array([ 8.62540727, 12.85121983, 20.76618922,  0.32645985]), array([ 8.70696132, 12.55737026, 21.62380652,  0.38646699]), array([ 8.72240326, 14.57769268, 21.95167111,  0.31195126])]",0.062494754791259766
"[8.0, 15.0, 15.0, 0.3]",[ 9.6547338  12.09294372 22.80696918  0.33802978],238.63,238.40343,"[array([ 9.6547338 , 12.09294372, 22.80696918,  0.33802978]), array([ 9.6547338 , 12.09294372, 22.80696918,  0.33802978]), array([ 9.07132082, 12.10805543, 24.89903317,  0.28001725]), array([ 8.89566678, 12.4619389 , 17.90807384,  0.28949806]), array([ 9.2589794 , 16.68992228, 17.01449581,  0.37927087])]",0.18523144721984863
"[8.0, 15.0, 20.0, 0.2]",[ 8.55091358 16.13437749 16.10499431  0.22939654],219.76,222.28401,"[array([ 8.55091358, 16.13437749, 16.10499431,  0.22939654]), array([ 8.33796675, 17.45613845, 17.67021618,  0.20541624]), array([ 8.55091358, 16.13437749, 16.10499431,  0.22939654]), array([ 8.60250364, 15.13638229, 17.82817948,  0.24316512]), array([ 8.86551975, 18.82207396, 18.61856247,  0.24042729])]",0.06496667861938477
"[8.0, 20.0, 15.0, 0.2]",[ 8.45599407 17.83294297 19.42730405  0.26482124],196.63,223.55508,"[array([ 8.45599407, 17.83294297, 19.42730405,  0.26482124]), array([ 8.76511657, 18.35537126, 17.85305924,  0.29711962]), array([ 8.620739  , 16.89226051, 17.42505098,  0.29389775]), array([ 8.45599407, 17.83294297, 19.42730405,  0.26482124]), array([ 8.18180568, 18.93401184, 19.76306459,  0.29818076])]",0.07133936882019043
"[8.0, 20.0, 20.0, 0.3]",[ 8.19352905 10.92447    22.80225232  0.22442334],224.38,224.91017,"[array([ 8.19352905, 10.92447   , 22.80225232,  0.22442334]), array([ 8.57137707, 11.23978521, 23.41141032,  0.24695268]), array([ 8.19352905, 10.92447   , 22.80225232,  0.22442334]), array([ 8.42409303, 14.10646848, 22.9839291 ,  0.27087063]), array([ 8.25598157, 18.7933724 , 17.62843125,  0.28782588])]",0.09369945526123047
"[8.0, 20.0, 25.0, 0.4]",[ 8.10587067 13.3389098  20.44737807  0.23402825],231.34,231.49475,"[array([ 8.10587067, 13.3389098 , 20.44737807,  0.23402825]), array([ 8.48971697, 14.97293093, 22.19728558,  0.22489442]), array([ 8.51453266, 13.75731073, 21.08493286,  0.22471265]), array([ 8.30643442, 12.62914232, 21.25124182,  0.23217075]), array([ 8.10587067, 13.3389098 , 20.44737807,  0.23402825])]",0.11691927909851074
"[10.0, 10.0, 20.0, 0.2]",[10.31434814 13.54258188 24.04082553  0.2109714 ],256.11,257.64603,"[array([10.31434814, 13.54258188, 24.04082553,  0.2109714 ]), array([10.96495635, 12.65848876, 24.11608427,  0.23489801]), array([10.31434814, 13.54258188, 24.04082553,  0.2109714 ]), array([11.43497411, 12.98711044, 22.5849961 ,  0.23658946]), array([11.30213276, 13.34543898, 15.90896923,  0.25536149])]",0.057796478271484375
"[10.0, 10.0, 20.0, 0.3]",[11.93296697 14.39505198 24.12197666  0.37898501],264.86,264.20917,"[array([11.93296697, 14.39505198, 24.12197666,  0.37898501]), array([11.9027952 , 14.38210693, 22.78750971,  0.38152277]), array([11.87733843, 14.80408341, 23.29854872,  0.30802099]), array([11.86881532, 13.88829433, 23.39016159,  0.30528974]), array([10.72274621, 14.50756279, 23.82576975,  0.32680265])]",0.08641672134399414
"[10.0, 10.0, 25.0, 0.2]",[ 8.17803967 10.33654722 24.44626917  0.34911416],228.21,228.95467,"[array([ 8.17803967, 10.33654722, 24.44626917,  0.34911416]), array([ 8.17803967, 10.33654722, 24.44626917,  0.34911416]), array([ 8.2492056 , 11.13691045, 23.46023624,  0.32194773]), array([ 8.12280704, 12.1217972 , 24.17760183,  0.35516487]), array([ 8.91874928, 12.38722912, 24.13181535,  0.31597157])]",0.08724284172058105
"[10.0, 15.0, 25.0, 0.2]",[ 9.09643468 11.47946924 17.59178731  0.28836144],249.42,249.40408,"[array([ 9.09643468, 11.47946924, 17.59178731,  0.28836144]), array([ 9.11400724, 11.16560043, 17.37189259,  0.29443254]), array([ 9.82482747, 10.35170112, 18.42426621,  0.24165395]), array([ 9.82482747, 10.35170112, 18.42426621,  0.24165395]), array([ 9.08734417, 11.85650941, 18.81892491,  0.3609021 ])]",0.05720257759094238
