test_index,target,prediction_mean,prediction_std,prediction_ci_low,prediction_ci_high,replica_predictions,best_candidate,top_candidates,replica_times,final_costs_replicas,avg_cost_history,input_0,input_1,input_2,input_3
0,342.45,284.4793701171875,0.0,284.4793701171875,284.4793701171875,"[284.4793701171875, 284.4793701171875, 284.4793701171875, 284.4793701171875, 284.4793701171875]",[10.90382272 18.9711026  23.87086424  0.35597511],"[array([11.63850728, 16.69200263, 23.29286799,  0.37579578]), array([11.63850728, 16.69200263, 23.29286799,  0.37579578]), array([11.58186041, 15.9893879 , 22.78475586,  0.39856337]), array([10.67810072, 17.31036311, 24.55060511,  0.36423966]), array([11.65314779, 16.12573468, 23.73698593,  0.34479461])]","[0.09520959854125977, 0.06537938117980957, 0.08179950714111328, 0.07482147216796875, 0.06820940971374512]","[3360.5939290100323, 3360.5939290100323, 3360.5939290100323, 3360.5939290100323, 3360.5939290100323]","[3415.9686119167864, 3360.5939290100323]",12.0,20.0,25.0,0.4
1,337.88,284.4793701171875,0.0,284.4793701171875,284.4793701171875,"[284.4793701171875, 284.4793701171875, 284.4793701171875, 284.4793701171875, 284.4793701171875]",[11.12539536 19.60167785 22.63579069  0.3710414 ],"[array([11.02771064, 16.8912109 , 23.63641052,  0.39936184]), array([10.89878502, 18.36415597, 23.62489622,  0.34489687]), array([10.49655201, 15.66625913, 23.0581488 ,  0.36341853]), array([10.46341301, 19.93265196, 23.68557028,  0.31292797]), array([11.01945964, 17.75966062, 23.15558701,  0.30656541])]","[0.07320690155029297, 0.06951189041137695, 0.06543469429016113, 0.06277060508728027, 0.0846858024597168]","[2851.627271881127, 2851.627271881127, 2851.627271881127, 2851.627271881127, 2851.627271881127]","[2902.722991042764, 2851.627271881127]",12.0,20.0,20.0,0.4
2,278.4,280.54364013671875,0.0,280.54364013671875,280.54364013671875,"[280.54364013671875, 280.54364013671875, 280.54364013671875, 280.54364013671875, 280.54364013671875]",[11.04851848 19.36176564 24.40750859  0.23495626],"[array([10.75332305, 16.04130629, 24.35815624,  0.24680106]), array([10.75332305, 16.04130629, 24.35815624,  0.24680106]), array([10.59464403, 15.44247305, 23.59547298,  0.24516602]), array([10.34008238, 19.84441954, 21.80591036,  0.27605699]), array([10.1196787 , 16.86913276, 20.96519604,  0.29253466])]","[0.06841135025024414, 0.06043744087219238, 0.06594538688659668, 0.11030864715576172, 0.06557154655456543]","[4.595193035751679, 4.595193035751679, 4.595193035751679, 4.595193035751679, 4.595193035751679]","[5.5803873299435285, 4.595193035751679]",12.0,20.0,15.0,0.3
3,260.71,260.26072387695314,0.5329086078944963,259.59903044419764,260.92241730970864,"[261.2140197753906, 260.02239990234375, 260.02239990234375, 260.02239990234375, 260.02239990234375]",[10.35081291 10.64043524 23.6243413   0.39229994],"[array([11.802851  , 15.97795833, 15.14868974,  0.27057547]), array([11.802851  , 15.97795833, 15.14868974,  0.27057547]), array([10.51060769, 19.24633678, 15.50526366,  0.27336182]), array([10.92541589, 15.24449394, 19.01284008,  0.28657171]), array([10.65333576, 17.17670654, 18.54036803,  0.28307195])]","[0.09802532196044922, 0.07686328887939453, 0.06679630279541016, 0.06828832626342773, 0.07800722122192383]","[0.2540359339848367, 0.4727938942968564, 0.4727938942968564, 0.4727938942968564, 0.4727938942968564]","[0.4290423022344525, 0.4290423022344525]",10.0,12.5,22.5,0.25
4,228.21,227.94275817871093,0.7884923787357963,226.96371557917664,228.92180077824523,"[227.5901336669922, 229.35325622558594, 227.5901336669922, 227.5901336669922, 227.5901336669922]",[ 8.66214117 14.0273237  18.43430588  0.28018054],"[array([ 8.73773402, 14.92165506, 18.38485859,  0.29101793]), array([ 8.73292287, 12.98845815, 18.4099559 ,  0.29324048]), array([ 8.73773402, 14.92165506, 18.38485859,  0.29101793]), array([ 8.67238979, 13.61016331, 16.30586358,  0.26897726]), array([ 8.58995249, 13.17555613, 20.23485863,  0.27536148])]","[0.05838775634765625, 0.17685389518737793, 0.07100129127502441, 0.11210179328918457, 0.07759690284729004]","[0.3842342707965622, 1.3070347973409857, 0.3842342707965622, 0.3842342707965622, 0.3842342707965622]","[0.9994830779194805, 0.713291969031467, 0.845634534068774, 0.3842342707965622]",10.0,10.0,25.0,0.2
5,334.54,284.4793701171875,0.0,284.4793701171875,284.4793701171875,"[284.4793701171875, 284.4793701171875, 284.4793701171875, 284.4793701171875, 284.4793701171875]",[11.99783627 17.10141883 22.61681356  0.387673  ],"[array([11.08164655, 18.65965954, 24.4473679 ,  0.33289539]), array([10.63936755, 16.63847438, 22.89018595,  0.33740325]), array([10.11751836, 18.35088258, 23.48859863,  0.30550781]), array([11.23791434, 17.70065568, 23.46286163,  0.30957176]), array([10.62033972, 18.36134869, 22.66475395,  0.33049988])]","[0.06371569633483887, 0.0623774528503418, 0.059197187423706055, 0.11310744285583496, 0.06133008003234863]","[2506.066664263942, 2506.066664263942, 2506.066664263942, 2506.066664263942, 2506.066664263942]","[2554.035088259564, 2506.066664263942]",12.0,20.0,25.0,0.3
6,272.24,271.87738037109375,0.0,271.87738037109375,271.87738037109375,"[271.87738037109375, 271.87738037109375, 271.87738037109375, 271.87738037109375, 271.87738037109375]",[11.88426333 11.27602308 16.75077945  0.23344676],"[array([11.6048143 , 10.70109793, 17.68613193,  0.23090788]), array([10.03323547, 12.17408137, 16.7405033 ,  0.23496158]), array([11.26904273, 10.74328897, 15.42841024,  0.24101025]), array([11.6048143 , 10.70109793, 17.68613193,  0.23090788]), array([11.3871984 , 10.57852491, 15.06393752,  0.23168543])]","[0.06158804893493652, 0.06815838813781738, 0.10884785652160645, 0.06074857711791992, 0.06208038330078125]","[0.13149299526811306, 0.13149299526811306, 0.13149299526811306, 0.13149299526811306, 0.13149299526811306]","[0.13149299526811306, 0.13149299526811306]",12.0,15.0,25.0,0.2
7,249.42,249.47296142578125,0.4246877764273053,248.94564190331425,250.00028094824825,"[249.6628875732422, 248.7132568359375, 249.6628875732422, 249.6628875732422, 249.6628875732422]",[ 9.6599463  11.93711306 17.98504957  0.28743328],"[array([ 9.36121928, 11.0352853 , 16.8364385 ,  0.26914054]), array([ 9.12916856, 11.27045063, 16.92471014,  0.28090696]), array([ 9.36121928, 11.0352853 , 16.8364385 ,  0.26914054]), array([ 9.59745836, 11.15216561, 19.85388299,  0.25023979]), array([ 9.22391702, 11.16090455, 18.48897601,  0.26395041])]","[0.06360220909118652, 0.10664796829223633, 0.07507944107055664, 0.07636666297912598, 0.09866762161254883]","[0.05899437323548507, 0.4994858999490561, 0.05899437323548507, 0.05899437323548507, 0.05899437323548507]","[0.32328928926362777, 0.14709267857819927]",10.0,15.0,25.0,0.2
8,232.62,233.8252197265625,1.1522152990541783,232.39455547154733,235.25588398157765,"[232.9936065673828, 234.8240966796875, 235.32118225097656, 232.9936065673828, 232.9936065673828]",[ 9.82493259 14.629516   24.44580395  0.26404192],"[array([ 9.44166341, 14.43835825, 23.26542656,  0.26778544]), array([ 9.44166341, 14.43835825, 23.26542656,  0.26778544]), array([ 9.1356182 , 13.92220229, 23.24922544,  0.25714584]), array([ 9.36555889, 14.05216838, 22.8933615 ,  0.26545784]), array([ 8.874104  , 16.23562222, 20.44619421,  0.32592514])]","[0.084991455078125, 0.07503366470336914, 0.08367156982421875, 0.14503860473632812, 0.06816983222961426]","[0.13958186719156462, 4.858042173409442, 7.296385552990785, 0.13958186719156462, 0.13958186719156462]","[3.4344718794576785, 2.514634665594984]",8.0,10.0,15.0,0.2
9,238.63,238.78643188476562,0.5682088387526703,238.08090742622525,239.491956343306,"[239.04054260253906, 239.04054260253906, 239.04054260253906, 239.04054260253906, 237.76998901367188]",[ 8.41061188 10.01183694 17.06460176  0.28226739],"[array([ 9.36813536, 11.33936699, 23.35510155,  0.37606855]), array([ 9.36813536, 11.33936699, 23.35510155,  0.37606855]), array([ 9.69790601, 12.06020265, 23.67438726,  0.30899749]), array([ 9.47175445, 11.88946573, 23.79786178,  0.33104886]), array([ 8.90308905, 11.19975308, 17.02698908,  0.23391449])]","[0.13844513893127441, 0.24262785911560059, 0.14551305770874023, 0.12598776817321777, 0.11036205291748047]","[0.1685452284995504, 0.1685452284995504, 0.1685452284995504, 0.1685452284995504, 0.7396188966050666]","[0.28275996212065363, 0.28275996212065363]",8.0,15.0,15.0,0.3
