1/144: MAE = 7.8988 ± 2.6771, params = {'population_size': 30, 'generations': 80, 'crossover_rate': 0.6, 'mutation_factor': 0.3}
2/144: MAE = 7.9692 ± 2.9867, params = {'population_size': 30, 'generations': 80, 'crossover_rate': 0.6, 'mutation_factor': 0.45}
3/144: MAE = 7.8948 ± 2.5255, params = {'population_size': 30, 'generations': 80, 'crossover_rate': 0.6, 'mutation_factor': 0.6}
4/144: MAE = 7.9272 ± 2.5370, params = {'population_size': 30, 'generations': 80, 'crossover_rate': 0.6, 'mutation_factor': 0.75}
5/144: MAE = 8.3540 ± 2.4305, params = {'population_size': 30, 'generations': 80, 'crossover_rate': 0.75, 'mutation_factor': 0.3}
6/144: MAE = 7.9843 ± 2.7353, params = {'population_size': 30, 'generations': 80, 'crossover_rate': 0.75, 'mutation_factor': 0.45}
7/144: MAE = 8.0299 ± 2.4202, params = {'population_size': 30, 'generations': 80, 'crossover_rate': 0.75, 'mutation_factor': 0.6}
8/144: MAE = 8.0343 ± 2.6102, params = {'population_size': 30, 'generations': 80, 'crossover_rate': 0.75, 'mutation_factor': 0.75}
9/144: MAE = 8.0969 ± 2.4882, params = {'population_size': 30, 'generations': 80, 'crossover_rate': 0.9, 'mutation_factor': 0.3}
10/144: MAE = 8.0442 ± 2.7193, params = {'population_size': 30, 'generations': 80, 'crossover_rate': 0.9, 'mutation_factor': 0.45}
11/144: MAE = 8.1644 ± 2.7145, params = {'population_size': 30, 'generations': 80, 'crossover_rate': 0.9, 'mutation_factor': 0.6}
12/144: MAE = 8.4596 ± 2.4695, params = {'population_size': 30, 'generations': 80, 'crossover_rate': 0.9, 'mutation_factor': 0.75}
13/144: MAE = 8.0714 ± 2.8141, params = {'population_size': 30, 'generations': 110, 'crossover_rate': 0.6, 'mutation_factor': 0.3}
14/144: MAE = 7.8270 ± 2.4925, params = {'population_size': 30, 'generations': 110, 'crossover_rate': 0.6, 'mutation_factor': 0.45}
15/144: MAE = 7.8426 ± 2.3156, params = {'population_size': 30, 'generations': 110, 'crossover_rate': 0.6, 'mutation_factor': 0.6}
16/144: MAE = 7.9928 ± 2.7940, params = {'population_size': 30, 'generations': 110, 'crossover_rate': 0.6, 'mutation_factor': 0.75}
17/144: MAE = 8.3612 ± 2.7585, params = {'population_size': 30, 'generations': 110, 'crossover_rate': 0.75, 'mutation_factor': 0.3}
18/144: MAE = 7.9920 ± 2.7615, params = {'population_size': 30, 'generations': 110, 'crossover_rate': 0.75, 'mutation_factor': 0.45}
19/144: MAE = 7.6726 ± 2.7574, params = {'population_size': 30, 'generations': 110, 'crossover_rate': 0.75, 'mutation_factor': 0.6}
20/144: MAE = 7.7024 ± 2.7067, params = {'population_size': 30, 'generations': 110, 'crossover_rate': 0.75, 'mutation_factor': 0.75}
21/144: MAE = 8.3515 ± 2.9336, params = {'population_size': 30, 'generations': 110, 'crossover_rate': 0.9, 'mutation_factor': 0.3}
22/144: MAE = 8.4373 ± 2.6736, params = {'population_size': 30, 'generations': 110, 'crossover_rate': 0.9, 'mutation_factor': 0.45}
23/144: MAE = 8.0463 ± 2.6698, params = {'population_size': 30, 'generations': 110, 'crossover_rate': 0.9, 'mutation_factor': 0.6}
24/144: MAE = 8.3529 ± 2.7795, params = {'population_size': 30, 'generations': 110, 'crossover_rate': 0.9, 'mutation_factor': 0.75}
25/144: MAE = 8.0237 ± 2.6471, params = {'population_size': 30, 'generations': 140, 'crossover_rate': 0.6, 'mutation_factor': 0.3}
26/144: MAE = 7.9516 ± 2.5842, params = {'population_size': 30, 'generations': 140, 'crossover_rate': 0.6, 'mutation_factor': 0.45}
27/144: MAE = 7.8444 ± 2.8395, params = {'population_size': 30, 'generations': 140, 'crossover_rate': 0.6, 'mutation_factor': 0.6}
28/144: MAE = 8.1248 ± 2.6490, params = {'population_size': 30, 'generations': 140, 'crossover_rate': 0.6, 'mutation_factor': 0.75}
29/144: MAE = 8.1341 ± 2.6579, params = {'population_size': 30, 'generations': 140, 'crossover_rate': 0.75, 'mutation_factor': 0.3}
30/144: MAE = 7.9534 ± 2.7832, params = {'population_size': 30, 'generations': 140, 'crossover_rate': 0.75, 'mutation_factor': 0.45}
31/144: MAE = 7.8852 ± 2.6493, params = {'population_size': 30, 'generations': 140, 'crossover_rate': 0.75, 'mutation_factor': 0.6}
32/144: MAE = 7.9007 ± 2.4833, params = {'population_size': 30, 'generations': 140, 'crossover_rate': 0.75, 'mutation_factor': 0.75}
33/144: MAE = 8.2758 ± 2.6443, params = {'population_size': 30, 'generations': 140, 'crossover_rate': 0.9, 'mutation_factor': 0.3}
34/144: MAE = 8.0107 ± 2.6845, params = {'population_size': 30, 'generations': 140, 'crossover_rate': 0.9, 'mutation_factor': 0.45}
35/144: MAE = 8.0325 ± 2.7166, params = {'population_size': 30, 'generations': 140, 'crossover_rate': 0.9, 'mutation_factor': 0.6}
36/144: MAE = 8.3181 ± 2.7850, params = {'population_size': 30, 'generations': 140, 'crossover_rate': 0.9, 'mutation_factor': 0.75}
37/144: MAE = 8.0521 ± 2.6877, params = {'population_size': 30, 'generations': 170, 'crossover_rate': 0.6, 'mutation_factor': 0.3}
38/144: MAE = 8.0027 ± 2.7767, params = {'population_size': 30, 'generations': 170, 'crossover_rate': 0.6, 'mutation_factor': 0.45}
39/144: MAE = 7.7422 ± 2.6628, params = {'population_size': 30, 'generations': 170, 'crossover_rate': 0.6, 'mutation_factor': 0.6}
40/144: MAE = 7.5134 ± 2.8030, params = {'population_size': 30, 'generations': 170, 'crossover_rate': 0.6, 'mutation_factor': 0.75}
41/144: MAE = 8.2349 ± 2.7785, params = {'population_size': 30, 'generations': 170, 'crossover_rate': 0.75, 'mutation_factor': 0.3}
