=== Optimizer Hyperparameter Tuning: Differential Evolution ===
Total combinations: 144

1/144 | MAE: 6.128 ± 9.198 | RMSE: 6.128 ± 9.198 | R²: 0.885 | params: {'population_size': 30, 'generations': 80, 'crossover_rate': 0.6, 'mutation_factor': 0.3}
2/144 | MAE: 5.508 ± 9.085 | RMSE: 5.508 ± 9.085 | R²: 0.894 | params: {'population_size': 30, 'generations': 80, 'crossover_rate': 0.6, 'mutation_factor': 0.45}
3/144 | MAE: 5.621 ± 8.789 | RMSE: 5.621 ± 8.789 | R²: 0.898 | params: {'population_size': 30, 'generations': 80, 'crossover_rate': 0.6, 'mutation_factor': 0.6}
4/144 | MAE: 5.337 ± 8.689 | RMSE: 5.337 ± 8.689 | R²: 0.903 | params: {'population_size': 30, 'generations': 80, 'crossover_rate': 0.6, 'mutation_factor': 0.75}
5/144 | MAE: 5.829 ± 8.989 | RMSE: 5.829 ± 8.989 | R²: 0.892 | params: {'population_size': 30, 'generations': 80, 'crossover_rate': 0.75, 'mutation_factor': 0.3}
6/144 | MAE: 5.626 ± 9.073 | RMSE: 5.626 ± 9.073 | R²: 0.893 | params: {'population_size': 30, 'generations': 80, 'crossover_rate': 0.75, 'mutation_factor': 0.45}
7/144 | MAE: 5.901 ± 9.030 | RMSE: 5.901 ± 9.030 | R²: 0.891 | params: {'population_size': 30, 'generations': 80, 'crossover_rate': 0.75, 'mutation_factor': 0.6}
8/144 | MAE: 5.555 ± 8.908 | RMSE: 5.555 ± 8.908 | R²: 0.897 | params: {'population_size': 30, 'generations': 80, 'crossover_rate': 0.75, 'mutation_factor': 0.75}
9/144 | MAE: 6.076 ± 9.454 | RMSE: 6.076 ± 9.454 | R²: 0.882 | params: {'population_size': 30, 'generations': 80, 'crossover_rate': 0.9, 'mutation_factor': 0.3}
10/144 | MAE: 5.877 ± 9.032 | RMSE: 5.877 ± 9.032 | R²: 0.891 | params: {'population_size': 30, 'generations': 80, 'crossover_rate': 0.9, 'mutation_factor': 0.45}
11/144 | MAE: 6.244 ± 9.418 | RMSE: 6.244 ± 9.418 | R²: 0.880 | params: {'population_size': 30, 'generations': 80, 'crossover_rate': 0.9, 'mutation_factor': 0.6}
12/144 | MAE: 6.077 ± 8.981 | RMSE: 6.077 ± 8.981 | R²: 0.890 | params: {'population_size': 30, 'generations': 80, 'crossover_rate': 0.9, 'mutation_factor': 0.75}
13/144 | MAE: 5.629 ± 9.210 | RMSE: 5.629 ± 9.210 | R²: 0.891 | params: {'population_size': 30, 'generations': 110, 'crossover_rate': 0.6, 'mutation_factor': 0.3}
14/144 | MAE: 5.629 ± 8.999 | RMSE: 5.629 ± 8.999 | R²: 0.894 | params: {'population_size': 30, 'generations': 110, 'crossover_rate': 0.6, 'mutation_factor': 0.45}
15/144 | MAE: 5.743 ± 8.895 | RMSE: 5.743 ± 8.895 | R²: 0.895 | params: {'population_size': 30, 'generations': 110, 'crossover_rate': 0.6, 'mutation_factor': 0.6}
16/144 | MAE: 5.089 ± 8.705 | RMSE: 5.089 ± 8.705 | R²: 0.905 | params: {'population_size': 30, 'generations': 110, 'crossover_rate': 0.6, 'mutation_factor': 0.75}
