real_inputs,given_candidate,target,predicted,top_candidates,eval_time_sec
"[8.0, 10.0, 15.0, 0.2]",[ 8.29095068 18.21018528 20.2679359   0.26790238],232.62,232.45444,"[array([ 8.29095068, 18.21018528, 20.2679359 ,  0.26790238]), array([ 8.29095068, 18.21018528, 20.2679359 ,  0.26790238]), array([ 8.27824347, 17.6777607 , 20.0987715 ,  0.29796693]), array([ 8.29095068, 18.21018528, 20.2679359 ,  0.26790238]), array([ 8.29095068, 18.21018528, 20.2679359 ,  0.26790238])]",1.0624024868011475
"[8.0, 10.0, 20.0, 0.3]",[ 8.61061674 13.30142403 20.87796554  0.39208509],232.08,231.74586,"[array([ 8.61061674, 13.30142403, 20.87796554,  0.39208509]), array([ 8.62912301, 13.18412635, 21.06124778,  0.34722817]), array([ 8.61061674, 13.67977278, 21.06124778,  0.34722817]), array([ 8.61061674, 13.30142403, 20.87796554,  0.39208509]), array([ 8.62912301, 13.18412635, 21.06124778,  0.34722817])]",1.0829858779907227
"[8.0, 15.0, 15.0, 0.3]",[ 8.83127634 19.03243538 18.06983776  0.4       ],238.63,238.87982,"[array([ 8.83127634, 19.03243538, 18.06983776,  0.4       ]), array([ 8.83127634, 19.03243538, 18.06983776,  0.4       ]), array([ 8.8357128 , 19.09157307, 17.92870479,  0.4       ]), array([ 8.83127634, 19.03243538, 18.06983776,  0.4       ]), array([ 8.83127634, 19.03243538, 18.06983776,  0.4       ])]",1.2161824703216553
"[8.0, 15.0, 20.0, 0.2]",[ 8.12968681 17.85141337 15.72070568  0.23534616],219.76,222.28401,"[array([ 8.12968681, 17.85141337, 15.72070568,  0.23534616]), array([ 8.12968681, 17.85141337, 15.72070568,  0.23534616]), array([ 8.04441079, 18.26400428, 18.13347157,  0.20243984]), array([ 8.90988815, 16.32414763, 15.72070568,  0.23534616]), array([ 8.01778166, 17.85141337, 15.72070568,  0.23534616])]",1.1066880226135254
"[8.0, 20.0, 15.0, 0.2]",[ 8.52269487 15.24926269 17.85194454  0.24263896],196.63,222.28401,"[array([ 8.52269487, 15.24926269, 17.85194454,  0.24263896]), array([ 8.27389621, 17.39380522, 15.44632071,  0.23555359]), array([ 8.79337746, 19.29451041, 15.55412372,  0.22522049]), array([ 8.52269487, 15.24926269, 17.85194454,  0.24263896]), array([ 8.79337746, 17.29733622, 15.64143981,  0.21306806])]",1.0852434635162354
"[8.0, 20.0, 20.0, 0.3]",[ 8.53946149 10.44565698 23.60092899  0.20547057],224.38,224.91017,"[array([ 8.53946149, 10.44565698, 23.60092899,  0.20547057]), array([ 8.53946149, 10.44565698, 23.60092899,  0.20547057]), array([ 8.31599758, 10.44565698, 23.60092899,  0.20547057]), array([ 8.53946149, 10.44565698, 23.60092899,  0.20547057]), array([ 8.31599758, 10.44565698, 23.60092899,  0.20547057])]",1.0953783988952637
"[8.0, 20.0, 25.0, 0.4]",[ 8.11888007 15.73966391 24.53419811  0.25487311],231.34,231.38165,"[array([ 8.11888007, 15.73966391, 24.53419811,  0.25487311]), array([ 8.22143632, 17.58842565, 22.64890979,  0.25392347]), array([ 8.11888007, 15.73966391, 24.53419811,  0.25487311]), array([ 8.22143632, 17.58842565, 22.64890979,  0.25392347]), array([ 8.01126441, 17.58842565, 22.64890979,  0.25392347])]",1.1003975868225098
"[10.0, 10.0, 20.0, 0.2]",[11.95426715 12.99201903 23.7367842   0.20217907],256.11,257.64603,"[array([11.95426715, 12.99201903, 23.7367842 ,  0.20217907]), array([11.95426715, 12.99201903, 23.7367842 ,  0.20217907]), array([11.41214889, 14.64780362, 23.31811333,  0.22745493]), array([11.95426715, 12.99201903, 23.7367842 ,  0.20217907]), array([11.41214889, 14.64780362, 23.31811333,  0.22745493])]",1.0962157249450684
"[10.0, 10.0, 20.0, 0.3]",[11.48695728 14.40362089 21.73362864  0.30629345],264.86,266.9989,"[array([11.48695728, 14.40362089, 21.73362864,  0.30629345]), array([10.936253  , 14.05015474, 20.96548228,  0.30471258]), array([11.99266686, 14.07758844, 22.24420526,  0.37829246]), array([11.48695728, 14.40362089, 21.73362864,  0.30629345]), array([10.936253  , 14.05015474, 20.96548228,  0.30471258])]",1.4760057926177979
"[10.0, 10.0, 25.0, 0.2]",[ 8.02175883 11.54136516 24.21942574  0.27919809],228.21,227.79941,"[array([ 8.02175883, 11.54136516, 24.21942574,  0.27919809]), array([ 8.86138452, 12.39838184, 22.92602302,  0.29462647]), array([ 8.02175883, 11.54136516, 24.21942574,  0.27919809]), array([ 8.86138452, 12.39838184, 22.92602302,  0.29462647]), array([ 8.86138452, 12.39838184, 22.92602302,  0.29462647])]",1.1181120872497559
"[10.0, 15.0, 25.0, 0.2]",[ 9.70908712 11.72372042 19.98979889  0.273555  ],249.42,249.40408,"[array([ 9.70908712, 11.72372042, 19.98979889,  0.273555  ]), array([ 9.70908712, 11.72372042, 19.98979889,  0.273555  ]), array([ 9.70908712, 11.72372042, 19.98979889,  0.273555  ]), array([ 9.2215277 , 11.83430727, 19.15302815,  0.25018871]), array([ 9.70908712, 11.72372042, 19.98979889,  0.273555  ])]",1.0989232063293457
"[10.0, 20.0, 25.0, 0.4]",[12.         19.40149874 22.37939116  0.25911804],306.28,305.9431,"[array([12.        , 19.40149874, 22.37939116,  0.25911804]), array([12.        , 19.40149874, 22.37939116,  0.25911804]), array([12.        , 19.40149874, 22.37939116,  0.25911804]), array([12.        , 17.69829592, 22.49817307,  0.25911804]), array([12.        , 19.40149874, 22.37939116,  0.25911804])]",1.5072224140167236
"[12.0, 15.0, 15.0, 0.3]",[12.         16.24937476 23.93948398  0.4       ],297.65,292.12024,"[array([12.        , 16.24937476, 23.93948398,  0.4       ]), array([12.        , 16.24937476, 23.93948398,  0.4       ]), array([12.        , 16.24937476, 23.93948398,  0.4       ]), array([12.        , 19.07800933, 24.90155282,  0.4       ]), array([12.        , 16.24937476, 23.93948398,  0.4       ])]",1.3730595111846924
"[12.0, 15.0, 25.0, 0.2]",[10.51245159 13.25304705 21.37888517  0.23031613],272.24,271.4794,"[array([10.51245159, 13.25304705, 21.37888517,  0.23031613]), array([10.51245159, 13.25304705, 21.37888517,  0.23031613]), array([10.51245159, 13.25304705, 21.37888517,  0.23031613]), array([10.53396202, 13.25304705, 21.37888517,  0.23031613]), array([10.18099627, 14.9394787 , 20.52058391,  0.23031613])]",1.161073923110962
"[12.0, 20.0, 15.0, 0.3]",[11.77412884 19.94001803 20.1352567   0.26287475],278.4,277.65552,"[array([11.77412884, 19.94001803, 20.1352567 ,  0.26287475]), array([11.77412884, 19.94001803, 20.1352567 ,  0.26287475]), array([11.11823712, 15.24391855, 20.1352567 ,  0.26287475]), array([10.63512316, 19.94001803, 20.1352567 ,  0.26287475]), array([10.74776231, 19.94001803, 20.1352567 ,  0.26287475])]",1.1081244945526123
