test_index,target,prediction_mean,prediction_std,prediction_ci_low,prediction_ci_high,replica_predictions,best_candidate,top_candidates,replica_times,final_costs_replicas,avg_cost_history,input_0,input_1,input_2,input_3
0,342.45,291.02318115234374,4.815830412258962,285.043537907987,297.0028243967005,"[288.8694763183594, 288.8694763183594, 299.63800048828125, 288.8694763183594, 288.8694763183594]",[12.         18.56881971 24.35358359  0.4       ],"[array([11.06939308, 17.22689228, 24.5066083 ,  0.4       ]), array([11.06939308, 17.22689228, 24.5066083 ,  0.4       ]), array([10.36759831, 16.43168073, 23.72076658,  0.4       ]), array([10.85006345, 17.09169078, 24.26875347,  0.4       ]), array([11.12240787, 17.42784138, 24.5066083 ,  0.4       ])]","[0.49663400650024414, 0.47084999084472656, 0.5136780738830566, 0.4784519672393799, 0.4990730285644531]","[2870.873779296875, 2870.873779296875, 1832.868408203125, 2870.873779296875, 2870.873779296875]","[3262.651123046875, 2930.743017578125, 2900.8083984375, 2900.8083984375, 2870.873779296875, 2870.873779296875, 2870.873779296875, 2663.272705078125, 2663.272705078125, 2663.272705078125, 2663.272705078125, 2663.272705078125, 2663.272705078125, 2663.272705078125, 2663.272705078125, 2663.272705078125, 2663.272705078125, 2663.272705078125, 2663.272705078125, 2663.272705078125, 2663.272705078125, 2663.272705078125, 2663.272705078125, 2663.272705078125, 2663.272705078125, 2663.272705078125, 2663.272705078125, 2663.272705078125, 2663.272705078125, 2663.272705078125, 2663.272705078125, 2663.272705078125, 2663.272705078125, 2663.272705078125, 2663.272705078125, 2663.272705078125, 2663.272705078125, 2663.272705078125, 2663.272705078125, 2663.272705078125, 2663.272705078125, 2663.272705078125, 2663.272705078125, 2663.272705078125, 2663.272705078125, 2663.272705078125, 2663.272705078125, 2663.272705078125, 2663.272705078125, 2663.272705078125, 2663.272705078125, 2663.272705078125, 2663.272705078125, 2663.272705078125, 2663.272705078125, 2663.272705078125, 2663.272705078125, 2663.272705078125, 2663.272705078125, 2663.272705078125, 2663.272705078125, 2611.3724365234375, 2524.8719889322915, 2351.87109375, 2351.87109375, 1832.868408203125, 1832.868408203125, 1832.868408203125]",12.0,20.0,25.0,0.4
1,337.88,297.3908996582031,8.843030130856585,286.41082750968735,308.3709718067189,"[288.8694763183594, 288.8694763183594, 299.63800048828125, 309.9395446777344, 299.63800048828125]",[12.         18.75562785 22.37223282  0.4       ],"[array([12.        , 16.3004948 , 23.67379226,  0.4       ]), array([12.        , 16.3004948 , 23.67379226,  0.4       ]), array([12.        , 16.3004948 , 23.67379226,  0.4       ]), array([12.        , 16.30441278, 23.30766559,  0.4       ]), array([12.        , 16.3004948 , 23.67379226,  0.4       ])]","[0.4912140369415283, 0.48201704025268555, 0.499741792678833, 0.635422945022583, 0.607006311416626]","[2402.031982421875, 2402.031982421875, 1462.450927734375, 780.6693115234375, 1462.450927734375]","[2812.804296875, 2546.778857421875, 2214.115771484375, 2214.115771484375, 2214.115771484375, 2214.115771484375, 2039.614208984375, 2026.199560546875, 2026.199560546875, 2026.199560546875, 2026.199560546875, 1838.283349609375, 1838.283349609375, 1838.283349609375, 1838.283349609375, 1838.283349609375, 1838.283349609375, 1838.283349609375, 1838.283349609375, 1838.283349609375, 1701.9270263671874, 1701.9270263671874, 1701.9270263671874, 1701.9270263671874, 1701.9270263671874, 1701.9270263671874, 1701.9270263671874, 1701.9270263671874, 1701.9270263671874, 1701.9270263671874, 1701.9270263671874, 1701.9270263671874, 1701.9270263671874, 1701.9270263671874, 1701.9270263671874, 1701.9270263671874, 1701.9270263671874, 1701.9270263671874, 1701.9270263671874, 1701.9270263671874, 1701.9270263671874, 1701.9270263671874, 1701.9270263671874, 1701.9270263671874, 1701.9270263671874, 1701.9270263671874, 1701.9270263671874, 1701.9270263671874, 1701.9270263671874, 1701.9270263671874, 1701.9270263671874, 1701.9270263671874, 1701.9270263671874, 1701.9270263671874, 1701.9270263671874, 1701.9270263671874, 1701.9270263671874, 1701.9270263671874, 1701.9270263671874, 1701.9270263671874, 1701.9270263671874, 1526.9007873535156, 1235.1903889973958, 1121.5601196289062, 1121.5601196289062, 1121.5601196289062, 1121.5601196289062, 1121.5601196289062, 1121.5601196289062, 1121.5601196289062, 1121.5601196289062, 1121.5601196289062, 780.6693115234375, 780.6693115234375, 780.6693115234375, 780.6693115234375, 780.6693115234375, 780.6693115234375, 780.6693115234375, 780.6693115234375, 780.6693115234375]",12.0,20.0,20.0,0.4
2,278.4,278.2728637695312,2.401562839195777,275.2909296526778,281.25479788638467,"[279.480224609375, 275.3143615722656, 279.95831298828125, 280.54364013671875, 276.0677795410156]",[11.98001402 12.09795568 20.25449391  0.4       ],"[array([10.27794219, 16.95531133, 19.94265595,  0.4       ]), array([10.27794219, 16.95531133, 19.94265595,  0.4       ]), array([10.53207195, 16.95531133, 19.94265595,  0.4       ]), array([10.53207195, 16.95531133, 19.94265595,  0.4       ]), array([11.18043795, 18.48163758, 19.95244156,  0.4       ])]","[0.4880859851837158, 0.4921300411224365, 0.5050008296966553, 0.4765760898590088, 0.5934991836547852]","[1.1668983697891235, 9.521126747131348, 2.428358316421509, 4.595219135284424, 5.439223766326904]","[5.446545863151551, 5.446545863151551, 5.446545863151551, 5.446545863151551, 5.446545863151551, 5.446545863151551, 5.446545863151551, 5.446545863151551, 5.446545863151551, 5.446545863151551, 5.446545863151551, 5.446545863151551, 5.446545863151551, 5.446545863151551, 4.630165266990661, 4.630165266990661, 4.630165266990661, 4.630165266990661, 4.630165266990661, 4.630165266990661, 4.630165266990661, 4.630165266990661, 4.630165266990661, 4.630165266990661, 4.630165266990661, 4.630165266990661, 4.630165266990661, 4.630165266990661, 4.630165266990661, 4.630165266990661, 4.630165266990661, 4.630165266990661, 4.630165266990661, 4.630165266990661, 4.630165266990661, 4.630165266990661, 4.630165266990661, 4.630165266990661, 4.630165266990661, 4.630165266990661, 4.630165266990661, 4.630165266990661, 4.630165266990661, 4.630165266990661, 4.630165266990661, 4.630165266990661, 4.630165266990661, 4.630165266990661, 4.630165266990661, 4.630165266990661, 4.630165266990661, 4.630165266990661, 4.630165266990661, 4.630165266990661, 4.630165266990661, 4.630165266990661, 4.630165266990661, 4.630165266990661, 4.630165266990661, 4.630165266990661, 3.0114934841791787, 5.439223766326904, 5.439223766326904, 5.439223766326904, 5.439223766326904, 5.439223766326904, 5.439223766326904, 5.439223766326904, 5.439223766326904, 5.439223766326904, 5.439223766326904, 5.439223766326904, 5.439223766326904, 5.439223766326904, 5.439223766326904]",12.0,20.0,15.0,0.3
3,260.71,260.26072387695314,0.5329086078944963,259.59903044419764,260.92241730970864,"[260.02239990234375, 260.02239990234375, 260.02239990234375, 260.02239990234375, 261.2140197753906]",[11.12180266 11.03694289 23.89774848  0.37055726],"[array([11.12180266, 11.03694289, 23.89774848,  0.37055726]), array([10.1467928 , 11.676147  , 23.83804577,  0.31226626]), array([11.12180266, 11.03694289, 23.89774848,  0.37055726]), array([10.1467928 , 11.676147  , 23.83804577,  0.31226626]), array([11.12180266, 11.03694289, 23.89774848,  0.37055726])]","[0.45668506622314453, 0.4450070858001709, 0.4515981674194336, 0.4504811763763428, 0.45288610458374023]","[0.4727821350097656, 0.4727821350097656, 0.4727821350097656, 0.4727821350097656, 0.2540445327758789]","[0.4290346145629883, 0.4290346145629883, 0.4290346145629883, 0.4290346145629883, 0.4290346145629883, 0.4290346145629883, 0.4290346145629883, 0.4290346145629883, 0.4290346145629883, 0.4290346145629883, 0.4290346145629883, 0.4290346145629883, 0.4290346145629883, 0.4290346145629883, 0.4290346145629883, 0.4290346145629883, 0.4290346145629883, 0.4290346145629883, 0.4290346145629883, 0.4290346145629883, 0.4290346145629883, 0.4290346145629883, 0.4290346145629883, 0.4290346145629883, 0.4290346145629883, 0.4290346145629883, 0.4290346145629883, 0.4290346145629883, 0.4290346145629883, 0.4290346145629883, 0.4290346145629883, 0.4290346145629883, 0.4290346145629883, 0.4290346145629883, 0.4290346145629883, 0.4290346145629883, 0.4290346145629883, 0.4290346145629883, 0.4290346145629883, 0.4290346145629883, 0.4290346145629883, 0.4290346145629883, 0.4290346145629883, 0.4290346145629883, 0.4290346145629883, 0.4290346145629883, 0.4290346145629883, 0.4290346145629883, 0.4290346145629883, 0.4290346145629883, 0.4290346145629883, 0.4290346145629883, 0.4290346145629883, 0.4290346145629883, 0.4290346145629883, 0.4290346145629883, 0.4290346145629883, 0.4290346145629883, 0.4290346145629883, 0.4290346145629883]",10.0,12.5,22.5,0.25
4,228.21,227.92450866699218,0.7476852299764922,226.99613483494167,228.8528824990427,"[229.2620086669922, 227.5901336669922, 227.5901336669922, 227.5901336669922, 227.5901336669922]",[ 8.78804154 12.55838953 18.17281447  0.26003477],"[array([ 8.18090559, 12.74937924, 16.60383941,  0.29860555]), array([ 8.18090559, 12.74937924, 16.60383941,  0.26959195]), array([ 8.18090559, 12.74937924, 16.60383941,  0.29860555]), array([ 8.57373126, 13.50091193, 19.15432905,  0.25647474]), array([ 8.20146372, 12.91671449, 19.99580947,  0.29860555])]","[0.45882701873779297, 0.48563718795776367, 0.46376514434814453, 0.4614739418029785, 0.46822500228881836]","[1.10670804977417, 0.38424259424209595, 0.38424259424209595, 0.38424259424209595, 0.38424259424209595]","[1.385616910457611, 1.184403932094574, 1.184403932094574, 0.5287356853485108, 0.5287356853485108, 0.5287356853485108, 0.5287356853485108, 0.5287356853485108, 0.5287356853485108, 0.5287356853485108, 0.5287356853485108, 0.5287356853485108, 0.5287356853485108, 0.5287356853485108, 0.5287356853485108, 0.5287356853485108, 0.5287356853485108, 0.5287356853485108, 0.5287356853485108, 0.5287356853485108, 0.5287356853485108, 0.5287356853485108, 0.5287356853485108, 0.5287356853485108, 0.5287356853485108, 0.5287356853485108, 0.5287356853485108, 0.5287356853485108, 0.5287356853485108, 0.5287356853485108, 0.5287356853485108, 0.5287356853485108, 0.5287356853485108, 0.5287356853485108, 0.5287356853485108, 0.5287356853485108, 0.5287356853485108, 0.5287356853485108, 0.5287356853485108, 0.5287356853485108, 0.5287356853485108, 0.5287356853485108, 0.5287356853485108, 0.5287356853485108, 0.5287356853485108, 0.5287356853485108, 0.5287356853485108, 0.5287356853485108, 0.5287356853485108, 0.5287356853485108, 0.5287356853485108, 0.5287356853485108, 0.5287356853485108, 0.5287356853485108, 0.5287356853485108, 0.5287356853485108, 0.5287356853485108, 0.5287356853485108, 0.5287356853485108, 0.5287356853485108, 0.38424259424209595, 0.38424259424209595, 0.38424259424209595, 0.38424259424209595]",10.0,10.0,25.0,0.2
5,334.54,297.1151062011719,9.189933299771516,285.7042968769517,308.5259155253921,"[288.8694763183594, 299.63800048828125, 309.9395446777344, 287.4905090332031, 299.63800048828125]",[12.         17.00590069 20.69812251  0.4       ],"[array([12.        , 18.95258993, 23.46157452,  0.4       ]), array([12.        , 18.95258993, 23.46157452,  0.4       ]), array([12.        , 18.95258993, 23.46157452,  0.4       ]), array([12.        , 18.95258993, 23.46157452,  0.4       ]), array([12.        , 18.95258993, 23.44391185,  0.4       ])]","[0.46809911727905273, 0.5037460327148438, 0.49360013008117676, 0.46337389945983887, 0.4855210781097412]","[2085.797607421875, 1218.150146484375, 605.1828002929688, 2213.655517578125, 1218.150146484375]","[2517.950439453125, 2305.048779296875, 2220.994775390625, 2136.940771484375, 1811.7669189453125, 1480.4434204101562, 1468.1872436523438, 1468.1872436523438, 1468.1872436523438, 1468.1872436523438, 1468.1872436523438, 1468.1872436523438, 1468.1872436523438, 1468.1872436523438, 1468.1872436523438, 1468.1872436523438, 1468.1872436523438, 1468.1872436523438, 1468.1872436523438, 1468.1872436523438, 1468.1872436523438, 1468.1872436523438, 1468.1872436523438, 1468.1872436523438, 1468.1872436523438, 1468.1872436523438, 1468.1872436523438, 1468.1872436523438, 1468.1872436523438, 1468.1872436523438, 1468.1872436523438, 1468.1872436523438, 1468.1872436523438, 1468.1872436523438, 1468.1872436523438, 1468.1872436523438, 1468.1872436523438, 1468.1872436523438, 1468.1872436523438, 1468.1872436523438, 1468.1872436523438, 1468.1872436523438, 1468.1872436523438, 1468.1872436523438, 1468.1872436523438, 1468.1872436523438, 1468.1872436523438, 1468.1872436523438, 1468.1872436523438, 1468.1872436523438, 1468.1872436523438, 1468.1872436523438, 1468.1872436523438, 1468.1872436523438, 1468.1872436523438, 1468.1872436523438, 1468.1872436523438, 1468.1872436523438, 1468.1872436523438, 1468.1872436523438, 1468.1872436523438, 1313.784652709961, 1013.8276977539062, 1013.8276977539062, 1013.8276977539062, 911.6664733886719, 1218.150146484375]",12.0,20.0,25.0,0.3
6,272.24,271.87738037109375,0.0,271.87738037109375,271.87738037109375,"[271.87738037109375, 271.87738037109375, 271.87738037109375, 271.87738037109375, 271.87738037109375]",[11.40522658 11.72239771 17.76462833  0.2       ],"[array([11.46591349, 11.14632989, 17.07732275,  0.20194793]), array([11.46591349, 11.14632989, 17.07732275,  0.20194793]), array([11.91485679, 12.27337185, 17.52267148,  0.21784462]), array([11.27679575, 11.83893193, 19.80688846,  0.2       ]), array([11.0194649 , 11.14632989, 17.07732275,  0.20194793])]","[0.4631996154785156, 0.49188876152038574, 0.45346784591674805, 0.4965200424194336, 0.5121963024139404]","[0.13148590922355652, 0.13148590922355652, 0.13148590922355652, 0.13148590922355652, 0.13148590922355652]","[0.15802811980247497, 0.13148590922355652, 0.13148590922355652, 0.13148590922355652, 0.13148590922355652, 0.13148590922355652, 0.13148590922355652, 0.13148590922355652, 0.13148590922355652, 0.13148590922355652, 0.13148590922355652, 0.13148590922355652, 0.13148590922355652, 0.13148590922355652, 0.13148590922355652, 0.13148590922355652, 0.13148590922355652, 0.13148590922355652, 0.13148590922355652, 0.13148590922355652, 0.13148590922355652, 0.13148590922355652, 0.13148590922355652, 0.13148590922355652, 0.13148590922355652, 0.13148590922355652, 0.13148590922355652, 0.13148590922355652, 0.13148590922355652, 0.13148590922355652, 0.13148590922355652, 0.13148590922355652, 0.13148590922355652, 0.13148590922355652, 0.13148590922355652, 0.13148590922355652, 0.13148590922355652, 0.13148590922355652, 0.13148590922355652, 0.13148590922355652, 0.13148590922355652, 0.13148590922355652, 0.13148590922355652, 0.13148590922355652, 0.13148590922355652, 0.13148590922355652, 0.13148590922355652, 0.13148590922355652, 0.13148590922355652, 0.13148590922355652, 0.13148590922355652, 0.13148590922355652, 0.13148590922355652, 0.13148590922355652, 0.13148590922355652, 0.13148590922355652, 0.13148590922355652, 0.13148590922355652, 0.13148590922355652, 0.13148590922355652, 0.13148590922355652, 0.13148590922355652]",12.0,15.0,25.0,0.2
7,249.42,249.6628875732422,0.0,249.6628875732422,249.6628875732422,"[249.6628875732422, 249.6628875732422, 249.6628875732422, 249.6628875732422, 249.6628875732422]",[ 9.78216804 10.32764336 19.82368411  0.2992882 ],"[array([ 9.36141062, 12.45213159, 17.21783524,  0.28060833]), array([ 9.36141062, 12.45213159, 17.21783524,  0.28060833]), array([ 9.15575674, 12.45213159, 17.21783524,  0.28060833]), array([ 9.05140937, 10.71639695, 15.5597803 ,  0.27598354]), array([ 9.43117149, 12.45213159, 17.21783524,  0.28060833])]","[0.4755859375, 0.4649059772491455, 0.4512979984283447, 0.4674108028411865, 0.46031618118286133]","[0.058995261788368225, 0.058995261788368225, 0.058995261788368225, 0.058995261788368225, 0.058995261788368225]","[2.543379491567612, 0.058995261788368225, 0.058995261788368225, 0.058995261788368225, 0.058995261788368225, 0.058995261788368225, 0.058995261788368225, 0.058995261788368225, 0.058995261788368225, 0.058995261788368225, 0.058995261788368225, 0.058995261788368225, 0.058995261788368225, 0.058995261788368225, 0.058995261788368225, 0.058995261788368225, 0.058995261788368225, 0.058995261788368225, 0.058995261788368225, 0.058995261788368225, 0.058995261788368225, 0.058995261788368225, 0.058995261788368225, 0.058995261788368225, 0.058995261788368225, 0.058995261788368225, 0.058995261788368225, 0.058995261788368225, 0.058995261788368225, 0.058995261788368225, 0.058995261788368225, 0.058995261788368225, 0.058995261788368225, 0.058995261788368225, 0.058995261788368225, 0.058995261788368225, 0.058995261788368225, 0.058995261788368225, 0.058995261788368225, 0.058995261788368225, 0.058995261788368225, 0.058995261788368225, 0.058995261788368225, 0.058995261788368225, 0.058995261788368225, 0.058995261788368225, 0.058995261788368225, 0.058995261788368225, 0.058995261788368225, 0.058995261788368225, 0.058995261788368225, 0.058995261788368225, 0.058995261788368225, 0.058995261788368225, 0.058995261788368225, 0.058995261788368225, 0.058995261788368225, 0.058995261788368225, 0.058995261788368225, 0.058995261788368225, 0.058995261788368225, 0.058995261788368225]",10.0,15.0,25.0,0.2
8,232.62,232.32437438964843,1.3284690727412507,230.67486216929848,233.97388660999837,"[232.9936065673828, 232.68072509765625, 232.9936065673828, 229.9603271484375, 232.9936065673828]",[ 8.92456566 11.05318596 22.46842442  0.23134757],"[array([ 9.77290789, 14.82806452, 23.75941971,  0.29634732]), array([ 9.77290789, 14.82806452, 23.75941971,  0.29634732]), array([ 9.77290789, 14.82806452, 23.75941971,  0.29634732]), array([ 9.77290789, 14.82806452, 23.75941971,  0.29634732]), array([ 9.77290789, 14.82806452, 23.75941971,  0.29634732])]","[0.45412707328796387, 0.4616270065307617, 0.4503340721130371, 0.4662010669708252, 0.46344780921936035]","[0.13958550989627838, 0.0036881305277347565, 0.13958550989627838, 7.07383394241333, 0.13958550989627838]","[3.085600194334984, 1.49925572052598, 1.49925572052598, 1.49925572052598, 1.49925572052598, 1.49925572052598, 1.49925572052598, 1.49925572052598, 1.49925572052598, 1.49925572052598, 1.49925572052598, 1.49925572052598, 1.49925572052598, 1.49925572052598, 1.49925572052598, 1.49925572052598, 1.49925572052598, 1.49925572052598, 1.49925572052598, 1.49925572052598, 1.49925572052598, 1.49925572052598, 1.49925572052598, 1.49925572052598, 1.49925572052598, 1.49925572052598, 1.49925572052598, 1.49925572052598, 1.49925572052598, 1.49925572052598, 1.49925572052598, 1.49925572052598, 1.49925572052598, 1.49925572052598, 1.49925572052598, 1.49925572052598, 1.49925572052598, 1.49925572052598, 1.49925572052598, 1.49925572052598, 1.49925572052598, 1.49925572052598, 1.49925572052598, 1.49925572052598, 1.49925572052598, 1.49925572052598, 1.49925572052598, 1.49925572052598, 1.49925572052598, 1.49925572052598, 1.49925572052598, 1.49925572052598, 1.49925572052598, 1.49925572052598, 1.49925572052598, 1.49925572052598, 1.49925572052598, 1.49925572052598, 1.49925572052598, 1.49925572052598, 2.4057025276124477, 3.5387610364705324]",8.0,10.0,15.0,0.2
9,238.63,238.78643188476562,0.5682088387526703,238.08090742622525,239.491956343306,"[239.04054260253906, 239.04054260253906, 237.76998901367188, 239.04054260253906, 239.04054260253906]",[ 8.4112697  10.40610788 17.89357176  0.26367843],"[array([ 8.12615661, 11.00078081, 16.73145804,  0.26582039]), array([ 8.12615661, 11.00078081, 16.73145804,  0.26582039]), array([ 8.12615661, 11.00078081, 16.73145804,  0.26582039]), array([ 8.12615661, 11.00078081, 16.73145804,  0.26582039]), array([ 8.84288411, 11.00078081, 16.73145804,  0.26582039])]","[0.4536581039428711, 0.4681582450866699, 0.4552292823791504, 0.49979281425476074, 0.4634251594543457]","[0.16854122281074524, 0.16854122281074524, 0.7396273016929626, 0.16854122281074524, 0.16854122281074524]","[0.674994707107544, 0.28275843858718874, 0.28275843858718874, 0.28275843858718874, 0.28275843858718874, 0.28275843858718874, 0.28275843858718874, 0.28275843858718874, 0.28275843858718874, 0.28275843858718874, 0.28275843858718874, 0.28275843858718874, 0.28275843858718874, 0.28275843858718874, 0.28275843858718874, 0.28275843858718874, 0.28275843858718874, 0.28275843858718874, 0.28275843858718874, 0.28275843858718874, 0.28275843858718874, 0.28275843858718874, 0.28275843858718874, 0.28275843858718874, 0.28275843858718874, 0.28275843858718874, 0.28275843858718874, 0.28275843858718874, 0.28275843858718874, 0.28275843858718874, 0.28275843858718874, 0.28275843858718874, 0.28275843858718874, 0.28275843858718874, 0.28275843858718874, 0.28275843858718874, 0.28275843858718874, 0.28275843858718874, 0.28275843858718874, 0.28275843858718874, 0.28275843858718874, 0.28275843858718874, 0.28275843858718874, 0.28275843858718874, 0.28275843858718874, 0.28275843858718874, 0.28275843858718874, 0.28275843858718874, 0.28275843858718874, 0.28275843858718874, 0.28275843858718874, 0.28275843858718874, 0.28275843858718874, 0.28275843858718874, 0.28275843858718874, 0.28275843858718874, 0.28275843858718874, 0.28275843858718874, 0.28275843858718874, 0.28275843858718874, 0.16854122281074524, 0.16854122281074524]",8.0,15.0,15.0,0.3
