1/216: MAE = 7.1905 ± 2.8905, params = {'population_size': 20, 'generations': 50, 'crossover_rate': 0.6, 'mutation_rate': 0.01, 'mutation_scale': 0.05}
2/216: MAE = 6.8312 ± 2.7590, params = {'population_size': 20, 'generations': 50, 'crossover_rate': 0.6, 'mutation_rate': 0.01, 'mutation_scale': 0.1}
3/216: MAE = 6.4533 ± 2.9840, params = {'population_size': 20, 'generations': 50, 'crossover_rate': 0.6, 'mutation_rate': 0.01, 'mutation_scale': 0.2}
4/216: MAE = 6.7976 ± 2.4371, params = {'population_size': 20, 'generations': 50, 'crossover_rate': 0.6, 'mutation_rate': 0.05, 'mutation_scale': 0.05}
5/216: MAE = 6.2949 ± 2.7002, params = {'population_size': 20, 'generations': 50, 'crossover_rate': 0.6, 'mutation_rate': 0.05, 'mutation_scale': 0.1}
6/216: MAE = 6.0216 ± 2.3507, params = {'population_size': 20, 'generations': 50, 'crossover_rate': 0.6, 'mutation_rate': 0.05, 'mutation_scale': 0.2}
7/216: MAE = 6.6362 ± 2.9742, params = {'population_size': 20, 'generations': 50, 'crossover_rate': 0.6, 'mutation_rate': 0.1, 'mutation_scale': 0.05}
8/216: MAE = 6.2888 ± 1.9108, params = {'population_size': 20, 'generations': 50, 'crossover_rate': 0.6, 'mutation_rate': 0.1, 'mutation_scale': 0.1}
9/216: MAE = 5.3402 ± 2.9847, params = {'population_size': 20, 'generations': 50, 'crossover_rate': 0.6, 'mutation_rate': 0.1, 'mutation_scale': 0.2}
10/216: MAE = 7.1301 ± 3.1769, params = {'population_size': 20, 'generations': 50, 'crossover_rate': 0.8, 'mutation_rate': 0.01, 'mutation_scale': 0.05}
11/216: MAE = 6.2821 ± 2.8197, params = {'population_size': 20, 'generations': 50, 'crossover_rate': 0.8, 'mutation_rate': 0.01, 'mutation_scale': 0.1}
12/216: MAE = 6.5487 ± 2.4668, params = {'population_size': 20, 'generations': 50, 'crossover_rate': 0.8, 'mutation_rate': 0.01, 'mutation_scale': 0.2}
13/216: MAE = 6.5315 ± 2.8578, params = {'population_size': 20, 'generations': 50, 'crossover_rate': 0.8, 'mutation_rate': 0.05, 'mutation_scale': 0.05}
14/216: MAE = 6.4468 ± 2.9307, params = {'population_size': 20, 'generations': 50, 'crossover_rate': 0.8, 'mutation_rate': 0.05, 'mutation_scale': 0.1}
15/216: MAE = 5.5297 ± 2.9021, params = {'population_size': 20, 'generations': 50, 'crossover_rate': 0.8, 'mutation_rate': 0.05, 'mutation_scale': 0.2}
16/216: MAE = 6.4769 ± 3.5683, params = {'population_size': 20, 'generations': 50, 'crossover_rate': 0.8, 'mutation_rate': 0.1, 'mutation_scale': 0.05}
17/216: MAE = 6.0334 ± 2.8794, params = {'population_size': 20, 'generations': 50, 'crossover_rate': 0.8, 'mutation_rate': 0.1, 'mutation_scale': 0.1}
18/216: MAE = 5.7869 ± 2.9927, params = {'population_size': 20, 'generations': 50, 'crossover_rate': 0.8, 'mutation_rate': 0.1, 'mutation_scale': 0.2}
19/216: MAE = 7.1379 ± 3.1067, params = {'population_size': 20, 'generations': 50, 'crossover_rate': 1.0, 'mutation_rate': 0.01, 'mutation_scale': 0.05}
