real_inputs,given_candidate,target,predicted,top_candidates,eval_time_sec
"[8.0, 10.0, 15.0, 0.2]",[ 8.  15.  22.5  0.3],232.62,232.52345,"[array([ 8. , 15. , 22.5,  0.3]), array([ 8.  , 15.  , 22.5 ,  0.35]), array([ 8. , 17.5, 22.5,  0.3]), array([ 8.  , 17.5 , 22.5 ,  0.35]), array([ 8.  , 15.  , 20.  ,  0.25])]",0.30297017097473145
"[8.0, 10.0, 20.0, 0.3]",[ 9.  20.  25.   0.2],232.08,231.90453,"[array([ 9. , 20. , 25. ,  0.2]), array([ 8. , 20. , 20. ,  0.3]), array([ 8.  , 20.  , 20.  ,  0.35]), array([ 8. , 12.5, 20. ,  0.3]), array([ 8.  , 12.5 , 20.  ,  0.35])]",0.44812870025634766
"[8.0, 15.0, 15.0, 0.3]",[ 9.  10.  22.5  0.3],238.63,238.40343,"[array([ 9. , 10. , 22.5,  0.3]), array([ 9.  , 10.  , 22.5 ,  0.35]), array([ 8. , 15. , 15. ,  0.4]), array([ 8. , 15. , 17.5,  0.4]), array([ 8. , 17.5, 15. ,  0.4])]",0.30609965324401855
"[8.0, 15.0, 20.0, 0.2]",[ 8.  20.  25.   0.4],219.76,219.96672,"[array([ 8. , 20. , 25. ,  0.4]), array([ 9. , 20. , 15. ,  0.2]), array([ 9. , 20. , 17.5,  0.2]), array([ 8. , 15. , 25. ,  0.4]), array([ 8. , 17.5, 25. ,  0.4])]",0.28347229957580566
"[8.0, 20.0, 15.0, 0.2]",[ 8.  10.  25.   0.2],196.63,199.93921,"[array([ 8. , 10. , 25. ,  0.2]), array([ 8. , 20. , 15. ,  0.3]), array([ 8.  , 20.  , 15.  ,  0.35]), array([ 8. , 20. , 17.5,  0.3]), array([ 8.  , 20.  , 17.5 ,  0.35])]",0.26306581497192383
"[8.0, 20.0, 20.0, 0.3]",[ 9.   12.5  25.    0.25],224.38,224.27277,"[array([ 9.  , 12.5 , 25.  ,  0.25]), array([ 9. , 12.5, 25. ,  0.3]), array([ 9.  , 12.5 , 25.  ,  0.35]), array([ 9. , 20. , 15. ,  0.4]), array([ 9. , 20. , 17.5,  0.4])]",0.21441197395324707
"[8.0, 20.0, 25.0, 0.4]",[ 8.   15.   22.5   0.25],231.34,231.38165,"[array([ 8.  , 15.  , 22.5 ,  0.25]), array([ 8.  , 17.5 , 22.5 ,  0.25]), array([ 8. , 12.5, 20. ,  0.2]), array([ 8. , 10. , 20. ,  0.2]), array([ 8.  , 12.5 , 20.  ,  0.25])]",0.349515438079834
"[10.0, 10.0, 20.0, 0.2]",[ 9.  10.  15.   0.4],256.11,254.81607,"[array([ 9. , 10. , 15. ,  0.4]), array([ 9. , 10. , 17.5,  0.4]), array([10. , 12.5, 25. ,  0.3]), array([10.  , 12.5 , 25.  ,  0.35]), array([11. , 12.5, 25. ,  0.3])]",0.22873163223266602
"[10.0, 10.0, 20.0, 0.3]",[10.  12.5 22.5  0.3],264.86,264.20917,"[array([10. , 12.5, 22.5,  0.3]), array([10.  , 12.5 , 22.5 ,  0.35]), array([11. , 12.5, 22.5,  0.3]), array([11.  , 12.5 , 22.5 ,  0.35]), array([10. , 10. , 22.5,  0.3])]",0.29176998138427734
"[10.0, 10.0, 25.0, 0.2]",[ 9.  20.  25.   0.4],228.21,228.38293,"[array([ 9. , 20. , 25. ,  0.4]), array([ 8. , 20. , 22.5,  0.2]), array([ 8.  , 10.  , 22.5 ,  0.25]), array([ 9.  , 15.  , 25.  ,  0.25]), array([ 9.  , 17.5 , 25.  ,  0.25])]",0.23618698120117188
"[10.0, 15.0, 25.0, 0.2]",[ 9.   10.   15.    0.25],249.42,249.40408,"[array([ 9.  , 10.  , 15.  ,  0.25]), array([ 9.  , 10.  , 17.5 ,  0.25]), array([ 9. , 12.5, 15. ,  0.4]), array([ 9. , 12.5, 17.5,  0.4]), array([ 9. , 12.5, 20. ,  0.4])]",0.36051082611083984
"[10.0, 20.0, 25.0, 0.4]",[12.   15.   20.    0.25],306.28,305.9431,"[array([12.  , 15.  , 20.  ,  0.25]), array([12.  , 17.5 , 20.  ,  0.25]), array([12. , 15. , 20. ,  0.3]), array([12.  , 15.  , 20.  ,  0.35]), array([12. , 17.5, 20. ,  0.3])]",0.2779829502105713
"[12.0, 15.0, 15.0, 0.3]",[12.   20.   22.5   0.25],297.65,298.15305,"[array([12.  , 20.  , 22.5 ,  0.25]), array([12. , 15. , 20. ,  0.2]), array([12. , 17.5, 20. ,  0.2]), array([12. , 15. , 15. ,  0.4]), array([12. , 15. , 17.5,  0.4])]",0.5016193389892578
"[12.0, 15.0, 25.0, 0.2]",[12.  12.5 25.   0.3],272.24,272.47372,"[array([12. , 12.5, 25. ,  0.3]), array([12.  , 12.5 , 25.  ,  0.35]), array([10. , 12.5, 15. ,  0.4]), array([10. , 12.5, 17.5,  0.4]), array([11. , 12.5, 15. ,  0.4])]",0.2520327568054199
