real_inputs,given_candidate,target,predicted,top_candidates,eval_time_sec
"[8.0, 10.0, 15.0, 0.2]",[ 8.11789522 12.46609506 16.28164613  0.2       ],232.62,234.48535,"[array([ 8.11789522, 12.46609506, 16.28164613,  0.2       ]), array([ 8.16867227, 12.01544317, 16.36414174,  0.2       ]), array([ 8.        , 11.07579933, 15.        ,  0.2       ]), array([ 8.        , 12.32467567, 15.        ,  0.202791  ]), array([ 8.66270182, 10.5320972 , 18.11900672,  0.2       ])]",0.4260597229003906
"[8.0, 10.0, 20.0, 0.3]",[ 9.77955311 13.66392305 23.30905205  0.26967005],232.08,232.60466,"[array([ 9.77955311, 13.66392305, 23.30905205,  0.26967005]), array([ 9.53261772, 14.36906005, 22.83430218,  0.26874924]), array([ 9.44619117, 13.69282205, 23.2118862 ,  0.2736948 ]), array([ 9.85255892, 14.61434488, 23.97913454,  0.27751315]), array([ 9.97337386, 13.08596761, 23.06488379,  0.27486675])]",0.40436697006225586
"[8.0, 15.0, 15.0, 0.3]",[ 9.99799199 10.20829385 24.29199541  0.37224225],238.63,238.54617,"[array([ 9.99799199, 10.20829385, 24.29199541,  0.37224225]), array([ 9.73638806, 10.20452049, 23.80717735,  0.36168929]), array([ 9.84435786, 12.34920302, 22.68465704,  0.3064649 ]), array([ 9.88277967, 12.06549202, 24.25645513,  0.31777819]), array([ 9.57697561, 11.01747736, 23.36970004,  0.32968101])]",0.413254976272583
"[8.0, 15.0, 20.0, 0.2]",[ 8.32860663 15.29867415 23.24524379  0.32157431],219.76,218.44174,"[array([ 8.32860663, 15.29867415, 23.24524379,  0.32157431]), array([ 8.43617995, 15.25144779, 24.03611258,  0.34988009]), array([ 8.90854014, 15.63129227, 24.14160681,  0.33990427]), array([ 8.24627848, 15.32479366, 23.93382634,  0.32676004]), array([ 8.        , 16.92359686, 22.65862362,  0.33892864])]",0.40680885314941406
"[8.0, 20.0, 15.0, 0.2]",[ 8.50794818 20.         16.94544995  0.307253  ],196.63,196.54593,"[array([ 8.50794818, 20.        , 16.94544995,  0.307253  ]), array([ 8.        , 20.        , 15.        ,  0.34092875]), array([ 8.      , 20.      , 15.      ,  0.360353]), array([ 8.40905344, 20.        , 15.        ,  0.34672896]), array([ 8.10995566, 20.        , 15.35520308,  0.32341071])]",0.5301134586334229
"[8.0, 20.0, 20.0, 0.3]",[ 8.6612182  19.02325864 19.47659451  0.27455891],224.38,225.46552,"[array([ 8.6612182 , 19.02325864, 19.47659451,  0.27455891]), array([ 8.42093544, 17.85047484, 15.73236739,  0.26209553]), array([ 8.64627069, 19.36326087, 18.54095857,  0.29668844]), array([ 8.74508177, 19.39789002, 19.29358353,  0.25645921]), array([ 8.81235316, 15.26125566, 19.69216827,  0.26503067])]",0.5305638313293457
"[8.0, 20.0, 25.0, 0.4]",[ 8.49777981 10.83078886 21.63319307  0.22062927],231.34,229.8872,"[array([ 8.49777981, 10.83078886, 21.63319307,  0.22062927]), array([ 8.67208212, 10.69932533, 21.30366741,  0.24208892]), array([ 8.81746238, 11.41724118, 21.63293229,  0.2162593 ]), array([ 8.65081497, 11.12225476, 21.42779141,  0.23925241]), array([ 8.49777981, 10.83078886, 21.63319307,  0.22062927])]",0.39963579177856445
"[10.0, 10.0, 20.0, 0.2]",[12.         10.         23.44480377  0.25279985],256.11,255.69481,"[array([12.        , 10.        , 23.44480377,  0.25279985]), array([12.        , 10.        , 23.55957075,  0.2626333 ]), array([12.        , 10.        , 23.37777189,  0.284874  ]), array([12.        , 10.        , 23.82842601,  0.26147124]), array([12.        , 10.35979113, 23.88770736,  0.2619776 ])]",0.5398800373077393
"[10.0, 10.0, 20.0, 0.3]",[10.53365524 12.7613446  18.31117131  0.30251561],264.86,264.78934,"[array([10.53365524, 12.7613446 , 18.31117131,  0.30251561]), array([10.53755198, 13.41211257, 18.29615155,  0.30542792]), array([10.45883064, 13.00143661, 18.30591732,  0.30933013]), array([10.53365524, 12.7613446 , 18.31117131,  0.30251561]), array([10.64901532, 14.72923685, 18.60449493,  0.31762585])]",0.47188711166381836
"[10.0, 10.0, 25.0, 0.2]",[ 8.         13.01601853 21.30609792  0.32020806],228.21,227.93951,"[array([ 8.        , 13.01601853, 21.30609792,  0.32020806]), array([ 8.53419614, 14.10180441, 20.09100157,  0.33379527]), array([ 8.        , 12.84175449, 21.91906687,  0.30693805]), array([ 8.50936459, 13.30569843, 21.15396025,  0.30146036]), array([ 8.        , 13.64571818, 20.76053422,  0.3216221 ])]",0.9598081111907959
"[10.0, 15.0, 25.0, 0.2]",[10.30232934 11.71745365 24.50838281  0.26595238],249.42,249.36682,"[array([10.30232934, 11.71745365, 24.50838281,  0.26595238]), array([10.90038264, 10.        , 24.53900613,  0.2503412 ]), array([10.02656861, 10.        , 23.25820134,  0.27059392]), array([10.17912648, 12.03403006, 24.60412155,  0.25890638]), array([10.33777575, 10.35137121, 23.63614825,  0.29970358])]",0.7856693267822266
"[10.0, 20.0, 25.0, 0.4]",[12.         15.81099823 21.53781127  0.36829997],306.28,307.49872,"[array([12.        , 15.81099823, 21.53781127,  0.36829997]), array([12.        , 15.57652828, 21.6536416 ,  0.3467419 ]), array([12.        , 17.34125441, 21.0448729 ,  0.34988015]), array([12.        , 18.36008036, 21.12441419,  0.3706419 ]), array([12.        , 16.56355115, 21.80384066,  0.3619049 ])]",0.8042831420898438
"[12.0, 15.0, 15.0, 0.3]",[12.         19.29182719 22.91094251  0.4       ],297.65,296.80664,"[array([12.        , 19.29182719, 22.91094251,  0.4       ]), array([12.        , 18.65079875, 23.86390611,  0.4       ]), array([12.        , 18.98947835, 24.43874764,  0.4       ]), array([12.        , 18.21133016, 22.64763093,  0.4       ]), array([12.        , 18.6664153 , 24.27824524,  0.4       ])]",0.5274157524108887
