test_index,target,prediction_mean,prediction_std,prediction_ci_low,prediction_ci_high,replica_predictions,best_candidate,top_candidates,replica_times,final_costs_replicas,avg_cost_history,input_0,input_1,input_2,input_3
0,342.45,329.5343017578125,0.0,329.5343017578125,329.5343017578125,"[329.5343017578125, 329.5343017578125, 329.5343017578125, 329.5343017578125, 329.5343017578125]",[12.         20.         24.63629602  0.35355657],"[array([12.        , 20.        , 24.43855493,  0.36768241]), array([12.        , 20.        , 23.12001373,  0.36824587]), array([12.        , 20.        , 24.92980931,  0.35410828]), array([12.        , 20.        , 24.88462327,  0.34878708]), array([12.        , 20.        , 24.73327013,  0.35936489])]","[0.1760399341583252, 0.18652915954589844, 0.1771860122680664, 0.18102002143859863, 0.17516493797302246]","[166.81558227539062, 166.81558227539062, 166.81558227539062, 166.81558227539062, 166.81558227539062]","[3360.595458984375, 749.4999633789063, 364.44873046875, 166.81558227539062, 166.81558227539062, 166.81558227539062, 166.81558227539062, 166.81558227539062, 166.81558227539062, 166.81558227539062, 166.81558227539062, 166.81558227539062, 166.81558227539062, 166.81558227539062, 166.81558227539062, 166.81558227539062, 166.81558227539062, 166.81558227539062, 166.81558227539062, 166.81558227539062, 166.81558227539062, 166.81558227539062, 166.81558227539062, 166.81558227539062]",12.0,20.0,25.0,0.4
1,337.88,327.65838012695315,4.19468828706383,322.44998669721895,332.86677355668735,"[329.5343017578125, 329.5343017578125, 329.5343017578125, 320.1546936035156, 329.5343017578125]",[12.         20.         22.64398183  0.38039435],"[array([12.        , 20.        , 24.08122586,  0.3838747 ]), array([12.        , 20.        , 24.1333663 ,  0.39078712]), array([12.        , 20.        , 24.3408788 ,  0.39566566]), array([12.        , 20.        , 23.31864765,  0.39222704]), array([12.        , 20.        , 24.86828235,  0.39378748])]","[0.1894218921661377, 0.20222210884094238, 0.22547006607055664, 0.19046401977539062, 0.24779272079467773]","[69.6507568359375, 69.6507568359375, 69.6507568359375, 314.1866455078125, 69.6507568359375]","[2851.627685546875, 2611.218359375, 1369.5657592773437, 635.5066528320312, 278.8993408203125, 127.6267822265625, 118.5579345703125, 118.5579345703125, 118.5579345703125, 118.5579345703125, 118.5579345703125, 118.5579345703125, 118.5579345703125, 118.5579345703125, 118.5579345703125, 118.5579345703125, 118.5579345703125, 118.5579345703125, 118.5579345703125, 118.5579345703125, 118.5579345703125, 118.5579345703125, 118.5579345703125, 130.78472900390625, 69.6507568359375, 69.6507568359375, 69.6507568359375]",12.0,20.0,20.0,0.4
2,278.4,277.6371765136719,0.7701417321655337,276.6809192513276,278.5934337760161,"[278.9561462402344, 277.3365783691406, 277.3365783691406, 277.5901184082031, 276.9664611816406]",[12.         14.30260409 23.95499492  0.30910863],"[array([12.        , 12.27759021, 22.24098116,  0.2       ]), array([12.        , 10.89991975, 20.72137209,  0.2       ]), array([12.        , 12.04493032, 20.93442568,  0.23914953]), array([12.        , 11.36025956, 20.04520096,  0.2       ]), array([12.        , 11.65193126, 20.42952857,  0.2       ])]","[0.19895410537719727, 0.23032808303833008, 0.2045271396636963, 0.18779683113098145, 0.19344496726989746]","[0.30930542945861816, 1.1308525800704956, 1.1308525800704956, 0.6558983325958252, 2.055016040802002]","[6.565582180023194, 5.334011793136597, 2.9384673118591307, 2.9384673118591307, 2.4421316146850587, 1.7492583036422729, 1.3884112596511842, 1.0563849925994873, 1.0563849925994873, 1.0563849925994873, 1.0563849925994873, 1.0563849925994873, 1.0563849925994873, 1.0563849925994873, 1.0563849925994873, 1.0563849925994873, 1.0563849925994873, 1.0563849925994873, 1.0563849925994873, 1.0563849925994873, 1.0563849925994873, 1.0563849925994873, 1.0563849925994873, 0.8570035298665365, 0.8570035298665365, 1.1308525800704956, 1.1308525800704956, 1.1308525800704956]",12.0,20.0,15.0,0.3
3,260.71,260.73737182617185,0.6526770844392157,259.92696618797106,261.54777746437264,"[261.2140197753906, 260.02239990234375, 261.2140197753906, 260.02239990234375, 261.2140197753906]",[11.7535708  10.24322641 24.54071448  0.37692031],"[array([10.3417391 , 12.42132893, 24.52184963,  0.30934912]), array([10.67452941, 11.84204194, 23.66393394,  0.35350201]), array([10.01697327, 11.03659642, 23.58733365,  0.34870309]), array([10.34577644, 12.00751433, 24.04138261,  0.38045114]), array([10.46224386, 10.        , 24.66420077,  0.34871534])]","[0.17473316192626953, 0.15894293785095215, 0.1679072380065918, 0.17184686660766602, 0.1786191463470459]","[0.2540445327758789, 0.4727821350097656, 0.2540445327758789, 0.4727821350097656, 0.2540445327758789]","[0.3415395736694336, 0.3415395736694336, 0.3415395736694336, 0.3415395736694336, 0.3415395736694336, 0.3415395736694336, 0.3415395736694336, 0.3415395736694336, 0.3415395736694336, 0.3415395736694336, 0.3415395736694336, 0.3415395736694336, 0.3415395736694336, 0.3415395736694336, 0.3415395736694336, 0.3415395736694336, 0.3415395736694336, 0.3415395736694336, 0.3415395736694336, 0.3415395736694336, 0.2540445327758789]",10.0,12.5,22.5,0.25
4,228.21,227.5901336669922,0.0,227.5901336669922,227.5901336669922,"[227.5901336669922, 227.5901336669922, 227.5901336669922, 227.5901336669922, 227.5901336669922]",[ 8.         13.53320843 18.61248239  0.26885739],"[array([ 8.56402053, 14.49798035, 18.18545912,  0.25729656]), array([ 8.31631534, 12.77323863, 18.98031274,  0.28100721]), array([ 8.37944174, 14.31984446, 18.1453334 ,  0.26433054]), array([ 8.98288287, 14.44581054, 19.13867803,  0.27474821]), array([ 8.44801145, 14.88949121, 19.55574379,  0.27280762])]","[0.23452186584472656, 0.18773818016052246, 0.20131468772888184, 0.2460942268371582, 0.2031080722808838]","[0.38424259424209595, 0.38424259424209595, 0.38424259424209595, 0.38424259424209595, 0.38424259424209595]","[0.5287356853485108, 0.38424259424209595, 0.38424259424209595, 0.38424259424209595, 0.38424259424209595, 0.38424259424209595, 0.38424259424209595, 0.38424259424209595, 0.38424259424209595, 0.38424259424209595, 0.38424259424209595, 0.38424259424209595, 0.38424259424209595, 0.38424259424209595, 0.38424259424209595, 0.38424259424209595, 0.38424259424209595, 0.38424259424209595, 0.38424259424209595, 0.38424259424209595, 0.38424259424209595, 0.38424259424209595]",10.0,10.0,25.0,0.2
5,334.54,329.5343017578125,0.0,329.5343017578125,329.5343017578125,"[329.5343017578125, 329.5343017578125, 329.5343017578125, 329.5343017578125, 329.5343017578125]",[12.        20.        23.7537448  0.3532265],"[array([12.        , 20.        , 22.50205176,  0.34593919]), array([12.        , 20.        , 24.25137803,  0.39409442]), array([12.        , 20.        , 22.68854481,  0.33543329]), array([12.        , 20.        , 22.51748592,  0.3407173 ]), array([12.        , 20.        , 23.41105705,  0.34      ])]","[0.22395086288452148, 0.21172189712524414, 0.19270563125610352, 0.18753886222839355, 0.2454972267150879]","[25.057100296020508, 25.057100296020508, 25.057100296020508, 25.057100296020508, 25.057100296020508]","[2506.067626953125, 1996.574169921875, 929.910926437378, 461.4388957977295, 437.20520172119143, 437.20520172119143, 437.20520172119143, 263.6757095336914, 263.6757095336914, 30.949117279052736, 25.057100296020508, 25.057100296020508, 25.057100296020508, 25.057100296020508, 25.057100296020508, 25.057100296020508, 25.057100296020508, 25.057100296020508, 25.057100296020508, 25.057100296020508, 25.057100296020508, 25.057100296020508, 25.057100296020508, 25.057100296020508, 25.057100296020508, 25.057100296020508, 25.057100296020508, 25.057100296020508, 25.057100296020508, 25.057100296020508, 25.057100296020508]",12.0,20.0,25.0,0.3
6,272.24,272.0388610839844,0.36108185107856405,271.59051874909534,272.48720341887343,"[271.87738037109375, 271.87738037109375, 271.87738037109375, 271.87738037109375, 272.6847839355469]",[11.09738164 10.5787074  15.          0.22014695],"[array([11.60744444, 11.29223428, 16.08317384,  0.37983739]), array([11.76930548, 12.22889867, 19.7302273 ,  0.34562583]), array([11.36696337, 11.89516446, 16.67655745,  0.33094576]), array([11.71751267, 11.88203128, 17.37726802,  0.37323036]), array([11.47813212, 11.95607731, 16.08313447,  0.35804088])]","[0.18437504768371582, 0.19904589653015137, 0.17018914222717285, 0.1654829978942871, 0.16096782684326172]","[0.13148590922355652, 0.13148590922355652, 0.13148590922355652, 0.13148590922355652, 0.19784143567085266]","[0.15802811980247497, 0.15802811980247497, 0.14475701451301576, 0.14475701451301576, 0.14475701451301576, 0.14475701451301576, 0.14475701451301576, 0.14475701451301576, 0.14475701451301576, 0.14475701451301576, 0.14475701451301576, 0.14475701451301576, 0.14475701451301576, 0.14475701451301576, 0.14475701451301576, 0.14475701451301576, 0.14475701451301576, 0.14475701451301576, 0.14475701451301576, 0.14475701451301576, 0.13148590922355652, 0.13148590922355652, 0.13148590922355652]",12.0,15.0,25.0,0.2
7,249.42,249.70489501953125,0.09393150546351503,249.58826365090013,249.82152638816237,"[249.6628875732422, 249.6628875732422, 249.6628875732422, 249.6628875732422, 249.8729248046875]",[ 9.71009325 12.41117229 19.04965946  0.26417462],"[array([ 9.95161303, 20.        , 24.110838  ,  0.233715  ]), array([ 9.64629853, 20.        , 23.00811123,  0.21354578]), array([ 9.72706273, 20.        , 22.90250375,  0.2       ]), array([ 9.22644166, 20.        , 24.05734306,  0.23387135]), array([ 9.75205741, 20.        , 24.7519472 ,  0.24270114])]","[0.17507696151733398, 0.1693282127380371, 0.17176580429077148, 0.1619126796722412, 0.19101190567016602]","[0.058995261788368225, 0.058995261788368225, 0.058995261788368225, 0.058995261788368225, 0.205142542719841]","[0.34129852056503296, 0.34129852056503296, 0.08822471797466278, 0.08822471797466278, 0.08822471797466278, 0.08822471797466278, 0.08822471797466278, 0.08822471797466278, 0.08822471797466278, 0.08822471797466278, 0.08822471797466278, 0.08822471797466278, 0.08822471797466278, 0.08822471797466278, 0.08822471797466278, 0.08822471797466278, 0.08822471797466278, 0.08822471797466278, 0.08822471797466278, 0.08822471797466278, 0.09553208202123642, 0.205142542719841, 0.205142542719841]",10.0,15.0,25.0,0.2
8,232.62,232.74330139160156,0.13992484704172725,232.5695617465757,232.91704103662744,"[232.68072509765625, 232.68072509765625, 232.68072509765625, 232.9936065673828, 232.68072509765625]",[ 8.52577876 11.8626643  22.16044528  0.24774598],"[array([ 8.35287493, 11.47280835, 22.        ,  0.24151629]), array([ 8.41253586, 12.4283206 , 21.46297618,  0.23501686]), array([ 8.6470276 , 10.        , 21.12532526,  0.22716218]), array([ 8.90315919, 10.        , 22.        ,  0.24479497]), array([ 8.00304291, 12.11851941, 22.        ,  0.23361344])]","[0.20194602012634277, 0.19633889198303223, 0.2301478385925293, 0.16972994804382324, 0.30646610260009766]","[0.0036881305277347565, 0.0036881305277347565, 0.0036881305277347565, 0.13958550989627838, 0.0036881305277347565]","[2.913284882903099, 1.49925572052598, 1.4720762446522713, 1.4720762446522713, 1.4448967687785625, 1.4448967687785625, 1.4448967687785625, 1.4448967687785625, 1.4448967687785625, 1.4448967687785625, 0.8076100580394268, 0.058047082275152206, 0.058047082275152206, 0.03086760640144348, 0.03086760640144348, 0.03086760640144348, 0.03086760640144348, 0.03086760640144348, 0.03086760640144348, 0.03086760640144348, 0.03086760640144348, 0.0036881305277347565, 0.0036881305277347565, 0.0036881305277347565, 0.0036881305277347565, 0.0036881305277347565, 0.0036881305277347565, 0.0036881305277347565, 0.0036881305277347565, 0.0036881305277347565, 0.0036881305277347565, 0.0036881305277347565, 0.0036881305277347565, 0.0036881305277347565]",8.0,10.0,15.0,0.2
9,238.63,239.04054260253906,0.0,239.04054260253906,239.04054260253906,"[239.04054260253906, 239.04054260253906, 239.04054260253906, 239.04054260253906, 239.04054260253906]",[ 8.28520559 10.95777973 15.761121    0.2583196 ],"[array([ 8.59430078, 11.6918984 , 18.8840712 ,  0.26503996]), array([ 8.63980141, 12.10688925, 17.82976215,  0.28873864]), array([ 8.24759984, 11.06746654, 18.75842297,  0.27668215]), array([ 8.62062998, 11.28666075, 16.54274344,  0.26179457]), array([ 8.71800745, 12.18125437, 16.39776116,  0.25460894])]","[0.17003393173217773, 0.17135405540466309, 0.17560601234436035, 0.16057491302490234, 0.16602516174316406]","[0.16854122281074524, 0.16854122281074524, 0.16854122281074524, 0.16854122281074524, 0.16854122281074524]","[0.36465935707092284, 0.16854122281074524, 0.16854122281074524, 0.16854122281074524, 0.16854122281074524, 0.16854122281074524, 0.16854122281074524, 0.16854122281074524, 0.16854122281074524, 0.16854122281074524, 0.16854122281074524, 0.16854122281074524, 0.16854122281074524, 0.16854122281074524, 0.16854122281074524, 0.16854122281074524, 0.16854122281074524, 0.16854122281074524, 0.16854122281074524, 0.16854122281074524, 0.16854122281074524, 0.16854122281074524]",8.0,15.0,15.0,0.3
