1/192: MAE = 6.3416 ± 2.9283, params = {'n_particles': 20, 'w_max': 0.8, 'w_min': 0.3, 'c1': 1.5, 'c2': 1.5, 'max_velocity': 0.1}
2/192: MAE = 4.0130 ± 2.6868, params = {'n_particles': 20, 'w_max': 0.8, 'w_min': 0.3, 'c1': 1.5, 'c2': 1.5, 'max_velocity': 0.2}
3/192: MAE = 2.2435 ± 1.5666, params = {'n_particles': 20, 'w_max': 0.8, 'w_min': 0.3, 'c1': 1.5, 'c2': 1.5, 'max_velocity': 0.3}
4/192: MAE = 5.9868 ± 2.7338, params = {'n_particles': 20, 'w_max': 0.8, 'w_min': 0.3, 'c1': 1.5, 'c2': 2.0, 'max_velocity': 0.1}
5/192: MAE = 4.0422 ± 2.2607, params = {'n_particles': 20, 'w_max': 0.8, 'w_min': 0.3, 'c1': 1.5, 'c2': 2.0, 'max_velocity': 0.2}
6/192: MAE = 2.4951 ± 1.6545, params = {'n_particles': 20, 'w_max': 0.8, 'w_min': 0.3, 'c1': 1.5, 'c2': 2.0, 'max_velocity': 0.3}
7/192: MAE = 6.1891 ± 2.9206, params = {'n_particles': 20, 'w_max': 0.8, 'w_min': 0.3, 'c1': 2.0, 'c2': 1.5, 'max_velocity': 0.1}
8/192: MAE = 3.9283 ± 3.3955, params = {'n_particles': 20, 'w_max': 0.8, 'w_min': 0.3, 'c1': 2.0, 'c2': 1.5, 'max_velocity': 0.2}
9/192: MAE = 1.8658 ± 0.8501, params = {'n_particles': 20, 'w_max': 0.8, 'w_min': 0.3, 'c1': 2.0, 'c2': 1.5, 'max_velocity': 0.3}
10/192: MAE = 5.9557 ± 2.3458, params = {'n_particles': 20, 'w_max': 0.8, 'w_min': 0.3, 'c1': 2.0, 'c2': 2.0, 'max_velocity': 0.1}
11/192: MAE = 2.9723 ± 1.5254, params = {'n_particles': 20, 'w_max': 0.8, 'w_min': 0.3, 'c1': 2.0, 'c2': 2.0, 'max_velocity': 0.2}
12/192: MAE = 1.8058 ± 1.2785, params = {'n_particles': 20, 'w_max': 0.8, 'w_min': 0.3, 'c1': 2.0, 'c2': 2.0, 'max_velocity': 0.3}
13/192: MAE = 6.8780 ± 3.1249, params = {'n_particles': 20, 'w_max': 0.8, 'w_min': 0.4, 'c1': 1.5, 'c2': 1.5, 'max_velocity': 0.1}
14/192: MAE = 3.0511 ± 2.0773, params = {'n_particles': 20, 'w_max': 0.8, 'w_min': 0.4, 'c1': 1.5, 'c2': 1.5, 'max_velocity': 0.2}
15/192: MAE = 2.1573 ± 1.0823, params = {'n_particles': 20, 'w_max': 0.8, 'w_min': 0.4, 'c1': 1.5, 'c2': 1.5, 'max_velocity': 0.3}
16/192: MAE = 5.5746 ± 2.5745, params = {'n_particles': 20, 'w_max': 0.8, 'w_min': 0.4, 'c1': 1.5, 'c2': 2.0, 'max_velocity': 0.1}
17/192: MAE = 3.5046 ± 1.2529, params = {'n_particles': 20, 'w_max': 0.8, 'w_min': 0.4, 'c1': 1.5, 'c2': 2.0, 'max_velocity': 0.2}
18/192: MAE = 2.2818 ± 1.5404, params = {'n_particles': 20, 'w_max': 0.8, 'w_min': 0.4, 'c1': 1.5, 'c2': 2.0, 'max_velocity': 0.3}
19/192: MAE = 6.3163 ± 3.3788, params = {'n_particles': 20, 'w_max': 0.8, 'w_min': 0.4, 'c1': 2.0, 'c2': 1.5, 'max_velocity': 0.1}
