=== Optimizer Hyperparameter Tuning: Particle Swarm Optimization ===
Total combinations: 192

1/192 | MAE: 4.100 ± 7.097 | RMSE: 4.100 ± 7.097 | R²: 0.937 | params: {'n_particles': 20, 'w_max': 0.8, 'w_min': 0.3, 'c1': 1.5, 'c2': 1.5, 'max_velocity': 0.1}
2/192 | MAE: 2.593 ± 6.005 | RMSE: 2.593 ± 6.005 | R²: 0.960 | params: {'n_particles': 20, 'w_max': 0.8, 'w_min': 0.3, 'c1': 1.5, 'c2': 1.5, 'max_velocity': 0.2}
3/192 | MAE: 1.515 ± 3.567 | RMSE: 1.515 ± 3.567 | R²: 0.986 | params: {'n_particles': 20, 'w_max': 0.8, 'w_min': 0.3, 'c1': 1.5, 'c2': 1.5, 'max_velocity': 0.3}
4/192 | MAE: 4.565 ± 7.833 | RMSE: 4.565 ± 7.833 | R²: 0.923 | params: {'n_particles': 20, 'w_max': 0.8, 'w_min': 0.3, 'c1': 1.5, 'c2': 2.0, 'max_velocity': 0.1}
5/192 | MAE: 2.149 ± 5.957 | RMSE: 2.149 ± 5.957 | R²: 0.962 | params: {'n_particles': 20, 'w_max': 0.8, 'w_min': 0.3, 'c1': 1.5, 'c2': 2.0, 'max_velocity': 0.2}
6/192 | MAE: 1.194 ± 1.451 | RMSE: 1.194 ± 1.451 | R²: 0.997 | params: {'n_particles': 20, 'w_max': 0.8, 'w_min': 0.3, 'c1': 1.5, 'c2': 2.0, 'max_velocity': 0.3}
7/192 | MAE: 4.004 ± 7.808 | RMSE: 4.004 ± 7.808 | R²: 0.928 | params: {'n_particles': 20, 'w_max': 0.8, 'w_min': 0.3, 'c1': 2.0, 'c2': 1.5, 'max_velocity': 0.1}
8/192 | MAE: 3.134 ± 7.215 | RMSE: 3.134 ± 7.215 | R²: 0.942 | params: {'n_particles': 20, 'w_max': 0.8, 'w_min': 0.3, 'c1': 2.0, 'c2': 1.5, 'max_velocity': 0.2}
9/192 | MAE: 1.389 ± 3.368 | RMSE: 1.389 ± 3.368 | R²: 0.988 | params: {'n_particles': 20, 'w_max': 0.8, 'w_min': 0.3, 'c1': 2.0, 'c2': 1.5, 'max_velocity': 0.3}
10/192 | MAE: 5.116 ± 8.450 | RMSE: 5.116 ± 8.450 | R²: 0.909 | params: {'n_particles': 20, 'w_max': 0.8, 'w_min': 0.3, 'c1': 2.0, 'c2': 2.0, 'max_velocity': 0.1}
11/192 | MAE: 2.067 ± 4.520 | RMSE: 2.067 ± 4.520 | R²: 0.977 | params: {'n_particles': 20, 'w_max': 0.8, 'w_min': 0.3, 'c1': 2.0, 'c2': 2.0, 'max_velocity': 0.2}
12/192 | MAE: 1.526 ± 4.152 | RMSE: 1.526 ± 4.152 | R²: 0.982 | params: {'n_particles': 20, 'w_max': 0.8, 'w_min': 0.3, 'c1': 2.0, 'c2': 2.0, 'max_velocity': 0.3}
