real_inputs,given_candidate,target,predicted,top_candidates,eval_time_sec
"[8.0, 10.0, 15.0, 0.2]",[ 8.14158914 15.46803791 23.55480253  0.3156403 ],232.62,232.52345,"[array([ 8.14158914, 15.46803791, 23.55480253,  0.3156403 ]), array([ 8.78834417, 14.8659885 , 20.02021724,  0.21292824]), array([ 8.63347249, 16.34736204, 23.37643838,  0.27080154]), array([ 9.21791914, 17.31558725, 16.6583946 ,  0.21442012]), array([ 9.32398132, 15.26869618, 18.31249979,  0.24327345])]",0.04618430137634277
"[8.0, 10.0, 20.0, 0.3]",[ 8.71254659 18.1237713  20.25497937  0.2945863 ],232.08,232.45444,"[array([ 8.71254659, 18.1237713 , 20.25497937,  0.2945863 ]), array([ 8.81538735, 17.99489479, 24.81761629,  0.36934317]), array([ 8.40557559, 15.06432978, 22.38546032,  0.34650975]), array([ 9.25714501, 17.55733327, 15.4744409 ,  0.2441275 ]), array([ 9.56737355, 19.1476496 , 15.19210104,  0.20825164])]",0.04656863212585449
"[8.0, 15.0, 15.0, 0.3]",[ 8.33302903 11.95013293 21.16948555  0.34430064],238.63,237.60585,"[array([ 8.33302903, 11.95013293, 21.16948555,  0.34430064]), array([ 8.64753634, 10.03207509, 21.45373501,  0.35774758]), array([ 9.49379649, 12.63977925, 19.25476483,  0.35055214]), array([ 9.17276076, 13.48804885, 20.11945575,  0.35812691]), array([ 9.21693626, 19.01491982, 23.98199644,  0.20561823])]",0.03380703926086426
"[8.0, 15.0, 20.0, 0.2]",[ 8.84550959 19.47874277 19.87483406  0.25558372],219.76,223.55508,"[array([ 8.84550959, 19.47874277, 19.87483406,  0.25558372]), array([ 8.79107286, 14.90992218, 24.22910645,  0.31906091]), array([ 8.27405729, 13.91309988, 23.25083889,  0.36273849]), array([ 8.81013341, 10.50681206, 23.80711672,  0.3342045 ]), array([ 8.07371666, 11.328189  , 22.55331749,  0.34553226])]",0.032572269439697266
"[8.0, 20.0, 15.0, 0.2]",[ 8.36320174 17.62837071 16.15928283  0.23348375],196.63,222.28401,"[array([ 8.36320174, 17.62837071, 16.15928283,  0.23348375]), array([ 8.0775507 , 19.43870001, 15.99743712,  0.35288628]), array([ 8.5140812 , 19.06064165, 16.56535632,  0.38077598]), array([ 8.81900776, 16.70445683, 17.50033537,  0.31539304]), array([ 8.47569984, 10.0585507 , 23.65173072,  0.37554212])]",0.051988840103149414
"[8.0, 20.0, 20.0, 0.3]",[ 8.60340245 19.6560429  18.81615466  0.28801386],224.38,223.55508,"[array([ 8.60340245, 19.6560429 , 18.81615466,  0.28801386]), array([ 8.18097707, 18.81778746, 19.14348163,  0.26449359]), array([ 8.62722567, 19.6543218 , 17.97655127,  0.36076791]), array([ 8.44537444, 18.09879127, 18.0546431 ,  0.3269981 ]), array([ 8.86309129, 15.19302739, 16.3395703 ,  0.3536301 ])]",0.05134010314941406
"[8.0, 20.0, 25.0, 0.4]",[ 8.98364649 18.24915526 23.42551202  0.25864397],231.34,231.38165,"[array([ 8.98364649, 18.24915526, 23.42551202,  0.25864397]), array([ 8.91866464, 17.50383473, 20.82248697,  0.21627894]), array([ 8.08161585, 18.8888652 , 20.72335535,  0.28856704]), array([ 8.73390894, 17.872627  , 24.56610544,  0.39566579]), array([ 8.24610524, 13.86484797, 15.85031774,  0.31535683])]",0.04026675224304199
"[10.0, 10.0, 20.0, 0.2]",[10.43685411 12.67731699 23.95067973  0.22418734],256.11,257.64603,"[array([10.43685411, 12.67731699, 23.95067973,  0.22418734]), array([10.86670307, 12.7543724 , 23.2152833 ,  0.24767364]), array([10.41179622, 13.28778026, 22.53953556,  0.21705207]), array([11.84785832, 12.79228231, 15.1078863 ,  0.2508719 ]), array([11.67244045, 16.11910339, 17.2823733 ,  0.29237198])]",0.031081676483154297
"[10.0, 10.0, 20.0, 0.3]",[11.61352784 16.15129317 18.36001776  0.22821311],264.86,261.34323,"[array([11.61352784, 16.15129317, 18.36001776,  0.22821311]), array([11.07892131, 19.41212744, 19.32348959,  0.24998045]), array([11.95256723, 14.39024899, 16.04312177,  0.33591195]), array([10.50449925, 14.15975043, 18.18712243,  0.35052791]), array([10.57165395, 13.75494262, 18.70811537,  0.30693519])]",0.032282352447509766
"[10.0, 10.0, 25.0, 0.2]",[ 8.7882737  14.82988411 18.54091065  0.21540805],228.21,229.05782,"[array([ 8.7882737 , 14.82988411, 18.54091065,  0.21540805]), array([ 8.56024529, 12.82924488, 15.44305924,  0.21557613]), array([ 8.56266026, 13.94075429, 15.15704752,  0.32724775]), array([ 8.17699915, 12.576094  , 21.40854491,  0.34984258]), array([ 8.93773755, 17.82961662, 22.74421905,  0.3934789 ])]",0.043637990951538086
