test_index,target,prediction_mean,prediction_std,prediction_ci_low,prediction_ci_high,replica_predictions,best_candidate,top_candidates,replica_times,final_costs_replicas,avg_cost_history,input_0,input_1,input_2,input_3
0,342.45,284.01121215820314,1.046833020496621,282.7113972845216,285.3110270318847,"[284.4793701171875, 284.4793701171875, 284.4793701171875, 284.4793701171875, 282.1385803222656]",[10.90382272 18.9711026  23.87086424  0.35597511],"[array([11.49556031, 15.97413102, 21.0051686 ,  0.33300733]), array([10.82895454, 11.52539043, 20.7628836 ,  0.32134301]), array([10.07567082, 10.46965967, 16.66283369,  0.34760672]), array([10.38031172, 10.51425813, 19.96366247,  0.31936857]), array([11.19966434, 11.78544662, 21.52746108,  0.24763656])]","[0.1297602653503418, 0.04439139366149902, 0.03897523880004883, 0.028684139251708984, 0.03320121765136719]","[3360.595458984375, 6487.0615234375, 4980.49658203125, 3637.46875, 8336.646484375]","[9105.26689453125, 9796.47373046875, 7771.97373046875, 7049.38291015625, 10360.16787109375, 7116.7580078125, 9710.1927734375, 7385.661376953125, 8506.58583984375, 8593.2240234375, 11716.64189453125, 10728.466943359375, 7230.62734375, 8155.248828125, 10391.004736328125, 9124.8193359375, 8285.91552734375, 12202.85380859375, 9824.27431640625, 8800.1951171875, 7784.9908203125, 6256.60166015625, 7863.56708984375, 5906.6927734375, 7750.29921875, 9666.4974609375, 7935.59052734375, 8303.3751953125, 8142.7146484375, 8057.1337890625, 5709.30341796875, 8043.6923828125, 10933.62880859375, 8522.707763671875, 8211.14501953125, 8497.747265625, 9820.90361328125, 7792.17607421875, 9134.63388671875, 8534.149560546875, 10339.93134765625, 11162.551953125, 9065.4107421875, 10036.75302734375, 9349.49814453125, 10241.24892578125, 7899.59873046875, 9037.934765625, 9803.5716796875, 5360.453759765625]",12.0,20.0,25.0,0.4
1,337.88,284.01121215820314,1.046833020496621,282.7113972845216,285.3110270318847,"[284.4793701171875, 284.4793701171875, 284.4793701171875, 282.1385803222656, 284.4793701171875]",[11.55499232 19.55651498 23.62127617  0.36190321],"[array([10.32969063, 17.48073179, 23.11769788,  0.33129572]), array([10.39290118, 17.35663114, 24.98347511,  0.38662267]), array([10.02341077, 18.40703028, 22.32801545,  0.30844744]), array([10.75554121, 18.73322916, 21.36291354,  0.35222431]), array([10.24264038, 16.03487667, 21.76467937,  0.3609978 ])]","[0.027942419052124023, 0.03419208526611328, 0.02870631217956543, 0.027654647827148438, 0.03096628189086914]","[3153.044677734375, 8455.4140625, 7950.708984375, 4356.3466796875, 4984.63671875]","[9303.1388671875, 7623.2021484375, 10204.62890625, 7680.04169921875, 9626.57734375, 7694.8021484375, 7624.0572265625, 8288.7388671875, 7243.79873046875, 10190.1662109375, 5134.414794921875, 6438.225, 5235.2546875, 6612.0578125, 6980.9296875, 6418.4158203125, 7474.9591796875, 8861.59111328125, 6134.3861328125, 8711.37763671875, 4665.752294921875, 10038.4603515625, 7303.21474609375, 6222.643896484375, 9475.83466796875, 8812.88203125, 6478.658203125, 6499.249951171875, 6362.071875, 8953.27109375, 9249.762060546875, 6011.56416015625, 5657.35185546875, 7654.109765625, 9745.58173828125, 7433.206298828125, 7085.80634765625, 7155.31240234375, 6870.942919921875, 7128.86123046875, 8620.404296875, 7973.5830078125, 9756.361328125, 5778.67314453125, 8530.5384765625, 11219.06865234375, 7524.9578125, 9005.11962890625, 8807.19072265625, 5780.030224609375]",12.0,20.0,20.0,0.4
2,278.4,280.8626281738281,0.713278934985788,279.97697539957915,281.7482809480771,"[280.54364013671875, 280.54364013671875, 282.1385803222656, 280.54364013671875, 280.54364013671875]",[11.85357774 15.60168183 24.36822462  0.21045158],"[array([10.08583855, 19.77307908, 22.57310207,  0.23233429]), array([11.12252687, 15.83772781, 24.52221786,  0.20848446]), array([11.42614889, 17.01169862, 22.27056762,  0.31241456]), array([10.66640192, 11.62699744, 20.65085312,  0.35432538]), array([11.03602113, 11.02515964, 20.13854464,  0.30177811])]","[0.02762150764465332, 0.027798891067504883, 0.03363156318664551, 0.028266191482543945, 0.027207612991333008]","[1078.644775390625, 1855.7840576171875, 1375.032958984375, 3783.7197265625, 2714.803466796875]","[589.0310989379883, 906.9222084999085, 1199.8566146850585, 1352.8623058319092, 1120.5837768554688, 758.9991394996644, 1563.9717163085938, 1178.893115234375, 1278.4860307693482, 714.6162124633789, 559.5106428146362, 1163.6779174804688, 873.6049171447754, 1576.3386428833007, 990.9192199707031, 1000.9250329971313, 805.9397096633911, 1918.7613586425782, 1115.2403032302857, 1627.8360841751098, 1427.569482421875, 1705.4090637207032, 617.4175354003906, 1964.0072387695313, 420.75448150634764, 624.5618045806884, 937.6328918457032, 1757.201837158203, 1300.656915283203, 1117.114502811432, 266.6021348953247, 529.5389964103699, 1027.0321914672852, 1431.8266557693482, 906.0510820388794, 476.44462909698484, 811.4919525146485, 691.5795421600342, 540.7053926467895, 799.6441673278808, 1491.0596832275392, 1020.2381769180298, 374.15815887451174, 990.1646453857422, 863.2744762420655, 1451.8879463195801, 452.4094940185547, 706.5770921707153, 553.5344177246094, 2161.5969970703127]",12.0,20.0,15.0,0.3
3,260.71,261.23908081054685,1.510759179297766,259.36322552765694,263.11493609343677,"[260.02239990234375, 261.2140197753906, 260.02239990234375, 263.7225646972656, 261.2140197753906]",[10.68591659 16.32282154 16.98992139  0.28366677],"[array([11.73021951, 11.18643766, 24.33749423,  0.33677329]), array([11.25868402, 16.1183102 , 18.73457945,  0.25106727]), array([11.02913191, 18.97964647, 15.84127662,  0.27862078]), array([11.26922125, 19.3039842 , 15.95360921,  0.29001173]), array([10.51928262, 14.03210633, 22.52397882,  0.3062588 ])]","[0.028599023818969727, 0.02812027931213379, 0.1059579849243164, 0.03167223930358887, 0.02835369110107422]","[0.4727821350097656, 32.71457290649414, 1253.2967529296875, 143.39566040039062, 288.1026611328125]","[626.9459854125977, 713.8108337402343, 405.7961936950684, 1044.0193237304688, 358.53384590148926, 362.0840347290039, 996.7159729003906, 328.20362014770507, 196.23107900619507, 574.4311937391758, 640.9966598510742, 405.7952590942383, 258.1567947387695, 211.76143283843993, 273.46971435546874, 391.21767768859866, 522.4027891159058, 359.8424404144287, 543.7756614685059, 649.7623683929444, 445.8196533203125, 183.03363571166992, 568.9586020708084, 267.1965576171875, 272.52062911987304, 572.731095123291, 400.2743659973145, 265.7945700645447, 520.2281860351562, 434.25623016357423, 357.3980638563633, 614.5208618164063, 562.8179149627686, 491.118482208252, 375.2133529663086, 450.58720169067385, 459.3323226928711, 251.99311065673828, 121.94697647094726, 334.6906378984451, 303.4534114837646, 865.5359565734864, 387.5690020799637, 314.5238830566406, 512.287353515625, 505.77673454284667, 340.72231216430663, 1034.9359199523926, 25.420265889167787, 343.5964859008789]",10.0,12.5,22.5,0.25
4,228.21,228.25888366699218,0.9157236508289496,227.12186257745415,229.3959047565302,"[227.5901336669922, 229.2620086669922, 229.2620086669922, 227.5901336669922, 227.5901336669922]",[ 8.59699788 12.68174368 18.61074726  0.28169112],"[array([ 8.02418817, 14.83860219, 16.23247458,  0.26153582]), array([ 8.588653  , 12.97977235, 15.89759501,  0.38216525]), array([ 8.98784467, 18.59645345, 16.68810006,  0.37078858]), array([ 8.43945245, 18.83683968, 18.42929663,  0.33677402]), array([ 8.19842363, 12.57062692, 19.65036334,  0.24539571])]","[0.02716994285583496, 0.050993919372558594, 0.0671546459197998, 0.029445648193359375, 0.030873775482177734]","[3.662583827972412, 494.5072326660156, 1526.3116455078125, 8.421296119689941, 69.81207275390625]","[982.4764375686646, 1388.010225069523, 587.980482673645, 1000.1583168029786, 1191.2612891435624, 448.3486201286316, 1249.2911376953125, 570.186162853241, 733.5169984817505, 726.4585861206054, 996.1141723632812, 576.826171875, 1001.4634735107422, 1487.86376953125, 1098.0904762268067, 554.9038263320923, 1285.445962524414, 2051.4314697265627, 992.5096910238266, 370.5948504447937, 466.8559717655182, 886.570373916626, 876.237117767334, 1226.6545867919922, 417.1707522392273, 598.335702431202, 656.3319328308105, 1911.8661376953125, 494.0863464355469, 1212.9789825439452, 1814.1130859375, 1238.7114768981933, 1072.1115379333496, 1043.656560754776, 1538.770816040039, 503.46677417755126, 1059.2283462524415, 1716.1093017578125, 964.8466890335083, 1299.6571753501892, 910.5329444885253, 810.9793954849243, 564.4702143669128, 274.90403988361356, 271.390877532959, 717.0410446166992, 1222.7736894607544, 1883.4560470581055, 596.9134055256843, 420.54296617507936]",10.0,10.0,25.0,0.2
5,334.54,283.6922241210938,1.760111955482409,281.50675647316325,285.8776917690243,"[284.4793701171875, 284.4793701171875, 284.4793701171875, 284.4793701171875, 280.54364013671875]",[11.06638378 19.66274298 24.70074457  0.37301422],"[array([11.74597333, 18.25534842, 22.91310714,  0.24018227]), array([11.49413706, 12.36474912, 17.11506749,  0.34720708]), array([11.37178193, 14.4588662 , 22.08583546,  0.34637455]), array([11.54638177, 14.10942552, 21.0430442 ,  0.32600374]), array([11.2032724 , 14.5113007 , 22.18699266,  0.3172471 ])]","[0.0326230525970459, 0.028433799743652344, 0.05584239959716797, 0.06368374824523926, 0.02863907814025879]","[4524.171875, 11716.7177734375, 7836.8310546875, 13841.984375, 5015.1103515625]","[9646.62421875, 8091.1287109375, 7911.62578125, 5475.26689453125, 9093.582568359376, 8853.08466796875, 8916.7884765625, 6278.563671875, 5656.77236328125, 5874.1126953125, 5750.94453125, 5076.218505859375, 6641.5275390625, 9005.677734375, 8465.723486328125, 8257.01572265625, 5006.49931640625, 6377.5890625, 8308.41083984375, 7249.606005859375, 10051.3357421875, 9238.00234375, 7616.99462890625, 6982.9869140625, 6470.71103515625, 6416.9044921875, 8358.20078125, 6042.610400390625, 5001.97548828125, 8102.4724609375, 9554.70732421875, 8893.422802734374, 8661.7138671875, 9183.66435546875, 6617.6818359375, 6193.389501953125, 6693.55439453125, 5724.33837890625, 6283.453466796875, 10565.38056640625, 5767.98740234375, 6624.2486328125, 6024.7673828125, 6927.40458984375, 5881.4484375, 9035.03193359375, 7425.36337890625, 4520.10458984375, 6307.84853515625, 8586.9630859375]",12.0,20.0,25.0,0.3
6,272.24,272.0388610839844,0.36108185107856405,271.59051874909534,272.48720341887343,"[271.87738037109375, 271.87738037109375, 272.6847839355469, 271.87738037109375, 271.87738037109375]",[11.65899731 11.66950179 16.21155461  0.2170817 ],"[array([11.65899731, 11.66950179, 16.21155461,  0.2170817 ]), array([10.39604418, 10.71735344, 17.26758617,  0.38629808]), array([11.73764318, 10.48464232, 17.10276178,  0.31317772]), array([10.46221049, 10.39557507, 19.03038758,  0.32983079]), array([11.63777466, 11.9362381 , 19.16284929,  0.28977027])]","[0.029547691345214844, 0.0285184383392334, 0.03179049491882324, 0.03244185447692871, 0.09749174118041992]","[2538.306396484375, 1018.5443725585938, 2744.224365234375, 54.68586349487305, 33.759971618652344]","[279.6102493286133, 1421.7702811777592, 450.218603515625, 1057.7932968139648, 1865.3844482421875, 786.3031158447266, 1898.2854248046874, 205.91445803642273, 45.73731892108917, 267.1360511362553, 136.80215586423873, 275.85213136672974, 502.0455270290375, 612.0756683349609, 523.92060546875, 1444.354775238037, 466.06880165934564, 1030.8581649780274, 1172.304345703125, 967.4423234164715, 326.4639324188232, 1848.9721248626709, 672.3332938730716, 532.404694366455, 787.0765407562255, 733.0463005065918, 1164.9748413085938, 560.0221000671387, 277.2166024208069, 579.6621871948242, 967.8252631723881, 984.0470864772797, 699.4452270507812, 306.1192327439785, 565.1620826303958, 1375.5642257690429, 385.7303771972656, 548.4532173156738, 1125.9380310058593, 286.290989780426, 1342.9062057495116, 1070.0064041137696, 437.41302490234375, 1189.5555812835694, 106.18758277893066, 700.9135169565677, 743.0989959716796, 1526.3778092384339, 862.7455872535705, 1277.9041938781738]",12.0,15.0,25.0,0.2
7,249.42,249.2081298828125,1.5387527353327943,247.2975160092122,251.1187437564128,"[248.7132568359375, 246.7694549560547, 249.6628875732422, 250.44752502441406, 250.44752502441406]",[ 9.34580141 12.11208259 18.13182051  0.23576821],"[array([ 9.0278092 , 10.20909512, 17.23090018,  0.21130314]), array([ 9.64209114, 12.31348713, 16.36371105,  0.23933771]), array([ 9.52563524, 11.40868604, 21.2494377 ,  0.3457741 ]), array([ 9.01397501, 19.40537301, 24.05943968,  0.31336122]), array([ 9.68134156, 18.95100029, 24.82652411,  0.32740951])]","[0.028644561767578125, 0.029148340225219727, 0.027500152587890625, 0.0331263542175293, 0.09639620780944824]","[673.2130737304688, 544.1394653320312, 853.6328125, 318.90985107421875, 1284.3631591796875]","[512.813370513916, 128.08421459198, 157.32412509918214, 158.532488822937, 290.09589332938197, 493.26000061035154, 390.39368133544923, 165.21432151794434, 308.4738050699234, 247.23809356689452, 274.5599624633789, 315.3419183731079, 415.6572509765625, 205.51913661956786, 139.9253041267395, 435.9523078918457, 233.66998748779298, 123.31548690795898, 658.277392578125, 358.78868465423585, 338.5014047652483, 390.916520690918, 263.53197826743127, 271.04224491119385, 394.6562561035156, 540.5926635742187, 338.0301381111145, 437.40638732910156, 266.5471433639526, 453.50574951171876, 331.9369680404663, 143.6788885116577, 402.9733947753906, 434.59609069824216, 428.9804260253906, 141.82202091217042, 400.40781383514405, 198.4475353240967, 245.8102584838867, 228.7354877471924, 358.58897094726564, 334.2227087020874, 265.13895973563194, 551.7854675292969, 596.6926031112671, 335.12892150878906, 238.24110412597656, 566.4039459228516, 141.44236738681792, 734.8516723632813]",10.0,15.0,25.0,0.2
8,232.62,232.97421569824218,1.9089841444457563,230.60389881294205,235.3445325835423,"[229.9603271484375, 232.9936065673828, 234.644775390625, 232.68072509765625, 234.59164428710938]",[ 8.49428996 11.01028246 21.09708196  0.23929653],"[array([ 9.75611698, 10.44881016, 24.20113813,  0.29405924]), array([ 8.85708724, 10.6449068 , 20.7429354 ,  0.3244059 ]), array([ 8.68529818, 16.67601714, 21.09445297,  0.32871042]), array([ 9.84944579, 13.90066066, 23.63577003,  0.3858522 ]), array([ 8.16203669, 11.22911183, 17.03070593,  0.28039038])]","[0.02803492546081543, 0.02687978744506836, 0.10723280906677246, 0.04323911666870117, 0.02944016456604004]","[1317.553955078125, 857.7705078125, 1420.7962646484375, 43.17401885986328, 53.46440124511719]","[546.4071105957031, 566.6437683105469, 564.9856590270996, 962.8645263671875, 1173.959822845459, 874.9615463256836, 289.7250785827637, 492.86937408447267, 798.6840553283691, 1271.1576225280762, 756.9808685302735, 250.25622348785402, 1095.6407948970796, 510.7067565917969, 480.6828663825989, 952.0900985717774, 1170.873568725586, 409.859196472168, 632.3889757156372, 352.48317432403564, 254.30732269287108, 1462.886134338379, 151.35814208984374, 740.29019241333, 623.5724830627441, 696.2344505310059, 695.4145561218262, 887.0798812866211, 720.7817031860352, 1477.3509765625, 379.5124092102051, 585.5227172851562, 942.055005645752, 712.0411096572876, 312.29110565185545, 871.6146378517151, 1027.42841796875, 55.816230065375564, 421.30670166015625, 732.3958084106446, 496.14283027648924, 814.3112968444824, 638.3506713867188, 219.48594284057617, 435.7461654663086, 863.3693588256835, 273.11309395134447, 1078.3751434326173, 652.3608528137207, 738.5518295288086]",8.0,10.0,15.0,0.2
9,238.63,237.89137573242186,1.1208760963431244,236.49962423714544,239.2831272276983,"[237.76998901367188, 236.8029022216797, 239.04054260253906, 236.8029022216797, 239.04054260253906]",[ 8.68473898 11.04482395 17.37516121  0.2759801 ],"[array([ 8.49007657, 12.12027851, 15.29541969,  0.28678705]), array([ 8.90979302, 10.03121651, 18.03510125,  0.22172148]), array([ 8.67405857, 10.3042354 , 18.28147181,  0.38163792]), array([ 9.97594872, 17.91640072, 19.75704078,  0.30732466]), array([ 9.69150587, 15.65751564, 18.65451485,  0.38722927])]","[0.029012441635131836, 0.027201414108276367, 0.026918411254882812, 0.025504112243652344, 0.02816939353942871]","[1892.99609375, 197.66937255859375, 5.110334396362305, 772.8206787109375, 629.6365356445312]","[797.2529418945312, 1043.873468017578, 642.6928224563599, 357.51717302799227, 1041.0291473388672, 676.7700716018677, 495.501290178299, 329.4037483215332, 315.150243806839, 726.2678957939148, 257.7157162249088, 122.57039803266525, 1051.1089623451232, 239.58705978393556, 627.7530113220215, 957.7418762207031, 943.8155895233155, 609.6988342285156, 256.2996593952179, 670.9912288665771, 268.8340306758881, 652.7316833496094, 134.13520259857177, 812.759992647171, 724.7223764419556, 805.6984233856201, 354.63165826797484, 82.39159922599792, 356.67577209472654, 661.2565071642399, 437.30036849975585, 547.2682247638702, 672.0515536308288, 120.9898191690445, 625.3083183288575, 732.2215765833855, 159.8809259414673, 358.90670971870424, 651.8674528121949, 793.7218887329102, 879.9035766601562, 623.8856441497803, 615.9127842903138, 369.09350898861885, 354.3458396911621, 21.743612432479857, 936.7308837890625, 643.1225669860839, 507.5042278766632, 699.6466030120849]",8.0,15.0,15.0,0.3
