1/150: MAE = 20.7620 ± 5.3714, params = {'initial_temperature': 50, 'cooling_rate': 0.8, 'iterations_per_temp': 20, 'step_size': 0.1}
2/150: MAE = 18.8551 ± 5.7597, params = {'initial_temperature': 50, 'cooling_rate': 0.8, 'iterations_per_temp': 20, 'step_size': 0.2}
3/150: MAE = 25.8190 ± 5.8525, params = {'initial_temperature': 50, 'cooling_rate': 0.8, 'iterations_per_temp': 50, 'step_size': 0.1}
4/150: MAE = 19.7196 ± 3.0666, params = {'initial_temperature': 50, 'cooling_rate': 0.8, 'iterations_per_temp': 50, 'step_size': 0.2}
5/150: MAE = 22.2933 ± 4.4140, params = {'initial_temperature': 50, 'cooling_rate': 0.8, 'iterations_per_temp': 100, 'step_size': 0.1}
6/150: MAE = 21.2766 ± 5.7534, params = {'initial_temperature': 50, 'cooling_rate': 0.8, 'iterations_per_temp': 100, 'step_size': 0.2}
7/150: MAE = 22.3534 ± 2.5105, params = {'initial_temperature': 50, 'cooling_rate': 0.85, 'iterations_per_temp': 20, 'step_size': 0.1}
8/150: MAE = 19.0820 ± 2.4410, params = {'initial_temperature': 50, 'cooling_rate': 0.85, 'iterations_per_temp': 20, 'step_size': 0.2}
9/150: MAE = 20.6485 ± 3.6517, params = {'initial_temperature': 50, 'cooling_rate': 0.85, 'iterations_per_temp': 50, 'step_size': 0.1}
10/150: MAE = 19.3920 ± 4.0811, params = {'initial_temperature': 50, 'cooling_rate': 0.85, 'iterations_per_temp': 50, 'step_size': 0.2}
11/150: MAE = 19.0989 ± 4.0734, params = {'initial_temperature': 50, 'cooling_rate': 0.85, 'iterations_per_temp': 100, 'step_size': 0.1}
12/150: MAE = 19.0824 ± 3.4149, params = {'initial_temperature': 50, 'cooling_rate': 0.85, 'iterations_per_temp': 100, 'step_size': 0.2}
13/150: MAE = 23.7737 ± 4.8288, params = {'initial_temperature': 50, 'cooling_rate': 0.9, 'iterations_per_temp': 20, 'step_size': 0.1}
14/150: MAE = 18.0306 ± 4.1509, params = {'initial_temperature': 50, 'cooling_rate': 0.9, 'iterations_per_temp': 20, 'step_size': 0.2}
15/150: MAE = 20.6581 ± 3.0302, params = {'initial_temperature': 50, 'cooling_rate': 0.9, 'iterations_per_temp': 50, 'step_size': 0.1}
16/150: MAE = 19.0607 ± 3.2982, params = {'initial_temperature': 50, 'cooling_rate': 0.9, 'iterations_per_temp': 50, 'step_size': 0.2}
17/150: MAE = 22.5008 ± 4.4024, params = {'initial_temperature': 50, 'cooling_rate': 0.9, 'iterations_per_temp': 100, 'step_size': 0.1}
18/150: MAE = 19.0407 ± 3.3690, params = {'initial_temperature': 50, 'cooling_rate': 0.9, 'iterations_per_temp': 100, 'step_size': 0.2}
19/150: MAE = 21.9921 ± 1.3725, params = {'initial_temperature': 50, 'cooling_rate': 0.95, 'iterations_per_temp': 20, 'step_size': 0.1}
20/150: MAE = 19.9132 ± 0.9732, params = {'initial_temperature': 50, 'cooling_rate': 0.95, 'iterations_per_temp': 20, 'step_size': 0.2}
21/150: MAE = 21.4464 ± 3.7794, params = {'initial_temperature': 50, 'cooling_rate': 0.95, 'iterations_per_temp': 50, 'step_size': 0.1}
22/150: MAE = 18.3145 ± 4.8462, params = {'initial_temperature': 50, 'cooling_rate': 0.95, 'iterations_per_temp': 50, 'step_size': 0.2}
