
=== Outer Fold 1/5 ===
  1/150: MAE = 22.9609 ± 3.0495, params = {'initial_temperature': 50, 'cooling_rate': 0.8, 'iterations_per_temp': 20, 'step_size': 0.1}
  2/150: MAE = 18.2836 ± 7.5558, params = {'initial_temperature': 50, 'cooling_rate': 0.8, 'iterations_per_temp': 20, 'step_size': 0.2}
  3/150: MAE = 24.4940 ± 8.5055, params = {'initial_temperature': 50, 'cooling_rate': 0.8, 'iterations_per_temp': 50, 'step_size': 0.1}
  4/150: MAE = 18.1803 ± 5.4431, params = {'initial_temperature': 50, 'cooling_rate': 0.8, 'iterations_per_temp': 50, 'step_size': 0.2}
  5/150: MAE = 20.1296 ± 5.5910, params = {'initial_temperature': 50, 'cooling_rate': 0.8, 'iterations_per_temp': 100, 'step_size': 0.1}
  6/150: MAE = 18.3747 ± 1.0454, params = {'initial_temperature': 50, 'cooling_rate': 0.8, 'iterations_per_temp': 100, 'step_size': 0.2}
  7/150: MAE = 22.4677 ± 7.0451, params = {'initial_temperature': 50, 'cooling_rate': 0.85, 'iterations_per_temp': 20, 'step_size': 0.1}
  8/150: MAE = 16.1901 ± 4.9518, params = {'initial_temperature': 50, 'cooling_rate': 0.85, 'iterations_per_temp': 20, 'step_size': 0.2}
  9/150: MAE = 24.9924 ± 6.5936, params = {'initial_temperature': 50, 'cooling_rate': 0.85, 'iterations_per_temp': 50, 'step_size': 0.1}
  10/150: MAE = 16.8756 ± 2.6956, params = {'initial_temperature': 50, 'cooling_rate': 0.85, 'iterations_per_temp': 50, 'step_size': 0.2}
  11/150: MAE = 20.7961 ± 2.2271, params = {'initial_temperature': 50, 'cooling_rate': 0.85, 'iterations_per_temp': 100, 'step_size': 0.1}
  12/150: MAE = 19.2084 ± 4.4316, params = {'initial_temperature': 50, 'cooling_rate': 0.85, 'iterations_per_temp': 100, 'step_size': 0.2}
  13/150: MAE = 24.2863 ± 4.0838, params = {'initial_temperature': 50, 'cooling_rate': 0.9, 'iterations_per_temp': 20, 'step_size': 0.1}
  14/150: MAE = 19.9859 ± 5.0586, params = {'initial_temperature': 50, 'cooling_rate': 0.9, 'iterations_per_temp': 20, 'step_size': 0.2}
  15/150: MAE = 20.8449 ± 3.4269, params = {'initial_temperature': 50, 'cooling_rate': 0.9, 'iterations_per_temp': 50, 'step_size': 0.1}
  16/150: MAE = 21.9598 ± 3.9971, params = {'initial_temperature': 50, 'cooling_rate': 0.9, 'iterations_per_temp': 50, 'step_size': 0.2}
  17/150: MAE = 21.3072 ± 5.8412, params = {'initial_temperature': 50, 'cooling_rate': 0.9, 'iterations_per_temp': 100, 'step_size': 0.1}
  18/150: MAE = 18.6049 ± 4.7160, params = {'initial_temperature': 50, 'cooling_rate': 0.9, 'iterations_per_temp': 100, 'step_size': 0.2}
  19/150: MAE = 22.5663 ± 5.4123, params = {'initial_temperature': 50, 'cooling_rate': 0.95, 'iterations_per_temp': 20, 'step_size': 0.1}
  20/150: MAE = 15.1345 ± 4.5586, params = {'initial_temperature': 50, 'cooling_rate': 0.95, 'iterations_per_temp': 20, 'step_size': 0.2}
  21/150: MAE = 22.3517 ± 7.3281, params = {'initial_temperature': 50, 'cooling_rate': 0.95, 'iterations_per_temp': 50, 'step_size': 0.1}
  22/150: MAE = 21.0505 ± 3.9984, params = {'initial_temperature': 50, 'cooling_rate': 0.95, 'iterations_per_temp': 50, 'step_size': 0.2}
  23/150: MAE = 20.6686 ± 7.0459, params = {'initial_temperature': 50, 'cooling_rate': 0.95, 'iterations_per_temp': 100, 'step_size': 0.1}
  24/150: MAE = 19.0032 ± 5.9839, params = {'initial_temperature': 50, 'cooling_rate': 0.95, 'iterations_per_temp': 100, 'step_size': 0.2}
  25/150: MAE = 23.0951 ± 2.5794, params = {'initial_temperature': 50, 'cooling_rate': 0.98, 'iterations_per_temp': 20, 'step_size': 0.1}
  26/150: MAE = 21.7023 ± 7.4740, params = {'initial_temperature': 50, 'cooling_rate': 0.98, 'iterations_per_temp': 20, 'step_size': 0.2}
  27/150: MAE = 24.0179 ± 7.9175, params = {'initial_temperature': 50, 'cooling_rate': 0.98, 'iterations_per_temp': 50, 'step_size': 0.1}
  28/150: MAE = 20.4991 ± 0.6081, params = {'initial_temperature': 50, 'cooling_rate': 0.98, 'iterations_per_temp': 50, 'step_size': 0.2}
  29/150: MAE = 22.8220 ± 5.5185, params = {'initial_temperature': 50, 'cooling_rate': 0.98, 'iterations_per_temp': 100, 'step_size': 0.1}
  30/150: MAE = 15.9489 ± 7.1289, params = {'initial_temperature': 50, 'cooling_rate': 0.98, 'iterations_per_temp': 100, 'step_size': 0.2}
  31/150: MAE = 23.8662 ± 1.5076, params = {'initial_temperature': 100, 'cooling_rate': 0.8, 'iterations_per_temp': 20, 'step_size': 0.1}
  32/150: MAE = 17.8491 ± 9.3445, params = {'initial_temperature': 100, 'cooling_rate': 0.8, 'iterations_per_temp': 20, 'step_size': 0.2}
  33/150: MAE = 17.5995 ± 9.4565, params = {'initial_temperature': 100, 'cooling_rate': 0.8, 'iterations_per_temp': 50, 'step_size': 0.1}
  34/150: MAE = 20.7046 ± 4.2240, params = {'initial_temperature': 100, 'cooling_rate': 0.8, 'iterations_per_temp': 50, 'step_size': 0.2}
  35/150: MAE = 22.9083 ± 5.9158, params = {'initial_temperature': 100, 'cooling_rate': 0.8, 'iterations_per_temp': 100, 'step_size': 0.1}
  36/150: MAE = 20.5548 ± 3.8063, params = {'initial_temperature': 100, 'cooling_rate': 0.8, 'iterations_per_temp': 100, 'step_size': 0.2}
  37/150: MAE = 22.9355 ± 2.4801, params = {'initial_temperature': 100, 'cooling_rate': 0.85, 'iterations_per_temp': 20, 'step_size': 0.1}
  38/150: MAE = 18.5068 ± 1.6520, params = {'initial_temperature': 100, 'cooling_rate': 0.85, 'iterations_per_temp': 20, 'step_size': 0.2}
  39/150: MAE = 21.3791 ± 5.4552, params = {'initial_temperature': 100, 'cooling_rate': 0.85, 'iterations_per_temp': 50, 'step_size': 0.1}
  40/150: MAE = 17.2168 ± 1.5511, params = {'initial_temperature': 100, 'cooling_rate': 0.85, 'iterations_per_temp': 50, 'step_size': 0.2}
  41/150: MAE = 21.5026 ± 5.6919, params = {'initial_temperature': 100, 'cooling_rate': 0.85, 'iterations_per_temp': 100, 'step_size': 0.1}
  42/150: MAE = 17.6903 ± 6.5127, params = {'initial_temperature': 100, 'cooling_rate': 0.85, 'iterations_per_temp': 100, 'step_size': 0.2}
  43/150: MAE = 20.7944 ± 4.7457, params = {'initial_temperature': 100, 'cooling_rate': 0.9, 'iterations_per_temp': 20, 'step_size': 0.1}
  44/150: MAE = 20.8599 ± 9.0205, params = {'initial_temperature': 100, 'cooling_rate': 0.9, 'iterations_per_temp': 20, 'step_size': 0.2}
  45/150: MAE = 22.8649 ± 7.0250, params = {'initial_temperature': 100, 'cooling_rate': 0.9, 'iterations_per_temp': 50, 'step_size': 0.1}
  46/150: MAE = 17.9067 ± 8.5625, params = {'initial_temperature': 100, 'cooling_rate': 0.9, 'iterations_per_temp': 50, 'step_size': 0.2}
  47/150: MAE = 24.5564 ± 5.1883, params = {'initial_temperature': 100, 'cooling_rate': 0.9, 'iterations_per_temp': 100, 'step_size': 0.1}
  48/150: MAE = 15.8084 ± 1.6037, params = {'initial_temperature': 100, 'cooling_rate': 0.9, 'iterations_per_temp': 100, 'step_size': 0.2}
  49/150: MAE = 22.8574 ± 3.8011, params = {'initial_temperature': 100, 'cooling_rate': 0.95, 'iterations_per_temp': 20, 'step_size': 0.1}
  50/150: MAE = 20.5833 ± 4.9567, params = {'initial_temperature': 100, 'cooling_rate': 0.95, 'iterations_per_temp': 20, 'step_size': 0.2}
  51/150: MAE = 19.0544 ± 3.8207, params = {'initial_temperature': 100, 'cooling_rate': 0.95, 'iterations_per_temp': 50, 'step_size': 0.1}
  52/150: MAE = 18.4385 ± 3.4547, params = {'initial_temperature': 100, 'cooling_rate': 0.95, 'iterations_per_temp': 50, 'step_size': 0.2}
  53/150: MAE = 21.0503 ± 5.6363, params = {'initial_temperature': 100, 'cooling_rate': 0.95, 'iterations_per_temp': 100, 'step_size': 0.1}
  54/150: MAE = 17.3257 ± 2.5137, params = {'initial_temperature': 100, 'cooling_rate': 0.95, 'iterations_per_temp': 100, 'step_size': 0.2}
  55/150: MAE = 20.5620 ± 1.5736, params = {'initial_temperature': 100, 'cooling_rate': 0.98, 'iterations_per_temp': 20, 'step_size': 0.1}
  56/150: MAE = 18.6192 ± 6.1141, params = {'initial_temperature': 100, 'cooling_rate': 0.98, 'iterations_per_temp': 20, 'step_size': 0.2}
  57/150: MAE = 21.7732 ± 2.9419, params = {'initial_temperature': 100, 'cooling_rate': 0.98, 'iterations_per_temp': 50, 'step_size': 0.1}
  58/150: MAE = 21.3950 ± 7.7771, params = {'initial_temperature': 100, 'cooling_rate': 0.98, 'iterations_per_temp': 50, 'step_size': 0.2}
  59/150: MAE = 23.8494 ± 8.4475, params = {'initial_temperature': 100, 'cooling_rate': 0.98, 'iterations_per_temp': 100, 'step_size': 0.1}
  60/150: MAE = 15.3269 ± 3.9159, params = {'initial_temperature': 100, 'cooling_rate': 0.98, 'iterations_per_temp': 100, 'step_size': 0.2}
  61/150: MAE = 21.5781 ± 6.6787, params = {'initial_temperature': 150, 'cooling_rate': 0.8, 'iterations_per_temp': 20, 'step_size': 0.1}
  62/150: MAE = 13.8579 ± 7.5913, params = {'initial_temperature': 150, 'cooling_rate': 0.8, 'iterations_per_temp': 20, 'step_size': 0.2}
  63/150: MAE = 20.2599 ± 1.1259, params = {'initial_temperature': 150, 'cooling_rate': 0.8, 'iterations_per_temp': 50, 'step_size': 0.1}
  64/150: MAE = 22.5584 ± 1.4343, params = {'initial_temperature': 150, 'cooling_rate': 0.8, 'iterations_per_temp': 50, 'step_size': 0.2}
  65/150: MAE = 21.1530 ± 5.5101, params = {'initial_temperature': 150, 'cooling_rate': 0.8, 'iterations_per_temp': 100, 'step_size': 0.1}
  66/150: MAE = 18.1843 ± 4.0532, params = {'initial_temperature': 150, 'cooling_rate': 0.8, 'iterations_per_temp': 100, 'step_size': 0.2}
  67/150: MAE = 17.5712 ± 6.5786, params = {'initial_temperature': 150, 'cooling_rate': 0.85, 'iterations_per_temp': 20, 'step_size': 0.1}
  68/150: MAE = 18.6909 ± 5.0795, params = {'initial_temperature': 150, 'cooling_rate': 0.85, 'iterations_per_temp': 20, 'step_size': 0.2}
  69/150: MAE = 20.3601 ± 6.3398, params = {'initial_temperature': 150, 'cooling_rate': 0.85, 'iterations_per_temp': 50, 'step_size': 0.1}
  70/150: MAE = 18.8477 ± 3.7287, params = {'initial_temperature': 150, 'cooling_rate': 0.85, 'iterations_per_temp': 50, 'step_size': 0.2}
  71/150: MAE = 24.7805 ± 8.7371, params = {'initial_temperature': 150, 'cooling_rate': 0.85, 'iterations_per_temp': 100, 'step_size': 0.1}
  72/150: MAE = 17.7329 ± 6.8971, params = {'initial_temperature': 150, 'cooling_rate': 0.85, 'iterations_per_temp': 100, 'step_size': 0.2}
  73/150: MAE = 18.1062 ± 8.4733, params = {'initial_temperature': 150, 'cooling_rate': 0.9, 'iterations_per_temp': 20, 'step_size': 0.1}
  74/150: MAE = 17.7486 ± 2.5159, params = {'initial_temperature': 150, 'cooling_rate': 0.9, 'iterations_per_temp': 20, 'step_size': 0.2}
  75/150: MAE = 18.4861 ± 3.3372, params = {'initial_temperature': 150, 'cooling_rate': 0.9, 'iterations_per_temp': 50, 'step_size': 0.1}
  76/150: MAE = 17.1154 ± 6.7682, params = {'initial_temperature': 150, 'cooling_rate': 0.9, 'iterations_per_temp': 50, 'step_size': 0.2}
  77/150: MAE = 22.5808 ± 7.2611, params = {'initial_temperature': 150, 'cooling_rate': 0.9, 'iterations_per_temp': 100, 'step_size': 0.1}
  78/150: MAE = 19.5704 ± 4.0507, params = {'initial_temperature': 150, 'cooling_rate': 0.9, 'iterations_per_temp': 100, 'step_size': 0.2}
  79/150: MAE = 21.5238 ± 2.4079, params = {'initial_temperature': 150, 'cooling_rate': 0.95, 'iterations_per_temp': 20, 'step_size': 0.1}
  80/150: MAE = 19.9841 ± 4.9256, params = {'initial_temperature': 150, 'cooling_rate': 0.95, 'iterations_per_temp': 20, 'step_size': 0.2}
  81/150: MAE = 23.5410 ± 3.0273, params = {'initial_temperature': 150, 'cooling_rate': 0.95, 'iterations_per_temp': 50, 'step_size': 0.1}
  82/150: MAE = 17.9183 ± 5.0474, params = {'initial_temperature': 150, 'cooling_rate': 0.95, 'iterations_per_temp': 50, 'step_size': 0.2}
  83/150: MAE = 24.6745 ± 9.4217, params = {'initial_temperature': 150, 'cooling_rate': 0.95, 'iterations_per_temp': 100, 'step_size': 0.1}
  84/150: MAE = 15.6718 ± 5.6626, params = {'initial_temperature': 150, 'cooling_rate': 0.95, 'iterations_per_temp': 100, 'step_size': 0.2}
  85/150: MAE = 21.8556 ± 4.7132, params = {'initial_temperature': 150, 'cooling_rate': 0.98, 'iterations_per_temp': 20, 'step_size': 0.1}
  86/150: MAE = 16.2895 ± 4.4133, params = {'initial_temperature': 150, 'cooling_rate': 0.98, 'iterations_per_temp': 20, 'step_size': 0.2}
  87/150: MAE = 22.2595 ± 6.0423, params = {'initial_temperature': 150, 'cooling_rate': 0.98, 'iterations_per_temp': 50, 'step_size': 0.1}
  88/150: MAE = 19.7885 ± 5.0903, params = {'initial_temperature': 150, 'cooling_rate': 0.98, 'iterations_per_temp': 50, 'step_size': 0.2}
  89/150: MAE = 25.3110 ± 5.5294, params = {'initial_temperature': 150, 'cooling_rate': 0.98, 'iterations_per_temp': 100, 'step_size': 0.1}
  90/150: MAE = 19.0113 ± 2.7949, params = {'initial_temperature': 150, 'cooling_rate': 0.98, 'iterations_per_temp': 100, 'step_size': 0.2}
  91/150: MAE = 20.9060 ± 1.3230, params = {'initial_temperature': 200, 'cooling_rate': 0.8, 'iterations_per_temp': 20, 'step_size': 0.1}
  92/150: MAE = 15.6806 ± 2.3746, params = {'initial_temperature': 200, 'cooling_rate': 0.8, 'iterations_per_temp': 20, 'step_size': 0.2}
  93/150: MAE = 25.1193 ± 8.5732, params = {'initial_temperature': 200, 'cooling_rate': 0.8, 'iterations_per_temp': 50, 'step_size': 0.1}
  94/150: MAE = 19.6516 ± 6.4747, params = {'initial_temperature': 200, 'cooling_rate': 0.8, 'iterations_per_temp': 50, 'step_size': 0.2}
  95/150: MAE = 18.3320 ± 5.4941, params = {'initial_temperature': 200, 'cooling_rate': 0.8, 'iterations_per_temp': 100, 'step_size': 0.1}
  96/150: MAE = 19.8275 ± 3.7710, params = {'initial_temperature': 200, 'cooling_rate': 0.8, 'iterations_per_temp': 100, 'step_size': 0.2}
  97/150: MAE = 22.9911 ± 3.9624, params = {'initial_temperature': 200, 'cooling_rate': 0.85, 'iterations_per_temp': 20, 'step_size': 0.1}
  98/150: MAE = 19.8622 ± 5.5326, params = {'initial_temperature': 200, 'cooling_rate': 0.85, 'iterations_per_temp': 20, 'step_size': 0.2}
  99/150: MAE = 19.9948 ± 5.1571, params = {'initial_temperature': 200, 'cooling_rate': 0.85, 'iterations_per_temp': 50, 'step_size': 0.1}
  100/150: MAE = 17.6977 ± 6.5482, params = {'initial_temperature': 200, 'cooling_rate': 0.85, 'iterations_per_temp': 50, 'step_size': 0.2}
  101/150: MAE = 21.5388 ± 3.0101, params = {'initial_temperature': 200, 'cooling_rate': 0.85, 'iterations_per_temp': 100, 'step_size': 0.1}
  102/150: MAE = 17.3561 ± 4.2135, params = {'initial_temperature': 200, 'cooling_rate': 0.85, 'iterations_per_temp': 100, 'step_size': 0.2}
  103/150: MAE = 22.8298 ± 2.3527, params = {'initial_temperature': 200, 'cooling_rate': 0.9, 'iterations_per_temp': 20, 'step_size': 0.1}
  104/150: MAE = 13.8661 ± 6.1564, params = {'initial_temperature': 200, 'cooling_rate': 0.9, 'iterations_per_temp': 20, 'step_size': 0.2}
  105/150: MAE = 25.6016 ± 4.9827, params = {'initial_temperature': 200, 'cooling_rate': 0.9, 'iterations_per_temp': 50, 'step_size': 0.1}
  106/150: MAE = 18.7974 ± 7.8775, params = {'initial_temperature': 200, 'cooling_rate': 0.9, 'iterations_per_temp': 50, 'step_size': 0.2}
  107/150: MAE = 24.6080 ± 5.1553, params = {'initial_temperature': 200, 'cooling_rate': 0.9, 'iterations_per_temp': 100, 'step_size': 0.1}
  108/150: MAE = 17.7038 ± 2.4333, params = {'initial_temperature': 200, 'cooling_rate': 0.9, 'iterations_per_temp': 100, 'step_size': 0.2}
