Model,RMSE_Train_Mean,RMSE_Train_Std,RMSE_Train_CI_Low,RMSE_Train_CI_High,RMSE_Train_Display,MAE_Train_Mean,MAE_Train_Std,MAE_Train_CI_Low,MAE_Train_CI_High,MAE_Train_Display,R2_Train_Mean,R2_Train_Std,R2_Train_CI_Low,R2_Train_CI_High,R2_Train_Display,RMSE_Val_Mean,RMSE_Val_Std,RMSE_Val_CI_Low,RMSE_Val_CI_High,RMSE_Val_Display,MAE_Val_Mean,MAE_Val_Std,MAE_Val_CI_Low,MAE_Val_CI_High,MAE_Val_Display,R2_Val_Mean,R2_Val_Std,R2_Val_CI_Low,R2_Val_CI_High,R2_Val_Display
XGBoost,3.911694217015331,0.43477044522935565,3.3718554076910174,4.451533026339645,"3.912 ± 0.435 (95% CI [3.372, 4.452])",2.981283749006093,0.2737689166189373,2.6413547414131098,3.3212127565990763,"2.981 ± 0.274 (95% CI [2.641, 3.321])",0.985439832213204,0.0024379516446658106,0.9824127154266608,0.9884669489997472,"0.985 ± 0.002 (95% CI [0.982, 0.988])",10.122698072945115,2.01555842982063,7.620051734360725,12.625344411529504,"10.123 ± 2.016 (95% CI [7.620, 12.625])",7.945372509256998,1.286509388198109,6.347960118580253,9.542784899933743,"7.945 ± 1.287 (95% CI [6.348, 9.543])",0.8938872289414812,0.04770128663580785,0.8346582586578002,0.9531161992251622,"0.894 ± 0.048 (95% CI [0.835, 0.953])"
GradientBoosting,2.644819077585683,0.6758892488431073,1.8055917305242097,3.484046424647156,"2.645 ± 0.676 (95% CI [1.806, 3.484])",2.075808109559719,0.584555640216676,1.3499864161557187,2.801629802963719,"2.076 ± 0.585 (95% CI [1.350, 2.802])",0.9928826501788259,0.003502670387275144,0.988533510461372,0.9972317898962799,"0.993 ± 0.004 (95% CI [0.989, 0.997])",11.599977680791843,1.9215437731947813,9.21406595664326,13.985889404940426,"11.600 ± 1.922 (95% CI [9.214, 13.986])",9.077920268326434,1.2765959296411622,7.492817062237534,10.663023474415333,"9.078 ± 1.277 (95% CI [7.493, 10.663])",0.864954198359834,0.03931908030585819,0.8161331119015671,0.9137752848181009,"0.865 ± 0.039 (95% CI [0.816, 0.914])"
RandomForest,5.208793616892313,0.35794707374624396,4.764343622159213,5.653243611625413,"5.209 ± 0.358 (95% CI [4.764, 5.653])",4.055850535519152,0.2842130431177946,3.702953432059852,4.408747638978452,"4.056 ± 0.284 (95% CI [3.703, 4.409])",0.9741677233306536,0.0031040039418443527,0.9703135933857829,0.9780218532755243,"0.974 ± 0.003 (95% CI [0.970, 0.978])",12.776473419314105,3.316623352693083,8.65834160667323,16.894605231954976,"12.776 ± 3.317 (95% CI [8.658, 16.895])",10.18556900000004,2.650774124653047,6.894198202048248,13.476939797951832,"10.186 ± 2.651 (95% CI [6.894, 13.477])",0.8326165283840931,0.08024410299431405,0.7329803146278983,0.9322527421402879,"0.833 ± 0.080 (95% CI [0.733, 0.932])"
AdaBoost,10.710071555101925,0.8741533191117661,9.624666849850517,11.795476260353333,"10.710 ± 0.874 (95% CI [9.625, 11.795])",8.812898295576813,0.9711784511148603,7.6070209769961945,10.018775614157432,"8.813 ± 0.971 (95% CI [7.607, 10.019])",0.8899677287243956,0.02171564619208787,0.8630041926499493,0.9169312647988418,"0.890 ± 0.022 (95% CI [0.863, 0.917])",13.733588154164625,3.757128327715706,9.06849717300851,18.39867913532074,"13.734 ± 3.757 (95% CI [9.068, 18.399])",10.960772784287823,3.479695998791404,6.6401595378948395,15.281386030680807,"10.961 ± 3.480 (95% CI [6.640, 15.281])",0.8116907704470512,0.07059724316701099,0.7240327152341368,0.8993488256599655,"0.812 ± 0.071 (95% CI [0.724, 0.899])"
DecisionTree,8.430043725910929,5.903622757895225,1.0997278884559982,15.76035956336586,"8.430 ± 5.904 (95% CI [1.100, 15.760])",6.337632427790789,4.802920628647859,0.37401879696854046,12.301246058613037,"6.338 ± 4.803 (95% CI [0.374, 12.301])",0.9049727851834307,0.09289758977435221,0.7896251924407152,1.0203203779261463,"0.905 ± 0.093 (95% CI [0.790, 1.020])",16.514241527189462,1.588855676011858,14.54141663594383,18.487066418435095,"16.514 ± 1.589 (95% CI [14.541, 18.487])",12.672472407407406,2.4238630464056388,9.66284892610902,15.682095888705794,"12.672 ± 2.424 (95% CI [9.663, 15.682])",0.7251980224926924,0.06541906776691458,0.643969521250462,0.8064265237349227,"0.725 ± 0.065 (95% CI [0.644, 0.806])"
KNN,0.0,0.0,0.0,0.0,"0.000 ± 0.000 (95% CI [0.000, 0.000])",0.0,0.0,0.0,0.0,"0.000 ± 0.000 (95% CI [0.000, 0.000])",1.0,0.0,1.0,1.0,"1.000 ± 0.000 (95% CI [1.000, 1.000])",18.01946232173971,2.063415875818362,15.457393115413955,20.58153152806546,"18.019 ± 2.063 (95% CI [15.457, 20.582])",15.167452172132172,1.8407809698459938,12.881820713295788,17.453083630968557,"15.167 ± 1.841 (95% CI [12.882, 17.453])",0.6775983668241929,0.04438885007043475,0.6224823297700693,0.7327144038783165,"0.678 ± 0.044 (95% CI [0.622, 0.733])"
Lasso,19.890268007143035,1.1436375195054072,18.470254472178112,21.31028154210796,"19.890 ± 1.144 (95% CI [18.470, 21.310])",16.75486863568922,1.056748957878381,15.442741499552286,18.066995771826154,"16.755 ± 1.057 (95% CI [15.443, 18.067])",0.6243533798883719,0.02835463798324549,0.589146446722475,0.6595603130542689,"0.624 ± 0.028 (95% CI [0.589, 0.660])",20.780182969284986,4.584144333547787,15.088215987748901,26.47214995082107,"20.780 ± 4.584 (95% CI [15.088, 26.472])",17.668863317533873,4.315772983345665,12.310123379693096,23.02760325537465,"17.669 ± 4.316 (95% CI [12.310, 23.028])",0.5700526311200622,0.1279123059752142,0.41122852586341424,0.7288767363767101,"0.570 ± 0.128 (95% CI [0.411, 0.729])"
LinearRegression,19.778015329471792,1.1564909874207179,18.342042106144362,21.213988552799222,"19.778 ± 1.156 (95% CI [18.342, 21.214])",16.559535796195004,1.1159286888516982,15.173927318685116,17.94514427370489,"16.560 ± 1.116 (95% CI [15.174, 17.945])",0.6285736906694485,0.028717243685937987,0.5929165230569748,0.6642308582819221,"0.629 ± 0.029 (95% CI [0.593, 0.664])",20.916392682286283,4.474994311288864,15.359953353792243,26.472832010780323,"20.916 ± 4.475 (95% CI [15.360, 26.473])",17.823694147286446,3.948207887261942,12.921346556249137,22.726041738323755,"17.824 ± 3.948 (95% CI [12.921, 22.726])",0.5618314933656556,0.1403472516355402,0.38756736376296064,0.7360956229683506,"0.562 ± 0.140 (95% CI [0.388, 0.736])"
Ridge,19.921042512651546,1.0400957409494251,18.629593076429575,21.212491948873517,"19.921 ± 1.040 (95% CI [18.630, 21.212])",16.72301759569918,1.037820970527013,15.434392660014895,18.011642531383465,"16.723 ± 1.038 (95% CI [15.434, 18.012])",0.6231170204547214,0.02649061573235799,0.5902245766096021,0.6560094642998406,"0.623 ± 0.026 (95% CI [0.590, 0.656])",21.09815644709632,4.731834338241422,15.2228081038376,26.973504790355037,"21.098 ± 4.732 (95% CI [15.223, 26.974])",17.869871758189202,4.3874142939375504,12.422177384202348,23.317566132176054,"17.870 ± 4.387 (95% CI [12.422, 23.318])",0.5547804072552822,0.14405659850571986,0.37591051518703533,0.7336502993235291,"0.555 ± 0.144 (95% CI [0.376, 0.734])"
ElasticNet,20.460262286982804,0.904721155497924,19.33690259978772,21.583621974177888,"20.460 ± 0.905 (95% CI [19.337, 21.584])",17.27444961748349,0.9334048265064405,16.115474448660812,18.43342478630617,"17.274 ± 0.933 (95% CI [16.115, 18.433])",0.6022810045378837,0.026027612819572974,0.5699634547406331,0.6345985543351342,"0.602 ± 0.026 (95% CI [0.570, 0.635])",21.26386412178781,4.895684835256877,15.18506851529721,27.342659728278413,"21.264 ± 4.896 (95% CI [15.185, 27.343])",18.17924647274051,4.519978522161012,12.566951869118915,23.7915410763621,"18.179 ± 4.520 (95% CI [12.567, 23.792])",0.5511554442594907,0.13313900728317424,0.3858415321593842,0.7164693563595972,"0.551 ± 0.133 (95% CI [0.386, 0.716])"
MLP,15.607703124233248,10.116024358853595,3.0469998728924015,28.168406375574094,"15.608 ± 10.116 (95% CI [3.047, 28.168])",12.294802916292985,8.353857296589696,1.922119064985715,22.667486767600256,"12.295 ± 8.354 (95% CI [1.922, 22.667])",0.6979896064235614,0.3841234120411677,0.22103739482485235,1.1749418180222706,"0.698 ± 0.384 (95% CI [0.221, 1.175])",30.36892208927194,11.233483229318024,16.420710389001968,44.31713378954191,"30.369 ± 11.233 (95% CI [16.421, 44.317])",23.613133914258448,8.09997594784112,13.5556853935077,33.670582435009194,"23.613 ± 8.100 (95% CI [13.556, 33.671])",-0.055873483641668595,0.8655286810492656,-1.1305692863133323,1.0188223190299952,"-0.056 ± 0.866 (95% CI [-1.131, 1.019])"
