real_inputs,given_candidate,target,predicted,top_candidates,eval_time_sec
"[8.0, 10.0, 15.0, 0.2]",[ 8.01392077 15.66662667 23.03398056  0.3140254 ],232.62,232.52345,"[array([ 8.01392077, 15.66662667, 23.03398056,  0.3140254 ]), array([ 8.71044649, 16.26417494, 23.34963799,  0.35159662]), array([ 8.49091948, 15.47270668, 21.84801122,  0.36717185]), array([ 8.10215578, 16.10719555, 20.85549486,  0.38103328]), array([ 8.59922562, 16.0482499 , 21.81744985,  0.32226388])]",7.664937973022461
"[8.0, 10.0, 20.0, 0.3]",[ 8.0898458  14.25086809 20.07933095  0.3687276 ],232.08,231.74586,"[array([ 8.0898458 , 14.25086809, 20.07933095,  0.3687276 ]), array([ 8.        , 13.19846499, 20.84767489,  0.23473982]), array([ 8.        , 13.57145372, 19.96661364,  0.39548755]), array([ 9.36603172, 17.16025377, 15.55406182,  0.2       ]), array([ 8.35767263, 10.88424639, 19.75291045,  0.34478948])]",4.08930516242981
"[8.0, 15.0, 15.0, 0.3]",[ 8.         10.         15.88527126  0.2       ],238.63,239.62868,"[array([ 8.        , 10.        , 15.88527126,  0.2       ]), array([ 8.90929757, 10.48609624, 18.86525188,  0.38433696]), array([ 8.56492388, 10.12053611, 18.91806436,  0.3479914 ]), array([ 8.67129377, 18.451539  , 22.2161078 ,  0.4       ]), array([ 9.86574518, 10.16281946, 23.90267522,  0.21396059])]",12.006088256835938
"[8.0, 15.0, 20.0, 0.2]",[ 8.  20.  25.   0.4],219.76,219.96672,"[array([ 8. , 20. , 25. ,  0.4]), array([ 8.10729322, 19.82536759, 16.82941975,  0.20395622]), array([ 8.        , 19.8037851 , 17.66489437,  0.20416851]), array([ 8.88456702, 19.0675621 , 19.29933043,  0.2809467 ]), array([ 8.10046259, 13.73672578, 24.89990518,  0.26649153])]",12.718878746032715
"[8.0, 20.0, 15.0, 0.2]",[ 8.56367867 19.77329089 15.55085594  0.22752048],196.63,222.28401,"[array([ 8.56367867, 19.77329089, 15.55085594,  0.22752048]), array([ 8.        , 15.14023204, 19.13974731,  0.2       ]), array([ 8.        , 15.18589251, 15.2723115 ,  0.2       ]), array([ 8.00845924, 14.63789783, 24.52659857,  0.2471539 ]), array([ 8.17587348, 18.27633258, 16.32674799,  0.29908755])]",4.8726770877838135
"[8.0, 20.0, 20.0, 0.3]",[ 8.21047864 13.57102803 24.29477509  0.33857168],224.38,225.45781,"[array([ 8.21047864, 13.57102803, 24.29477509,  0.33857168]), array([ 8.20024428, 16.17959431, 18.82261354,  0.34333725]), array([ 8.        , 15.47291961, 15.        ,  0.35519779]), array([ 8.        , 15.6402024 , 18.55287058,  0.33680968]), array([ 8.        , 15.90028196, 19.31653235,  0.2       ])]",16.446720838546753
"[8.0, 20.0, 25.0, 0.4]",[ 8.01879967 18.39593877 23.81989471  0.27487895],231.34,231.38165,"[array([ 8.01879967, 18.39593877, 23.81989471,  0.27487895]), array([ 8.94888703, 13.19273789, 20.45768919,  0.26213368]), array([ 8.26353609, 16.10775044, 20.67477357,  0.35797899]), array([ 8.        , 18.050151  , 20.52582154,  0.32999411]), array([ 8.89258676, 17.8906239 , 20.37614565,  0.23793491])]",4.7126195430755615
"[10.0, 10.0, 20.0, 0.2]",[11.42383459 14.41583054 18.34189186  0.28248961],256.11,257.6682,"[array([11.42383459, 14.41583054, 18.34189186,  0.28248961]), array([11.79121807, 13.52628077, 17.2328439 ,  0.20451536]), array([10.90968946, 18.91299428, 16.14850357,  0.25969542]), array([10.7547099 , 14.65951313, 19.78405099,  0.36575731]), array([11.63002548, 14.43779452, 18.8798178 ,  0.31888637])]",15.679519891738892
"[10.0, 10.0, 20.0, 0.3]",[10.07386261 19.15106926 17.68542798  0.34812368],264.86,269.19568,"[array([10.07386261, 19.15106926, 17.68542798,  0.34812368]), array([10.77320485, 19.55364179, 18.46432943,  0.38201083]), array([10.46084646, 17.83548475, 17.22673019,  0.35567472]), array([11.75988785, 10.25734105, 20.0618413 ,  0.2       ]), array([12.        , 14.14497305, 15.68949153,  0.2       ])]",7.624204158782959
"[10.0, 10.0, 25.0, 0.2]",[ 8.         13.61653571 19.47164318  0.2       ],228.21,229.05782,"[array([ 8.        , 13.61653571, 19.47164318,  0.2       ]), array([ 8.22789949, 13.00184538, 19.14751741,  0.2       ]), array([ 8.        , 13.19253095, 19.94093638,  0.2       ]), array([ 8.        , 19.60871175, 24.51008884,  0.23517724]), array([ 8.        , 19.22169175, 23.96173355,  0.2       ])]",16.624178886413574
"[10.0, 15.0, 25.0, 0.2]",[ 9.54138602 11.65871007 20.31713867  0.257383  ],249.42,247.01965,"[array([ 9.54138602, 11.65871007, 20.31713867,  0.257383  ]), array([ 9.76049909, 19.65830105, 24.47371929,  0.3545306 ]), array([ 8.19228019, 15.43855621, 23.94443908,  0.4       ]), array([ 9.00930371, 12.41791798, 20.3998366 ,  0.2       ]), array([12.        , 13.97277065, 25.        ,  0.2       ])]",5.692938566207886
"[10.0, 20.0, 25.0, 0.4]",[12.  10.  15.   0.4],306.28,295.2001,"[array([12. , 10. , 15. ,  0.4]), array([12.        , 19.45509999, 16.822666  ,  0.26622834]), array([11.72474428, 17.49740752, 24.91268383,  0.38621726]), array([10.97126571, 19.61791063, 21.82443255,  0.30311332]), array([10.87959884, 19.47338021, 22.68844547,  0.29364631])]",4.345074415206909
"[12.0, 15.0, 15.0, 0.3]",[12.  10.  15.   0.4],297.65,295.2001,"[array([12. , 10. , 15. ,  0.4]), array([12.        , 12.41369627, 22.00582383,  0.4       ]), array([12. , 20. , 25. ,  0.4]), array([12.        , 12.99471341, 15.        ,  0.4       ]), array([12.        , 13.90391707, 15.        ,  0.4       ])]",4.796637535095215
"[12.0, 15.0, 25.0, 0.2]",[11.87628936 10.01944566 20.1597115   0.29336954],272.24,270.90634,"[array([11.87628936, 10.01944566, 20.1597115 ,  0.29336954]), array([10.18050667, 11.23193338, 16.86649914,  0.30923302]), array([11.51023856, 17.14748895, 16.48166777,  0.37299458]), array([10.70091772, 19.14152902, 17.35155455,  0.35188156]), array([11.3147333 , 16.39806843, 19.59073031,  0.3238041 ])]",6.194464445114136
