1/162: MAE = 7.1565 ± 14.4603, params = {'n_init': 5, 'n_iter': 30, 'acquisition_function': 'EI', 'kappa': 1.5, 'xi': 0.005, 'early_stop_patience': 20}
2/162: MAE = 6.7486 ± 11.3866, params = {'n_init': 5, 'n_iter': 30, 'acquisition_function': 'EI', 'kappa': 1.5, 'xi': 0.01, 'early_stop_patience': 20}
3/162: MAE = 8.0988 ± 13.7929, params = {'n_init': 5, 'n_iter': 30, 'acquisition_function': 'EI', 'kappa': 1.5, 'xi': 0.02, 'early_stop_patience': 20}
4/162: MAE = 7.9006 ± 13.9222, params = {'n_init': 5, 'n_iter': 30, 'acquisition_function': 'EI', 'kappa': 2.5, 'xi': 0.005, 'early_stop_patience': 20}
5/162: MAE = 8.3482 ± 14.3036, params = {'n_init': 5, 'n_iter': 30, 'acquisition_function': 'EI', 'kappa': 2.5, 'xi': 0.01, 'early_stop_patience': 20}
6/162: MAE = 7.7795 ± 11.9644, params = {'n_init': 5, 'n_iter': 30, 'acquisition_function': 'EI', 'kappa': 2.5, 'xi': 0.02, 'early_stop_patience': 20}
7/162: MAE = 10.3773 ± 18.0255, params = {'n_init': 5, 'n_iter': 30, 'acquisition_function': 'PI', 'kappa': 1.5, 'xi': 0.005, 'early_stop_patience': 20}
8/162: MAE = 11.5870 ± 18.8386, params = {'n_init': 5, 'n_iter': 30, 'acquisition_function': 'PI', 'kappa': 1.5, 'xi': 0.01, 'early_stop_patience': 20}
9/162: MAE = 11.4095 ± 18.4501, params = {'n_init': 5, 'n_iter': 30, 'acquisition_function': 'PI', 'kappa': 1.5, 'xi': 0.02, 'early_stop_patience': 20}
10/162: MAE = 10.6901 ± 18.6647, params = {'n_init': 5, 'n_iter': 30, 'acquisition_function': 'PI', 'kappa': 2.5, 'xi': 0.005, 'early_stop_patience': 20}
11/162: MAE = 11.4865 ± 18.3563, params = {'n_init': 5, 'n_iter': 30, 'acquisition_function': 'PI', 'kappa': 2.5, 'xi': 0.01, 'early_stop_patience': 20}
12/162: MAE = 9.6192 ± 16.4260, params = {'n_init': 5, 'n_iter': 30, 'acquisition_function': 'PI', 'kappa': 2.5, 'xi': 0.02, 'early_stop_patience': 20}
13/162: MAE = 17.6915 ± 21.8551, params = {'n_init': 5, 'n_iter': 30, 'acquisition_function': 'UCB', 'kappa': 1.5, 'xi': 0.005, 'early_stop_patience': 20}
14/162: MAE = 16.8649 ± 21.0481, params = {'n_init': 5, 'n_iter': 30, 'acquisition_function': 'UCB', 'kappa': 1.5, 'xi': 0.01, 'early_stop_patience': 20}
15/162: MAE = 15.5651 ± 19.1615, params = {'n_init': 5, 'n_iter': 30, 'acquisition_function': 'UCB', 'kappa': 1.5, 'xi': 0.02, 'early_stop_patience': 20}
16/162: MAE = 15.7649 ± 18.4004, params = {'n_init': 5, 'n_iter': 30, 'acquisition_function': 'UCB', 'kappa': 2.5, 'xi': 0.005, 'early_stop_patience': 20}
17/162: MAE = 17.6224 ± 22.2360, params = {'n_init': 5, 'n_iter': 30, 'acquisition_function': 'UCB', 'kappa': 2.5, 'xi': 0.01, 'early_stop_patience': 20}
18/162: MAE = 18.9730 ± 24.0488, params = {'n_init': 5, 'n_iter': 30, 'acquisition_function': 'UCB', 'kappa': 2.5, 'xi': 0.02, 'early_stop_patience': 20}
19/162: MAE = 7.5728 ± 12.1759, params = {'n_init': 5, 'n_iter': 50, 'acquisition_function': 'EI', 'kappa': 1.5, 'xi': 0.005, 'early_stop_patience': 20}
20/162: MAE = 6.6632 ± 12.0720, params = {'n_init': 5, 'n_iter': 50, 'acquisition_function': 'EI', 'kappa': 1.5, 'xi': 0.01, 'early_stop_patience': 20}
21/162: MAE = 7.6000 ± 11.0692, params = {'n_init': 5, 'n_iter': 50, 'acquisition_function': 'EI', 'kappa': 1.5, 'xi': 0.02, 'early_stop_patience': 20}
22/162: MAE = 6.2622 ± 12.5748, params = {'n_init': 5, 'n_iter': 50, 'acquisition_function': 'EI', 'kappa': 2.5, 'xi': 0.005, 'early_stop_patience': 20}
23/162: MAE = 9.1616 ± 15.0990, params = {'n_init': 5, 'n_iter': 50, 'acquisition_function': 'EI', 'kappa': 2.5, 'xi': 0.01, 'early_stop_patience': 20}
24/162: MAE = 8.6015 ± 13.3037, params = {'n_init': 5, 'n_iter': 50, 'acquisition_function': 'EI', 'kappa': 2.5, 'xi': 0.02, 'early_stop_patience': 20}
25/162: MAE = 10.4056 ± 18.1725, params = {'n_init': 5, 'n_iter': 50, 'acquisition_function': 'PI', 'kappa': 1.5, 'xi': 0.005, 'early_stop_patience': 20}
