real_inputs,given_candidate,target,predicted
"[8.0, 10.0, 15.0, 0.2]",[ 8.         15.06042968 23.13555237  0.3       ],232.62,232.52345
"[8.0, 10.0, 20.0, 0.3]",[ 8.53693745 14.31666172 20.62274862  0.34857944],232.08,231.74586
"[8.0, 15.0, 15.0, 0.3]",[ 8.         16.14943736 15.          0.4       ],238.63,238.87982
"[8.0, 15.0, 20.0, 0.2]",[ 8.22491895 14.64945336 23.75148236  0.20103453],219.76,222.8774
"[8.0, 20.0, 15.0, 0.2]",[ 8.         20.         19.27421349  0.34255194],196.63,201.17238
"[8.0, 20.0, 20.0, 0.3]",[ 8.27751025 16.61607756 16.06759298  0.25372642],224.38,223.55508
"[8.0, 20.0, 25.0, 0.4]",[ 8.         15.59524594 22.70406945  0.29683219],231.34,231.38165
"[10.0, 10.0, 20.0, 0.2]",[11.60919692 12.90685912 16.3824872   0.28992104],256.11,257.6682
"[10.0, 10.0, 20.0, 0.3]",[11.38000943 13.71792607 22.92378086  0.34226145],264.86,264.20917
"[10.0, 10.0, 25.0, 0.2]",[ 8.         13.59589334 15.          0.2       ],228.21,229.05782
"[10.0, 15.0, 25.0, 0.2]",[ 9.91972974 14.4413802  19.41936305  0.4       ],249.42,249.28705
"[10.0, 20.0, 25.0, 0.4]",[12.         19.65451361 21.86204744  0.26647974],306.28,305.9431
"[12.0, 15.0, 15.0, 0.3]",[12.         20.         23.42200746  0.27873587],297.65,298.15305
"[12.0, 15.0, 25.0, 0.2]",[11.76460491 13.97993073 22.34661739  0.21112291],272.24,271.4794
"[12.0, 20.0, 15.0, 0.3]",[10.47756112 16.8938259  20.89452272  0.28952507],278.4,277.65552
"[12.0, 20.0, 20.0, 0.4]",[12.         20.         21.14368011  0.30880626],337.88,320.06488
"[12.0, 20.0, 25.0, 0.3]",[12.         20.         20.49948524  0.39713583],334.54,320.06488
"[12.0, 20.0, 25.0, 0.4]",[12.         20.         22.30637918  0.3905254 ],342.45,320.06488
"[9.0, 12.5, 15.0, 0.3]",[ 9.70710421 10.         19.89382209  0.38163359],247.57,247.56512
"[10.0, 12.5, 22.5, 0.25]",[11.19255901 17.83556577 16.7109961   0.21889666],260.71,261.34323
"[8.0, 10.0, 20.0, 0.4]",[12.         10.         25.          0.25278136],249.21,249.41298
"[8.0, 15.0, 15.0, 0.2]",[ 8.52719356 14.15507302 22.71042228  0.22875155],221.1,221.37476
"[8.0, 15.0, 15.0, 0.4]",[ 9.75665006 15.34936518 19.62749915  0.29988539],242.32,242.62218
"[8.0, 15.0, 25.0, 0.2]",[ 8.         11.5569009  25.          0.27719469],202.62,202.4159
"[8.0, 15.0, 25.0, 0.3]",[ 8.87220552 14.59838791 25.          0.26792472],208.21,209.434
"[10.0, 10.0, 15.0, 0.3]",[11.25453796 15.35422157 18.06637033  0.36385615],270.05,269.35446
"[10.0, 10.0, 25.0, 0.4]",[ 9.70963008 18.21154069 21.86346988  0.30441819],238.74,238.83426
"[10.0, 15.0, 20.0, 0.2]",[10.68117736 20.         25.          0.35983871],284.2,286.52203
"[10.0, 15.0, 20.0, 0.3]",[10.96744551 20.         20.19131149  0.35809836],281.82,281.38058
"[10.0, 15.0, 25.0, 0.4]",[10.22133178 20.         25.          0.37601766],286.96,286.52203
"[10.0, 20.0, 15.0, 0.2]",[ 9.31155785 18.39995027 20.76231174  0.25029372],239.45,239.33281
"[10.0, 20.0, 15.0, 0.4]",[11.91470575 15.23149776 25.          0.2       ],251.58,252.28305
"[10.0, 20.0, 20.0, 0.3]",[11.60760066 15.56919018 24.92763047  0.4       ],273.05,273.6491
"[12.0, 10.0, 15.0, 0.3]",[12.         11.58899695 20.          0.4       ],295.6,295.678
"[12.0, 15.0, 20.0, 0.3]",[12.         20.         23.96428641  0.24865863],310.06,311.2335
"[12.0, 15.0, 20.0, 0.4]",[12.  20.  25.   0.2],312.15,312.44186
"[12.0, 15.0, 25.0, 0.3]",[11.58014795 20.         21.73001675  0.35142143],282.04,281.38058
"[12.0, 20.0, 15.0, 0.2]",[10.85537154 13.4915526  18.71245431  0.34939296],259.63,260.03464
"[10.0, 12.5, 22.5, 0.3]",[10.40018877 11.24952563 21.84657569  0.32784622],263.7,264.11655
"[8.0, 10.0, 20.0, 0.2]",[ 9.37599303 14.60727607 15.52821049  0.24514074],236.84,236.93788
"[8.0, 10.0, 25.0, 0.2]",[ 8.  20.  15.   0.2],196.05,202.0099
"[8.0, 10.0, 25.0, 0.3]",[ 8.04706819 18.38304109 25.          0.2       ],201.38,205.81686
"[8.0, 10.0, 25.0, 0.4]",[ 9.57122894 20.         15.56451616  0.2       ],215.0,213.5173
"[8.0, 15.0, 20.0, 0.3]",[ 8.71464093 14.27107393 22.43495713  0.29122906],228.56,228.83418
"[8.0, 15.0, 25.0, 0.4]",[ 9.20919955 20.         16.55973959  0.23711334],213.66,213.5173
"[8.0, 20.0, 15.0, 0.3]",[ 8.55478107 15.58936393 25.          0.2378715 ],197.73,205.81686
"[8.0, 20.0, 25.0, 0.2]",[ 8.         20.         18.48883849  0.28801605],205.25,205.2981
"[8.0, 20.0, 25.0, 0.3]",[ 9.0330222  20.         15.          0.27832399],215.7,216.51373
"[10.0, 10.0, 15.0, 0.2]",[10.51366268 19.52986293 15.70234913  0.30616442],269.91,269.4368
"[10.0, 10.0, 25.0, 0.3]",[ 9.66717958 10.54295599 24.30147513  0.2935303 ],239.28,239.45393
"[10.0, 15.0, 15.0, 0.2]",[11.12979161 12.10142929 21.24736105  0.2631799 ],263.67,264.0079
"[10.0, 15.0, 15.0, 0.4]",[11.34719329 19.62478098 22.81057097  0.30743011],277.71,277.78036
"[12.0, 10.0, 25.0, 0.4]",[ 9.38638467 12.44758868 16.33579357  0.33584894],247.13,246.62697
"[12.0, 20.0, 20.0, 0.2]",[12.         16.78872909 21.57957454  0.4       ],307.42,308.4406
"[12.0, 20.0, 25.0, 0.2]",[12.         20.         24.84626132  0.38981494],321.78,321.52295
"[10.0, 20.0, 15.0, 0.25]",[ 8.40886456 17.20873539 17.19333863  0.3477658 ],235.04,234.91101
"[10.0, 12.5, 15.0, 0.25]",[11.56654503 13.9631683  18.08823827  0.26055156],258.26,258.17392
"[9.0, 12.5, 22.5, 0.3]",[ 8.40149656 15.40245361 21.98709549  0.39410272],235.75,235.48938
