real_inputs,given_candidate,target,predicted,top_candidates,eval_time_sec
"[8.0, 10.0, 15.0, 0.2]",[ 8.76594534 11.65005486 23.29070935  0.34056451],232.62,231.4633,"[array([ 8.76594534, 11.65005486, 23.29070935,  0.34056451]), array([ 8.41256693, 14.31766992, 17.91174568,  0.20551762]), array([ 9.79844526, 10.59922189, 16.43764636,  0.26411492]), array([10.32111491, 14.3382477 , 18.19496819,  0.20070841]), array([10.6927752 , 11.25088596, 20.78875785,  0.28967098])]",0.05414724349975586
"[8.0, 10.0, 20.0, 0.3]",[ 8.84917987 12.72575403 22.62004465  0.30414808],232.08,227.97481,"[array([ 8.84917987, 12.72575403, 22.62004465,  0.30414808]), array([ 9.41092328, 10.90422939, 19.89861328,  0.32184239]), array([10.47026952, 15.83596697, 17.43873198,  0.26534748]), array([10.53964104, 16.85904298, 16.03244589,  0.28558262]), array([10.07574895, 10.94151882, 23.54600225,  0.3037771 ])]",0.009092092514038086
"[8.0, 15.0, 15.0, 0.3]",[ 8.84205529 11.85574098 22.2547088   0.37222068],238.63,236.21455,"[array([ 8.84205529, 11.85574098, 22.2547088 ,  0.37222068]), array([10.5015526 , 13.50533669, 19.09195295,  0.20495419]), array([11.16812564, 14.71840468, 20.76328393,  0.38818433]), array([11.7147102 , 10.87826308, 20.77383031,  0.38399137]), array([11.19303632, 10.5207741 , 20.44734634,  0.38843879])]",0.03928494453430176
"[8.0, 15.0, 20.0, 0.2]",[ 8.29628055 15.03721497 15.56252521  0.21923356],219.76,221.92464,"[array([ 8.29628055, 15.03721497, 15.56252521,  0.21923356]), array([ 8.6071554 , 17.28159299, 23.31214307,  0.23971581]), array([ 9.10545837, 14.40673601, 18.75169181,  0.28972585]), array([10.4738685 , 19.42036709, 18.28755871,  0.26622225]), array([10.78491569, 19.3951053 , 17.39820341,  0.20959962])]",0.008703947067260742
"[8.0, 20.0, 15.0, 0.2]",[ 8.68025634 19.74836206 15.46988692  0.214787  ],196.63,221.92464,"[array([ 8.68025634, 19.74836206, 15.46988692,  0.214787  ]), array([ 8.11378185, 14.52158612, 23.02174556,  0.2656816 ]), array([ 9.791232  , 16.76469797, 16.41701554,  0.2140103 ]), array([ 9.14518237, 11.83421158, 21.56885754,  0.20726949]), array([ 9.69819736, 14.51167993, 15.02560772,  0.28283193])]",0.008152008056640625
"[8.0, 20.0, 20.0, 0.3]",[ 8.62701778 18.87959389 20.11866612  0.23176899],224.38,227.35617,"[array([ 8.62701778, 18.87959389, 20.11866612,  0.23176899]), array([ 8.15648924, 14.98259014, 22.06977194,  0.33601603]), array([ 9.17638327, 17.41259311, 20.63898597,  0.34513041]), array([10.36186431, 11.43441206, 15.36323097,  0.27457784]), array([11.58010071, 11.65723948, 19.91449681,  0.37162826])]",0.008578062057495117
"[8.0, 20.0, 25.0, 0.4]",[ 9.22890664 17.54398527 19.59383811  0.22947448],231.34,230.91728,"[array([ 9.22890664, 17.54398527, 19.59383811,  0.22947448]), array([ 9.59864   , 15.16145463, 15.40492907,  0.38199181]), array([ 9.25445856, 17.9828542 , 16.59450227,  0.32989865]), array([ 9.91114737, 16.66433091, 22.9788816 ,  0.23245155]), array([ 9.33591093, 13.5545209 , 19.16331826,  0.36126854])]",0.0076961517333984375
"[10.0, 10.0, 20.0, 0.2]",[11.30972311 14.91020909 16.45646797  0.27689157],256.11,258.0317,"[array([11.30972311, 14.91020909, 16.45646797,  0.27689157]), array([11.28027564, 19.45202372, 15.16858381,  0.36315963]), array([11.79551419, 17.61676389, 18.77407238,  0.30588991]), array([11.94963972, 19.49327599, 17.25576016,  0.35158276]), array([ 9.97808285, 10.05526562, 21.44762255,  0.34542858])]",0.0076808929443359375
"[10.0, 10.0, 20.0, 0.3]",[11.53955571 19.21879718 17.14452803  0.21754888],264.86,262.34958,"[array([11.53955571, 19.21879718, 17.14452803,  0.21754888]), array([10.59120923, 11.40998056, 15.58292897,  0.21967071]), array([11.07215088, 17.78308598, 24.67602009,  0.24851838]), array([11.71910664, 16.08270882, 24.36145615,  0.23202226]), array([10.83483409, 18.60652613, 22.36191566,  0.34785003])]",0.008233070373535156
"[10.0, 10.0, 25.0, 0.2]",[ 8.24676255 12.97213394 22.17764542  0.22295836],228.21,225.31743,"[array([ 8.24676255, 12.97213394, 22.17764542,  0.22295836]), array([ 8.37160218, 19.85004463, 23.15282413,  0.34415635]), array([ 9.85032545, 16.57299066, 19.53714634,  0.36352415]), array([ 9.81273983, 17.43971229, 24.54703816,  0.21119687]), array([ 9.51425075, 19.21398207, 21.62695884,  0.31792102])]",0.007460117340087891
"[10.0, 15.0, 25.0, 0.2]",[ 9.17786758 11.26236446 19.65551404  0.29999026],249.42,246.70486,"[array([ 9.17786758, 11.26236446, 19.65551404,  0.29999026]), array([ 9.36738077, 11.55015532, 23.88874813,  0.27396402]), array([ 9.39117094, 11.95324485, 22.58261032,  0.39455949]), array([11.93698875, 15.95383156, 19.66968163,  0.20591351]), array([ 9.72536881, 14.48787768, 16.74763976,  0.23472432])]",0.007591724395751953
"[10.0, 20.0, 25.0, 0.4]",[11.83416793 15.19622004 22.84540177  0.39814129],306.28,286.43344,"[array([11.83416793, 15.19622004, 22.84540177,  0.39814129]), array([10.52390846, 17.12372445, 24.7613229 ,  0.38685851]), array([11.33898584, 15.51323485, 19.10407255,  0.24069674]), array([10.01791737, 18.60620307, 18.29334464,  0.25294045]), array([ 9.9471045 , 10.85926646, 18.94249637,  0.32284758])]",0.007905960083007812
"[12.0, 15.0, 15.0, 0.3]",[10.72271685 18.89130742 23.65709505  0.31390463],297.65,286.43344,"[array([10.72271685, 18.89130742, 23.65709505,  0.31390463]), array([10.35714214, 18.98145706, 19.15078679,  0.36002804]), array([11.26823208, 10.29627131, 15.92478357,  0.34495095]), array([11.21539922, 12.32927741, 15.13672812,  0.29665774]), array([11.96290663, 14.83306908, 23.65932883,  0.33738198])]",0.007589817047119141
"[12.0, 15.0, 25.0, 0.2]",[11.19833687 17.95457306 18.43146585  0.35515692],272.24,269.57782,"[array([11.19833687, 17.95457306, 18.43146585,  0.35515692]), array([10.73432706, 11.89475596, 19.17897398,  0.25139483]), array([11.89859158, 11.60878088, 20.59938899,  0.28817138]), array([11.28385291, 15.51167605, 21.63516834,  0.33096915]), array([11.49507339, 13.93259308, 17.21475854,  0.32914379])]",0.00778508186340332
"[12.0, 20.0, 15.0, 0.3]",[10.8864925  12.13922299 15.8684349   0.37356354],278.4,269.50638,"[array([10.8864925 , 12.13922299, 15.8684349 ,  0.37356354]), array([11.69058574, 14.1892759 , 24.98404131,  0.36938577]), array([11.5514315 , 14.83145585, 22.14683187,  0.26781573]), array([10.10085289, 10.03940754, 22.86518588,  0.21835146]), array([ 9.39653315, 16.46701632, 22.32002031,  0.39313463])]",0.007679939270019531
"[12.0, 20.0, 20.0, 0.4]",[11.60414307 19.90076911 22.74103849  0.30598555],337.88,286.43344,"[array([11.60414307, 19.90076911, 22.74103849,  0.30598555]), array([11.60808475, 18.98097348, 20.16436074,  0.31452043]), array([10.09789122, 16.38787697, 17.43149471,  0.30332259]), array([11.89985419, 11.02214492, 16.58040822,  0.27037198]), array([10.32523675, 10.27646035, 23.12618668,  0.39774086])]",0.008328914642333984
"[12.0, 20.0, 25.0, 0.3]",[11.90834435 19.41414126 23.39378384  0.32379125],334.54,286.43344,"[array([11.90834435, 19.41414126, 23.39378384,  0.32379125]), array([11.86002751, 19.29716788, 23.94355713,  0.23417118]), array([11.94887356, 16.17644809, 22.39696514,  0.25744361]), array([11.58629358, 11.23149076, 21.72573007,  0.23410525]), array([10.60206235, 13.94879862, 24.35090702,  0.36772107])]",0.00751185417175293
