real_inputs,given_candidate,target,predicted,top_candidates,eval_time_sec
"[8.0, 10.0, 15.0, 0.2]",[10.31432751 18.0937288  17.70342892  0.29090839],232.62,258.4704,"[array([10.31432751, 18.0937288 , 17.70342892,  0.29090839]), array([10.31432751, 18.0937288 , 17.70342892,  0.29090839]), array([10.31432751, 18.0937288 , 17.70342892,  0.29090839]), array([10.31432751, 18.0937288 , 17.70342892,  0.29090839]), array([10.31432751, 18.0937288 , 17.70342892,  0.29090839])]",0.058480262756347656
"[8.0, 10.0, 20.0, 0.3]",[10.8675222  14.26977837 22.86516979  0.21590266],232.08,257.64603,"[array([10.8675222 , 14.26977837, 22.86516979,  0.21590266]), array([10.8675222 , 14.26977837, 22.86516979,  0.21590266]), array([10.85844982, 14.29114024, 22.90087302,  0.2       ]), array([10.86392819, 14.55457006, 23.13188596,  0.2       ]), array([11.04564053, 14.17752113, 23.27485396,  0.23487818])]",0.03217887878417969
"[8.0, 15.0, 15.0, 0.3]",[ 8.56352509 12.41974488 19.21634623  0.27044972],238.63,237.96902,"[array([ 8.56352509, 12.41974488, 19.21634623,  0.27044972]), array([ 8.88369005, 12.41683959, 18.91449544,  0.25978166]), array([ 8.88369005, 12.41683959, 18.91449544,  0.25978166]), array([ 8.67730385, 12.3052671 , 19.15878867,  0.26814972]), array([ 8.67730385, 12.3052671 , 19.15878867,  0.26814972])]",0.041802406311035156
"[8.0, 15.0, 20.0, 0.2]",[ 8.41573736 17.97133489 21.53803218  0.39767828],219.76,231.01318,"[array([ 8.41573736, 17.97133489, 21.53803218,  0.39767828]), array([ 8.00283349, 18.04283947, 21.50685734,  0.36419662]), array([ 8.00283349, 18.04283947, 21.50685734,  0.36419662]), array([ 8.00283349, 18.04283947, 21.50685734,  0.36419662]), array([ 8.06641678, 17.91615872, 22.00078444,  0.35084509])]",0.11594033241271973
"[8.0, 20.0, 15.0, 0.2]",[ 8.52875463 13.18049697 24.19002632  0.2       ],196.63,222.8774,"[array([ 8.52875463, 13.18049697, 24.19002632,  0.2       ]), array([ 8.7090594 , 13.2736515 , 23.98910261,  0.2       ]), array([ 8.7090594 , 13.2736515 , 23.98910261,  0.2       ]), array([ 8.7090594 , 13.2736515 , 23.98910261,  0.2       ]), array([ 8.85301084, 13.46778014, 23.93308027,  0.2       ])]",0.025402545928955078
"[8.0, 20.0, 20.0, 0.3]",[ 9.2219762  20.         18.84490125  0.4       ],224.38,224.07552,"[array([ 9.2219762 , 20.        , 18.84490125,  0.4       ]), array([ 9.2219762 , 20.        , 18.84490125,  0.4       ]), array([ 9.2219762 , 20.        , 18.84490125,  0.4       ]), array([ 8.        , 19.22295943, 19.61156463,  0.30892106]), array([ 8.60528351, 19.88913688, 19.27516011,  0.2       ])]",0.02379465103149414
"[8.0, 20.0, 25.0, 0.4]",[ 9.96038118 19.77158716 24.01451235  0.21864538],231.34,244.04248,"[array([ 9.96038118, 19.77158716, 24.01451235,  0.21864538]), array([ 9.96038118, 19.77158716, 24.01451235,  0.21864538]), array([ 9.96038118, 19.77158716, 24.01451235,  0.21864538]), array([ 9.81196319, 19.7924626 , 24.00522648,  0.2       ]), array([ 9.87794101, 19.50125691, 24.054633  ,  0.2       ])]",0.023404598236083984
"[10.0, 10.0, 20.0, 0.2]",[ 9.4830674  14.43272118 22.49220563  0.4       ],256.11,249.25133,"[array([ 9.4830674 , 14.43272118, 22.49220563,  0.4       ]), array([ 9.4830674 , 14.43272118, 22.49220563,  0.4       ]), array([ 9.48902185, 14.32101754, 22.40582568,  0.4       ]), array([ 9.96922768, 14.53059353, 21.61633969,  0.4       ]), array([ 9.96922768, 14.53059353, 21.61633969,  0.4       ])]",0.05546069145202637
"[10.0, 10.0, 20.0, 0.3]",[10.76860688 16.28443717 25.          0.2       ],264.86,263.61057,"[array([10.76860688, 16.28443717, 25.        ,  0.2       ]), array([10.89648682, 16.03491314, 25.        ,  0.2       ]), array([10.68398975, 15.95372034, 25.        ,  0.2       ]), array([10.58036264, 15.72258421, 25.        ,  0.2       ]), array([10.37891167, 15.82895965, 25.        ,  0.22794135])]",0.0547490119934082
"[10.0, 10.0, 25.0, 0.2]",[ 8.81365512 14.9420565  15.61155856  0.2       ],228.21,229.05782,"[array([ 8.81365512, 14.9420565 , 15.61155856,  0.2       ]), array([ 8.88151193, 14.95971245, 15.49945064,  0.2       ]), array([ 8.68567024, 14.78981395, 15.24590102,  0.2       ]), array([ 8.41712657, 14.77198305, 15.        ,  0.24972159]), array([ 8.51502265, 14.90828159, 15.22598374,  0.2       ])]",0.024700641632080078
